scenario,cycle,mean_ba_mean,mean_ba_lo,mean_ba_hi,mean_vol_mean,mean_vol_lo,mean_vol_hi,mean_carbon_mean,mean_carbon_lo,mean_carbon_hi,total_tpa_mean,total_tpa_lo,total_tpa_hi,harvest_rate_mean,harvest_rate_lo,harvest_rate_hi,plant_rate_mean,plant_rate_lo,plant_rate_hi,gr_ratio_mean,gr_ratio_lo,gr_ratio_hi,n_sims
BAU,1,68.87492426211892,68.17722219523628,69.44369736079096,1239.4960231302562,1221.9336015181889,1255.3798830674568,33642.845696155135,33243.501476656544,33979.07215645053,546.3961000559398,539.1465939789492,553.8930781855729,0.09930227717382431,0.09562049647540848,0.102191424956969,0.08080140101382498,0.077333002705745807,0.08373223291508519,3.9447584094945674,3.749681680145968,4.195564850878153,100
BAU,2,69.3620996415025,68.74563176239964,70.15351559776181,1309.6402290473422,1290.3599394054515,1330.5231127158775,34700.52267739992,34270.107266815365,35254.186687756795,566.124396504761,557.0547967572941,577.5741658636807,0.09476143053260486,0.09096783277852574,0.09916215279811053,0.07695034358245316,0.07359191638153265,0.08091277741992153,5.488247397360259,5.0950434597958925,5.8673126854654,100
BAU,3,68.07735138627692,67.3596523305291,68.9731740118169,1346.9290550740427,1326.738955967482,1373.5146812081935,34874.09904248557,34422.6786455797,35393.10313675497,574.2276989875925,563.2949390180402,590.9700382370067,0.0908427732635325,0.08692748245248785,0.09525489102929081,0.07383137798324575,0.07011089624103002,0.07732865457713017,5.446285315194353,5.026790614193261,5.9380691298359265,100
BAU,4,65.93440807029275,65.1509310202277,66.8419703843614,1362.5608502925238,1338.5747200554044,1390.7683984126788,34513.23355721531,34016.97410743339,35108.519256783824,587.0075721057868,571.5540580490945,610.3127420700459,0.08645009274994038,0.08154726363878018,0.09140683783345854,0.07047816016914901,0.06624055128264773,0.07508296853416754,5.408612498366835,5.0175641109956395,5.841025578053411,100
BAU,5,62.87107375420573,62.027000819944554,63.894508955642905,1350.5799933813782,1327.4601332400985,1381.0472745294257,33526.33060132601,32989.985723749895,34205.91996989055,609.2834265381558,586.7080935891966,643.6456497825043,0.08285520452161423,0.0780388126982824,0.08762521033761181,0.06754987268266226,0.06303812131068061,0.07201716567041136,5.3811778417909535,4.922385239645987,5.857744222892325,100
BAU,6,59.282587561664066,58.42126510780169,60.40436653811358,1318.0560483894217,1284.645586289641,1352.6848138367793,32108.008791714685,31466.720334405043,32798.92695436826,647.9044847782478,616.2167546429088,714.7970137772662,0.0785627813429621,0.07442198715922882,0.08301253772887938,0.06470254889458313,0.059954955321392465,0.06870793326977213,5.433247865935396,5.060582947712481,5.912359103354974,100
BAU,7,55.55193233619077,54.64223529470277,56.932809113397944,1271.2822379902373,1230.7994035516995,1305.5584690682058,30454.442039099184,29807.569891243376,31201.503755746133,707.0892946782533,656.9643139122445,821.9356841776109,0.0755204247204432,0.07018825872633061,0.08221163623479065,0.06212498654043484,0.056901466310965404,0.06711791819718751,5.471201393087622,4.9309376144891885,6.029850733410298,100
BAU,8,52.03202231515179,51.02171291279444,53.61482920591613,1217.3875523214624,1171.8078669684219,1263.4750931776898,28771.07535406468,28059.93181925414,29622.247520104636,794.8977896960236,704.3474398309927,982.5234965549299,0.07212069498678121,0.06657565450619997,0.07766143303996323,0.05957704092869055,0.054303687398047695,0.064665104006153315,5.60111921826956,5.076361259212413,6.248271492191465,100
BAU,9,48.87369765699718,47.726095725589,50.65634533673415,1162.4445829469043,1113.5868764267034,1212.60409209408,27176.458864735636,26340.782544698803,28152.7473946151,921.0979731011995,770.5468522309243,1195.0277567556677,0.06845603255944013,0.06303527265389054,0.07439586608454732,0.0568524185300588,0.052087457287890625,0.062551421725911,5.65537370180411,5.1847151317327445,6.270610388449609,100
BAU,10,46.034381591598,44.81608211758723,47.64831005481678,1107.8342558268853,1059.6304250885398,1164.2721875926636,25676.702882440208,24763.527698389473,26695.404303314703,1104.9277945058664,864.8939196525034,1513.2587863666577,0.06594209952273766,0.06000422258216137,0.07282183808887636,0.054656381009534315,0.049556637059015904,0.06128428308074683,5.8364275383928685,5.233806826393941,6.385986588734024,100
