scenario,cycle,year,mmt_agc_mean,mmt_agc_lo,mmt_agc_hi,mmt_bgc_mean,mmt_bgc_lo,mmt_bgc_hi,mmt_dead_c_mean,mmt_dead_c_lo,mmt_dead_c_hi,mmt_litter_c_mean,mmt_litter_c_lo,mmt_litter_c_hi,mmt_soil_c_mean,mmt_soil_c_lo,mmt_soil_c_hi,mmt_under_c_mean,mmt_under_c_lo,mmt_under_c_hi,mmt_total_c_mean,mmt_total_c_lo,mmt_total_c_hi,mmt_biomass_mean,mmt_biomass_lo,mmt_biomass_hi,total_vol_mcf_mean,total_vol_mcf_lo,total_vol_mcf_hi,merch_vol_mcf_mean,merch_vol_mcf_lo,merch_vol_mcf_hi,rd_mean_wtd_mean,rd_mean_wtd_lo,rd_mean_wtd_hi,sdi_mean_wtd_mean,sdi_mean_wtd_lo,sdi_mean_wtd_hi,total_area_mha_mean,total_area_mha_lo,total_area_mha_hi,n_sims,n_conditions
BAU,1,2004,236.75354980145383,228.1482441182284,245.37236635964751,52.085780956319844,50.19261370601024,53.98192059912246,54.380941235205896,52.496839260427294,56.1011967940407,87.53519368729796,84.73745119300764,90.77706405928103,720.4151064789045,698.0201747730896,747.1481614064544,9.10734634485347,8.817717803906593,9.454904302814146,1145.273414214766,1111.6968533226845,1185.1622927155993,483.0592677684108,465.5316984929631,500.7868354640202,17816.103737938603,17075.3978667207,18517.905587644702,8468.054579355681,8044.1285170018655,8916.422947627534,0.5287073097679679,0.5199992239849927,0.5361706000330075,258.20703409093016,254.0906127259815,262.0954222538487,5525.686643196442,5355.03965075642,5730.387209556609,100,2843
BAU,2,2009,219.21601767405937,209.00194623929434,229.8543424423421,48.227523888293064,45.98042817264475,50.567955337315254,47.44436780884171,45.2656785774933,49.404104489181805,76.3153187205158,73.4926221142808,79.8992900466789,626.4098775403197,601.9829144980254,656.5096929847527,7.887841814812795,7.5852650547668645,8.284917050350824,1012.7032517916543,972.494584109568,1059.2531707365938,447.4830406133344,426.47473390341145,469.2555307416411,16728.40332735923,15923.021128918157,17565.847380452527,8076.900159620551,7518.041866450707,8615.777395810692,0.5757792344419159,0.5658971028789876,0.5848965064431011,281.4357849730592,276.7370171627298,286.4928259830634,4805.051185475057,4625.7383916434555,5030.712662186044,100,2444
BAU,3,2014,201.01618205171948,191.39715739833807,210.76852321697953,44.223560051378286,42.10737462763437,46.3690751077355,41.68279460200135,39.63702218149707,43.4825659205465,67.00745114135228,64.02796374243798,70.29976325633848,548.4457615666131,523.7143470967119,572.7560307594624,6.881021055783191,6.57877463018305,7.173236535026355,898.9944548563803,860.0805455454029,939.3861615229976,410.52757906833006,390.80188837101855,430.5591547141835,15619.937962164362,14930.676885596622,16382.339832670546,7668.091182232044,7208.355681917513,8119.295778690581,0.620268308749322,0.6052015026820831,0.633432877738904,303.39268530764923,296.58323357312196,310.8395900856535,4207.229439544346,4024.2090763613096,4385.816534038306,100,2118
BAU,4,2019,185.45172531362255,176.2018032122524,196.13627443556788,40.79937956899696,38.76439670669553,43.14998037582494,37.499645266861904,35.468661165219594,39.33610494044463,60.2315038955488,57.38110673606398,63.317860679363136,492.15440650534975,469.9256108555908,516.9346331904053,6.152989887737272,5.8769778704709434,6.4386641022430595,814.0159062766628,778.3972628248787,854.9000487849943,378.91479903282396,359.8477505350099,400.7030504905249,14716.220244324813,13931.989900411776,15612.643158959854,7355.840576917356,6866.038325667496,8004.579958409182,0.6666851405962558,0.6470409814317513,0.6997994292998573,326.33779205411605,316.1539625104857,342.64558248859566,3774.837610893734,3610.546451402441,3960.3761399397617,100,1886
BAU,5,2024,169.0456886756921,159.4609527980609,179.91775004789366,37.19005150865226,35.081409615573406,39.58190501053661,34.04585725314047,32.04683571649967,35.761537873130266,54.646316596882244,51.801690604561145,57.359145270158876,445.72953216905796,423.2302775744484,467.21863524194004,5.5542156579016115,5.270144388860761,5.84673382982953,739.6127150949405,701.4520171419921,775.0450574245931,345.5595927564515,325.85761677219296,367.62021874034383,13685.243376972527,12837.172892243836,14540.875748604827,6948.859616762088,6447.0802335784765,7555.951164565093,0.7242066004162963,0.6820025961844003,0.8303022393652677,354.7054010127362,334.7415463460361,404.42528050669193,3418.362280029353,3248.0900662455624,3577.0538848854094,100,1694
BAU,6,2029,152.99822126600935,143.8057410480194,163.1136661440067,33.659608678522055,31.63726303056427,35.88500655168147,31.172834459304656,29.447542875588383,32.892329300279506,50.01344144272798,47.14880195613355,52.74322386916297,407.50434219754607,384.09117545461424,429.63934606422646,5.066942276318418,4.7810476822018515,5.339608953007682,674.9424355507241,640.2437200242471,709.6258569562833,312.9164926447525,294.13846247684967,333.749052162432,12628.060820485594,11873.990155599198,13443.168595731742,6515.864418333812,5942.852555847767,7074.9199944578395,0.8102615426248456,0.7331123569900275,1.135727221503173,396.48266658771337,356.9047472216578,543.8600894938284,3124.7070284965675,2943.6061334895317,3289.731098646427,100,1539
BAU,7,2034,136.68947985407243,127.925031695368,146.30877771416962,30.071685567895933,28.143506972980965,32.18793109711732,28.438065378467318,26.564145969604,30.027221235119228,45.75151821337559,42.86698475758244,48.3117059084917,372.42025786450813,349.85525295564355,394.0660777250654,4.62699518877445,4.338073864581984,4.857532031732784,613.315682638121,575.9151699653574,646.6864156774872,279.69875434440723,261.9035294380898,299.57664778829667,11459.750676921876,10732.968990557249,12332.416058458262,5991.706200858689,5406.178150396874,6597.114103976601,0.898751049552593,0.7869366249448984,1.4034420833886956,441.0793669845314,386.8482850910241,691.7266312918148,2855.1952456487825,2680.202015860457,3003.6851012955403,100,1398
BAU,8,2039,121.13181562394189,112.9961709217198,131.07160831896522,26.648999437267218,24.859157602778353,28.835753830172347,25.930188294511463,24.163824946899737,27.694135092035236,41.89249815133542,39.30245255432824,44.695767194271156,340.7594527527881,320.70380259191273,362.50423364127334,4.231025416692978,3.9757458413936995,4.476042053886387,556.3110336342688,522.6559266565764,587.9933511149288,247.97650343290366,231.41314467251578,268.45852600380954,10255.708323543216,9468.87486925978,11094.809207995317,5423.733963664595,4892.576091982726,6085.2981707297695,1.0426406169519946,0.8693959675244108,1.452857156643676,513.2787244575644,422.64032558217946,722.965450262911,2611.591865777045,2456.26018122154,2771.378952910143,100,1273
BAU,9,2044,106.74725011553599,98.11153911252404,116.01361287201317,23.484395025417918,21.584538604755288,25.522994831842897,23.54446657463201,21.856928271712228,25.18343332504903,38.20185904614339,35.67239593613169,40.88410034110878,310.65413751793824,290.07301953985444,332.02400426235425,3.8578640636412618,3.5996352865638848,4.111255482922968,502.39671283630753,468.97914672088154,533.8523976353605,218.6045149799454,201.02689980195646,237.49278986286268,9127.094552003073,8317.798266072143,10097.39097201974,4860.988062276512,4307.714738150744,5508.790702204928,1.2224454104073295,0.9500584424744067,2.3767826550027613,606.7723228103675,463.10464279699323,1232.7751673097355,2380.2799635497227,2223.3838421960545,2539.342703253476,100,1155
BAU,10,2049,94.30271463134315,86.49168830429053,103.17760063268847,20.746597218895495,19.028171426943917,22.699072139191465,21.426114726767235,19.862652519986028,23.11515288436197,34.93992070189129,32.397479960671014,37.3657169921764,284.1882112983893,264.7204447636257,302.8237015647464,3.530523795436982,3.2616879341629383,3.7710320721657977,455.2683723104167,422.04725093283787,483.2956491672493,193.1840059153671,177.16306244814024,211.36981963352778,8134.36589629276,7314.334166014621,9096.542805692614,4352.146073713386,3832.4336574117597,4971.670851866326,1.4080816304121453,1.0727538278802808,2.49933050560561,699.5920693126895,523.7764964900348,1226.370211059444,2176.4670533325543,2024.4033977191702,2321.265013295889,100,1054
