scenario,cycle,year,mmt_agc_mean,mmt_agc_lo,mmt_agc_hi,mmt_bgc_mean,mmt_bgc_lo,mmt_bgc_hi,mmt_dead_c_mean,mmt_dead_c_lo,mmt_dead_c_hi,mmt_litter_c_mean,mmt_litter_c_lo,mmt_litter_c_hi,mmt_soil_c_mean,mmt_soil_c_lo,mmt_soil_c_hi,mmt_under_c_mean,mmt_under_c_lo,mmt_under_c_hi,mmt_total_c_mean,mmt_total_c_lo,mmt_total_c_hi,mmt_biomass_mean,mmt_biomass_lo,mmt_biomass_hi,total_vol_mcf_mean,total_vol_mcf_lo,total_vol_mcf_hi,merch_vol_mcf_mean,merch_vol_mcf_lo,merch_vol_mcf_hi,rd_mean_wtd_mean,rd_mean_wtd_lo,rd_mean_wtd_hi,sdi_mean_wtd_mean,sdi_mean_wtd_lo,sdi_mean_wtd_hi,total_area_mha_mean,total_area_mha_lo,total_area_mha_hi,n_sims,n_conditions
BAU,1,2004,238.45574521272658,229.6774716643643,246.97142158403955,52.46026394679985,50.52904376616015,54.33371274848871,54.380941235205896,52.496839260427294,56.1011967940407,87.53519368729796,84.73745119300764,90.77706405928103,720.4151064789045,698.0201747730896,747.1481614064544,9.10734634485347,8.817717803906593,9.454904302814146,1147.3500926165189,1113.7632689423017,1187.1935909661215,486.5292505257762,468.57886939235567,504.18516419686847,17938.55424021966,17195.1274391167,18637.930797428176,8522.836135887743,8090.174820658178,8971.56208499465,0.5292970604543705,0.5203656178937555,0.5366904164865377,258.4968320384757,254.3319280306716,262.3683187847595,5525.686643196442,5355.03965075642,5730.387209556609,100,2843
BAU,2,2009,223.23726312647184,214.14713115050046,233.18875933718098,49.112197887823804,47.1123688531101,51.301527054179815,47.5323144062196,45.53311849143024,49.36886519036667,76.42213373676853,73.6992562836841,79.48667717780839,627.2958843012,604.5894934261653,652.7276736032502,7.898994082742812,7.6101130922198426,8.242629256674313,1018.6572846834935,981.9612296322483,1059.2476127702403,455.68203049403985,437.13700787557116,476.2752660488808,17023.844738410848,16205.468859057215,17863.61738213944,8222.458881046055,7721.368471647946,8694.105105079048,0.5757971058423775,0.5667570024067541,0.5854188303618653,281.4786500761911,276.9369528802998,287.2760584783128,4811.612781490869,4643.272681515977,5004.9414667568335,100,2447
BAU,3,2014,207.44365365929485,197.77303111746517,216.56021554560877,45.63760380504487,43.51006684584234,47.64324742003393,41.75474334888338,39.89445222673778,43.455813033637774,67.04864699846634,64.28206566386933,70.210497245185,548.9706891247993,526.6116895392661,573.599213485878,6.88500159434118,6.606754286713789,7.2188074524343975,907.7742175907002,870.270507449753,947.6006888675959,423.64652602502815,403.8295992896435,442.25498305810186,16123.951610497277,15292.765138783503,16946.9298185177,7898.09941509155,7346.595082020994,8352.293181265955,0.6184790228838472,0.6071595455696086,0.6330477764046181,302.56393179249926,296.63763316981596,309.0325106292222,4210.432099125481,4046.0494983206836,4399.4237191297925,100,2120
BAU,4,2019,193.94844689075722,184.71126006486395,203.3194129085535,42.66865831596659,40.63647721427007,44.73027083988177,37.5080261403144,35.43358682309987,39.21157287243744,60.15194823821722,57.61806235914352,62.91376782554304,491.51406358321526,470.615538267979,513.0300745820801,6.141308656185283,5.906999818883181,6.419267561175391,823.8918042882675,789.348813880177,859.4626046349405,396.2570026942292,377.3688558120763,415.5348325697846,15399.959087243462,14496.617908131933,16161.650681470512,7667.099503422322,7010.942158318803,8219.293251124313,0.6614641918525711,0.6421214436695903,0.6878341979513343,323.83378173599675,313.1657210793133,335.57203765597137,3769.2197362244906,3613.9468145189476,3937.60336078798,100,1883
BAU,5,2024,180.6645569738861,171.8364356589642,189.73906406167572,39.74620253425494,37.80401584497212,41.742594093568655,34.16937990973139,32.27423781600757,35.855405721113925,54.695906870958574,52.20885637123946,57.25376942491259,446.15100605257896,424.712895271168,466.76826087660515,5.553167643585349,5.279076916747924,5.820766162892545,754.6502106933369,719.5072298629709,789.8143292064542,369.26407926507306,351.4011091234334,387.7429759270975,14642.751234214791,13750.526122753809,15475.57127005529,7387.406650311655,6751.432625085166,7920.787424782797,0.7134793611626132,0.6802867203446867,0.8105958598165829,349.4424423701352,332.30697544691196,393.72547554949193,3420.5567238716512,3262.2852569990428,3583.4199991430983,100,1695
BAU,6,2029,166.58782680284523,157.36695495167106,176.96246266133772,36.64932189662595,34.62073008936764,38.9317417854943,31.35127276436802,29.663188818800307,33.06479957015405,50.126464081102824,47.864599225642195,52.71423094289116,408.25296996883037,387.95771037374493,428.5174377129905,5.068468496427783,4.8135666887399395,5.3146507784239,692.8635689798613,659.3202256902493,730.1027024993618,340.64014804569103,321.6909664281867,361.87802184658,13794.778049802977,12886.755615830094,14748.735340571755,7043.53648567544,6342.66293518436,7683.320886416894,0.7934489885687608,0.719379463685216,1.2231690894916376,387.6461461007987,352.71149398249867,573.3119717686134,3129.678152763435,2976.645078997599,3286.1881819699115,100,1541
BAU,7,2034,151.37029829669987,140.5282939330625,162.1149158183133,33.30146562527398,30.916224665273756,35.66528148002892,28.64751671967518,26.704411321046354,30.38877766382246,45.86895636249747,43.09548611509726,48.66558402821203,373.20566306458323,349.4139114730351,394.9052444320751,4.6262769493305536,4.330307936962254,4.8997023882305015,632.6584665511822,593.1938635453726,669.9958260946316,309.66529969760086,287.47446896288864,331.6321583102514,12760.951571019743,11708.467017951843,13765.80718787709,6578.5100066794275,5778.749632203731,7210.140592146383,0.8467090190706695,0.7669255783775137,1.0583008262948392,415.65629009078805,374.23779270950683,511.3186064945923,2860.3816608910206,2677.493930446704,3029.7844445091323,100,1400
BAU,8,2039,136.9347454853953,126.00793213027512,147.4934627726571,30.125644006786963,27.721745068660532,32.448561809984554,26.14348674001954,24.110114573927333,28.044287383457178,41.942274766104234,39.09896474211354,44.49579478988571,341.0082926936116,318.496586156569,362.5511392543525,4.22404065338064,3.9274702137529367,4.475663419984727,576.5100845808862,539.5797243736222,612.5348138668269,280.24513424185443,257.8081173461134,301.78470991141336,11720.718022569963,10548.822640808708,12677.323030900301,6080.503976073261,5319.284794840354,6758.7912304761785,0.9613290561890779,0.8256193183404578,1.301425260354213,474.0316437617516,404.11317711664526,651.2052931706207,2612.938089954659,2438.317534742502,2773.8118378535964,100,1274
BAU,9,2044,123.64530516531478,114.53188364064818,134.2897883910448,27.20196713636925,25.1970144009426,29.543753446029857,23.850418143265046,21.94728057327625,25.9050940903107,38.404177186958414,35.921170994944404,41.114289083517164,312.1015746904487,291.6285060371953,333.46504338815316,3.8654788016996533,3.5950516021553094,4.122253781391081,525.3597231382053,492.61766893233107,560.1107671659024,253.127456259802,234.418891087654,274.7464571222173,10742.409829635802,9706.346932290104,11714.776449253855,5568.520351130491,4813.714565906041,6329.561129806681,1.1787184745110566,0.9142400377056665,2.0780465054218884,583.4695067294666,446.2200741160806,1060.1859699677948,2391.454859551611,2236.7829482471484,2554.0683964640725,100,1162
BAU,10,2049,111.47017771945684,102.75939701358057,122.98498831405088,24.523439098280505,22.607067342987726,27.056697429091194,21.73978622259231,19.956332993147125,23.618018448531146,35.14022064323232,32.45786615769109,37.84072310496167,285.62079063308585,264.2778308750185,306.27836750730864,3.536985830541821,3.252483590000498,3.7982540203855812,478.55977536527126,443.93595897275736,511.93278825013465,228.26352977579174,210.35747314819625,251.88024552182821,9844.325040995622,8839.738475100956,10906.445422284061,5077.765957628401,4311.871277436402,5879.855104823604,1.4257820098338758,1.019646744915295,2.959047817239629,706.8026615476225,494.336930108865,1545.8336776693016,2187.8534256020403,2021.0950122912966,2347.068426210216,100,1060
BAU,11,2054,99.69381020770203,89.43621003303356,109.94230702632757,21.932638245694445,19.675966207267383,24.187307545792063,19.821020230310058,17.954225338719525,21.446646455005457,32.171549552428644,29.243075057586687,34.86404492801521,261.49011389627765,237.00910974016398,281.976159824996,3.239040478415488,2.9473296960489916,3.5112448819667037,435.00321564398166,397.2958497290083,468.2594482975299,204.2008277030766,183.08845386026434,225.15720702677453,8894.214256833107,7767.88976879204,10048.9814378802,4558.175464008694,3912.9791274572794,5248.89676442284,1.7121956313306759,1.12774151867396,3.5453314961022784,856.8008238056963,550.8214274232906,1856.0747670920036,2002.6712731180485,1816.2938210990644,2166.6968597381665,100,970
BAU,12,2059,88.23024560492806,76.88238657340145,97.87355636655357,19.410654033084175,16.91412504614832,21.532182400641787,18.06747145829802,16.39292974972866,19.49261094512116,29.425800615070873,26.55539787545671,31.949137742789144,239.27243953856274,215.20440545655768,258.64851768434403,2.965755541553578,2.6755580769031235,3.2229532961960574,394.23309317787823,356.474566837717,426.1916140038327,180.77588605446627,157.42522460812575,200.47922647939538,7910.749808954192,6789.003242407448,9198.339894724813,4031.3430863195686,3382.2769900551148,4704.9000847397565,2.2135222352270003,1.2443918538096983,4.137623566840937,1110.9033351837306,611.4628330371021,2162.2744786637923,1832.2293626035853,1648.4478209731744,1985.821829311263,100,887
BAU,13,2064,77.60513766423384,67.24754997612814,86.82240150771501,17.073130286131445,14.794460994748192,19.1009283316973,16.426777768547762,14.793985406659893,17.991386009401943,26.888501142967932,24.21256019914029,29.274032396382125,218.80889991619858,196.17647255917433,237.6321241292702,2.7143481695784337,2.435974624865226,2.975226820290656,356.50340950027856,319.0447499256951,387.4732191099108,159.05849137300729,137.84695077107892,178.07505336860663,6986.940462180166,5898.043535928367,8484.027163156159,3526.43680143664,2884.867708560805,4134.8092033850835,2.9935162951347505,1.3794796825490905,8.602239832299011,1526.8601438235914,684.311219634781,4577.641070295237,1675.365934986848,1502.347995137839,1823.181786141193,100,811
BAU,14,2069,67.97180700082552,57.08580293490806,77.6146510555591,14.953797540181615,12.558876645679774,17.075223232223,14.907681015585524,13.408296686846047,16.411143368901648,24.556825572949474,22.0021240614835,26.77881093480173,200.04767588184689,178.93922584291136,218.25809839701805,2.4849029287059228,2.2253683616098416,2.734631275905756,321.9347192275309,282.13455895496895,350.9924758074726,139.35453543366165,117.1057140009791,159.2010541563605,6056.830268645169,4892.862337450082,7362.294973663589,3085.281875698633,2444.4206360003154,3766.0069824914663,4.3176332487335065,1.5109218736011636,17.969135821122638,2226.1192685053225,755.2221915664736,9687.869750915237,1531.6851745965766,1369.091790750394,1669.0792851010738,100,742
BAU,15,2074,59.308860441023974,49.227321893473665,69.14602389999112,13.047949297025275,10.830010816564208,15.212125257998046,13.502310479048843,12.027347691504056,14.868848486486009,22.395215210392927,19.911884718342932,24.635324538314904,182.54905575087528,161.7072832994992,200.16302139629937,2.2705948038488706,2.0219001192075226,2.5061617957337514,290.0993656476684,251.32609162786298,317.72597942841867,121.62541407327653,101.07512830501086,141.8944176541608,5259.6943900690685,4025.9804723233246,6404.295588631938,2665.682516843657,2117.1013081996625,3301.1315731185655,7.58418849885394,1.7736282343771808,36.261626287308204,3969.022343026546,881.4092505158733,19708.283899788305,1398.2968253907766,1239.3637869581062,1532.9412865467707,100,678
Harvest_m25_mill,1,2004,240.95050635176017,231.36660535986042,249.3413274701951,53.00911139738724,50.90065317916929,54.85509204344292,54.59832620990655,52.77321529910034,56.37972583319794,87.86539121426667,85.34754097273215,90.61884573439343,723.4198106625784,702.8775400415482,747.8710369387272,9.147970941036244,8.86737256621588,9.463182732732182,1153.9090374653845,1119.8463990800897,1191.0948829199426,491.61783657392476,471.97588375282635,508.9323866121092,18143.702102461048,17419.888779586792,18822.642872984958,8623.143605742202,8189.691350339756,9054.519545002706,0.5313471223110351,0.5231820585739507,0.5391949300427622,259.4891136160473,255.14233338893553,263.7220072467772,5547.760156379979,5398.253912528673,5734.460290698535,100,2855
Harvest_m25_mill,2,2009,227.98936786943716,218.3272809705081,237.4217401685035,50.157660931276176,48.03200181351178,52.23278283707077,48.07054078150224,46.143590769470435,49.81587277240783,77.26223572396368,74.67375505708378,80.39161313267167,634.7207563033991,613.5552670003591,658.2494432195904,7.995970932719488,7.726920318144948,8.2938602888116435,1033.140238627118,996.3798833539881,1070.6386956994731,465.3742580260898,445.59796355329297,484.6102203154071,17414.41021683648,16622.57741647466,18094.43736059124,8411.768013542098,7946.834286207644,8807.269954427935,0.5792519246507658,0.5686708553213866,0.5897438786287179,283.13580522672896,278.2904477616475,288.0008800118453,4867.557048272542,4702.4809121514645,5043.9419751262685,100,2478
Harvest_m25_mill,3,2014,214.88248154176964,204.29422716995467,223.7923107674493,47.27414593918932,44.944729977390026,49.23430836883884,42.624353821253045,40.72430885468856,44.342021113849995,68.41263983839316,65.9178347849314,71.19795597383923,560.7765002936482,539.6176789403285,583.8406383210933,7.037396005704786,6.779171645169539,7.336328030279723,930.4276921846199,895.972992146972,966.2029339095191,438.8188833321664,417.2416972274815,457.1709862806397,16740.569193533735,15785.9370658279,17420.117120342875,8216.241483282916,7713.988697708628,8716.067914491301,0.6240024193325862,0.611795092942532,0.6378968623592907,305.22349366011804,299.0469145742653,311.8389304037603,4299.615515791246,4149.127644819627,4475.295330995379,100,2167
Harvest_m25_mill,4,2019,204.01990536367316,191.75144154765854,213.74990528901816,44.8843791800081,42.185317140484884,47.02497916358399,38.751682174650135,36.99082007927809,40.46033296080249,62.08474886877628,59.81254539272629,64.53286504279237,507.8469980649315,490.87046046265556,530.2795013243533,6.350181703414801,6.119954790954074,6.628454913905147,855.322206524425,822.8844163602888,891.4791860479863,416.8100675153595,391.73642942860323,436.59653391899957,16248.246270061547,15264.392795821148,17021.554851711426,8114.739944686754,7562.84631619693,8777.237301322224,0.6708901167353993,0.6509496443598006,0.7015868631188841,328.5239530176153,319.30849627325676,342.82054806003237,3893.0132160631683,3762.9812890879425,4065.692708463981,100,1946
Harvest_m25_mill,5,2024,192.09638389972554,180.10358510116208,201.9191751673788,42.26120445793962,39.62278872225566,44.422218536823344,35.57899551817247,33.71501482075615,37.31058548475738,56.84915066681624,54.296134383477906,59.51319776779731,464.37830558739165,445.0450129659274,486.78900601296965,5.785097777356266,5.5580114028808225,6.061522403702414,790.0971118253237,755.25171138478,825.8605999365602,392.6216598901583,367.9864817195379,412.959378849931,15652.87758362908,14532.875941720002,16621.35611783666,7939.003363443506,7361.908091813508,8643.375652127881,0.7266169719134057,0.6924686406851257,0.8200061004976498,356.01756097306986,338.6993115737615,399.5193481658887,3558.4034134184853,3414.162389795912,3731.523445677167,100,1765
