scenario,cycle,year,mmt_agc_mean,mmt_agc_lo,mmt_agc_hi,mmt_bgc_mean,mmt_bgc_lo,mmt_bgc_hi,mmt_dead_c_mean,mmt_dead_c_lo,mmt_dead_c_hi,mmt_litter_c_mean,mmt_litter_c_lo,mmt_litter_c_hi,mmt_soil_c_mean,mmt_soil_c_lo,mmt_soil_c_hi,mmt_under_c_mean,mmt_under_c_lo,mmt_under_c_hi,mmt_total_c_mean,mmt_total_c_lo,mmt_total_c_hi,mmt_biomass_mean,mmt_biomass_lo,mmt_biomass_hi,total_vol_mcf_mean,total_vol_mcf_lo,total_vol_mcf_hi,merch_vol_mcf_mean,merch_vol_mcf_lo,merch_vol_mcf_hi,rd_mean_wtd_mean,rd_mean_wtd_lo,rd_mean_wtd_hi,sdi_mean_wtd_mean,sdi_mean_wtd_lo,sdi_mean_wtd_hi,total_area_mha_mean,total_area_mha_lo,total_area_mha_hi,n_sims,n_conditions
BAU,1,2004,230.76488426130797,222.26090478583484,239.32850512883104,50.768274537487756,48.89739905288367,52.65227112834283,54.00219042478886,52.266051707811044,55.70694979197568,86.65022447390666,83.78249108953034,89.84498064897555,713.7888016143875,691.0721010806925,741.3264035499719,9.013776103425387,8.71962890618558,9.36741039022424,1130.2315046746685,1094.447804915503,1169.6214173432868,470.8238195993949,453.39286853680767,488.47189256184714,17375.1115700016,16655.440639893164,18089.11676153938,8265.764836247075,7858.104049349447,8725.623843558958,0.5216592791649654,0.5120767833585776,0.5296554110126938,254.81831968593283,250.29510852002088,258.86146469830715,5474.583679584704,5304.762742741868,5684.417730288029,100,2819
BAU,2,2009,206.8183086139145,198.0353628861307,216.90369406924907,45.500027895061194,43.56777983494876,47.7188126952348,46.434564976740695,44.562176196558696,48.35663589763334,74.21508100045158,71.4622738348146,77.60016191592572,610.3380224750919,587.2685628036841,638.3954323860019,7.6702286727779985,7.394051925831983,8.057236302436845,978.6341581845421,945.1498754690249,1023.6712871606555,422.1390937441371,404.1656408930178,442.86071261751835,15783.969899294776,15062.452856470929,16585.607026347952,7638.111927290906,7229.1820456560445,8144.001162831719,0.5612996753639142,0.5486697150351987,0.5701994830708748,274.49011202241263,268.90077868528454,278.51913521049295,4681.671717872112,4506.081904754128,4902.563648382469,100,2385
BAU,3,2014,183.7446147217789,175.9124800139231,193.3306387292937,40.42381523879136,38.70074560306308,42.53274052044462,40.12635994463749,38.359848492770055,41.95882359377484,63.918366946827106,61.367878914983095,66.5561738329596,524.6836432679028,504.7647096387892,547.3180216670023,6.5602271901022515,6.316756776701348,6.841144363324412,849.8067683987991,816.4225951103767,886.3841204115688,375.20509017596225,359.2167124106279,394.70460334175186,14275.610917029167,13641.401762384288,15080.197074885908,7026.644331861808,6556.476559187817,7481.834958377578,0.5975763388321204,0.5843634611981277,0.6110071049160745,292.4548979946796,286.38930197987645,299.5979734982319,4024.6669802188712,3878.087443159078,4186.234552438547,100,2031
BAU,4,2019,164.1538778395888,154.69709178246933,173.82162608567424,36.113853124709536,34.033360192143256,38.24075773884834,35.54280831756395,33.673646809886264,37.32444203589725,56.42117844172443,53.692726404098366,59.11121324008138,462.6318768697097,441.28176219705097,484.01624124420846,5.758762214676941,5.486636407842473,6.020363268602552,752.9608928736214,716.1215080908992,788.6232966853058,335.33605494178335,316.0408800256728,355.0389256725814,13017.410767461743,12245.5857049121,13794.299695467787,6532.274829127777,6008.2763307389905,7064.879939573829,0.6324919242035262,0.6095938027363514,0.6737554616442503,309.9071638591227,298.3448149165405,329.46828825296507,3548.4288082277785,3396.221157649553,3702.87163871586,100,1777
BAU,5,2024,144.77504697312804,136.54496240735637,153.32142519785313,31.850510334088174,30.039891729618397,33.730713543527685,31.69052520186875,29.97822098988223,33.37680638891072,50.184988290091205,47.843127049377856,52.66802468160881,411.07880467810213,392.3125723588406,432.79863540744117,5.096588219182063,4.839730009089687,5.375747948765376,668.7162929706493,635.8343816155732,702.7468715770939,295.8775614555692,279.0384333067084,313.3498530699435,11691.758707463552,10892.323039199673,12496.360996872341,5975.85407091527,5444.100553989152,6519.5738427474525,0.6735139941885174,0.6346834279505498,0.7735925767621497,330.0871190005256,310.7886988639602,369.25573184773395,3152.797138283689,3008.4722312622143,3308.9611818297326,100,1568
BAU,6,2029,125.98809397136513,117.64446417312621,134.19126744618953,27.717380673700326,25.881782118087767,29.52207883816169,28.276141091969432,26.633475079969628,30.012968346376766,44.79742607532759,42.504800575023424,47.6671998374801,366.7149141360265,347.2889784853672,386.4718967969952,4.5371012273027835,4.295722053262448,4.790731200293358,593.1802672606095,562.9295122204965,624.5516588961857,257.60520355146883,240.5793590126259,274.5426891487807,10349.563908741911,9631.188798465517,11048.237028714262,5355.287912477607,4903.5637298955135,5907.224584807938,0.7301527082969853,0.6681797111490257,0.940350631785676,357.32865440358586,327.0162464911356,438.2327647954155,2812.5665937061344,2669.4684952557927,2965.244654147722,100,1391
BAU,7,2034,108.53599589361633,99.29424541506597,116.85858113652608,23.877919096595594,21.844733991314513,25.708887850035744,25.213206688630972,23.589089262457012,26.941928501486544,40.102857848004646,37.930108172825285,42.80504307903283,328.26212973681464,309.16349383060265,349.90800373629963,4.056859456202194,3.834847139376342,4.327762010739116,525.9093712408334,496.1721280524181,559.2763794916402,222.0210280908138,203.21603669621538,239.02352314668218,9028.581783886186,8169.570903664561,9754.338869000121,4710.169973706044,4212.032390320224,5235.896169514116,0.792222526107983,0.7051735566093253,0.9406887703001832,388.14764842060947,347.368815822683,460.9091007889625,2517.850854109492,2375.8022913814602,2694.51935579547,100,1238
BAU,8,2039,93.0819591276005,85.12721560938778,101.10158073325354,20.478031008072108,18.727987434065312,22.242347761315777,22.444242393075818,21.03141383408734,24.22460922930859,35.94918755017458,33.69051853251851,38.58536212731397,294.38578207418044,276.0482067143779,315.2610737189093,3.6392425749467345,3.427291103029847,3.8910918555149117,466.0523580693754,438.49022532506217,500.519513388882,190.4896351973894,174.3510285794111,206.94341702354473,7795.460137822986,7061.920525495985,8550.898787115853,4091.6818084204365,3582.770409717258,4569.726903670642,0.8829050955231337,0.7573531899947449,1.1242977641767422,435.12917416220887,370.7036444840388,564.2888828102145,2257.7591400273536,2122.5939490507394,2418.9243780781935,100,1104
BAU,9,2044,79.64870254154731,73.24788705112655,86.99803299077027,17.522714559140407,16.11453515124784,19.13956725796946,19.940182025298313,18.615273946890646,21.714053565284154,32.22101685958115,30.22433334273157,34.95579321690281,264.0267199890683,247.98795749834105,285.8152348980842,3.266538067816166,3.05662672984277,3.5462490312919264,412.8970025096986,388.8387206891317,444.76365230875183,163.05306708654436,149.97700837320178,178.14945035751668,6718.351304237482,6046.933776750143,7419.383894844317,3547.7321338868173,3087.125332666186,4083.230406269451,1.0298040382787665,0.7897812454615346,1.6806341308507846,510.3019573416888,385.37543192308385,839.1993462200301,2024.6849456114905,1904.2827952322887,2201.1475666349083,100,987
BAU,10,2049,68.0044916820556,61.853209395676735,74.43969398890243,14.960988170052232,13.60770606704888,16.376732677558536,17.729288081799,16.614394390543406,19.157885814725162,28.97067100494866,27.059307778449554,31.138084113935946,237.54977262774273,221.3302742091844,255.84552250457887,2.942888865462825,2.7374391102862425,3.164382030333829,366.56649024912576,343.5220645981456,392.7487218385717,139.25482518777147,126.70195512964293,152.5054004122607,5770.813105565645,5179.602045969947,6429.398107710958,3050.591157446644,2638.7892388266964,3672.042732457583,1.1752987153490475,0.8359694944608524,2.4153989272077077,585.4026385710575,409.39761832020463,1249.8588158182454,1821.9932060906935,1698.6862800236922,1970.4811973613253,100,886
