scenario,cycle,year,mmt_agc_mean,mmt_agc_lo,mmt_agc_hi,mmt_bgc_mean,mmt_bgc_lo,mmt_bgc_hi,mmt_dead_c_mean,mmt_dead_c_lo,mmt_dead_c_hi,mmt_litter_c_mean,mmt_litter_c_lo,mmt_litter_c_hi,mmt_soil_c_mean,mmt_soil_c_lo,mmt_soil_c_hi,mmt_under_c_mean,mmt_under_c_lo,mmt_under_c_hi,mmt_total_c_mean,mmt_total_c_lo,mmt_total_c_hi,mmt_biomass_mean,mmt_biomass_lo,mmt_biomass_hi,total_vol_mcf_mean,total_vol_mcf_lo,total_vol_mcf_hi,merch_vol_mcf_mean,merch_vol_mcf_lo,merch_vol_mcf_hi,rd_mean_wtd_mean,rd_mean_wtd_lo,rd_mean_wtd_hi,sdi_mean_wtd_mean,sdi_mean_wtd_lo,sdi_mean_wtd_hi,total_area_mha_mean,total_area_mha_lo,total_area_mha_hi,n_sims,n_conditions
BAU,1,2004,237.0846276028328,228.33383124850207,245.6170653559009,52.15861807262321,50.23344287467045,54.03575437829819,54.380941235205896,52.496839260427294,56.1011967940407,87.53519368729796,84.73745119300764,90.77706405928103,720.4151064789045,698.0201747730896,747.1481614064544,9.10734634485347,8.817717803906593,9.454904302814146,1145.6773291324482,1112.1117570657216,1185.5134145264012,483.7335960624583,465.84150560141006,501.38286732027143,17839.283945955664,17098.23970107759,18533.70262008447,8478.710275829142,8047.174994752593,8924.84670223763,0.5292970604543705,0.5203656178937555,0.5366904164865377,258.4968320384757,254.3319280306716,262.3683187847595,5525.686643196442,5355.03965075642,5730.387209556609,100,2843
BAU,2,2009,219.7505736919125,211.03080917136845,231.18759203777358,48.345126212220755,46.42677801770107,50.861270248310184,47.52351189269661,45.699288943529034,49.48125474781692,76.44502680080515,73.57157766207763,80.05364184135425,627.39537632824,604.6710839487487,657.8052323881752,7.899513435665825,7.566623249860491,8.293637219019999,1014.4970958816327,975.8787583797152,1064.1663304935807,448.56416875030243,430.68908985217064,471.9811400256858,16767.988593912298,16108.989455436538,17646.935867139062,8099.959162345579,7627.012843041219,8596.908771500484,0.5764384753943511,0.566752073652792,0.5872306673921657,281.78033248197494,276.37550042183244,287.04931422524896,4812.680690871295,4631.6617021811335,5043.218959753467,100,2447
BAU,3,2014,202.55506164947548,193.7740110766244,213.1952670318788,44.562113562884605,42.63028243685737,46.902958747013344,41.901505488039774,40.06003545809706,43.63026969886245,67.29561397914055,64.42477350074462,70.49046448155156,551.0061743321456,529.1528999958265,575.859153980339,6.908831430712966,6.62998881042982,7.229413605189853,904.2032562268392,868.6765333003375,945.6053750337733,413.65820786540644,395.7397627234606,435.42202697407623,15745.322173629691,15019.079461418145,16583.462552311445,7736.811418650962,7247.362605275504,8283.349925111539,0.6221221094240222,0.6057372109561399,0.640440438872903,304.3423589214226,296.39046337079395,312.3373791730454,4226.866369571276,4061.7382078563733,4411.025119929493,100,2127
BAU,4,2019,187.1784696217483,178.17366937743435,198.65672496332382,41.17926331678462,39.198207263035556,43.70447949193124,37.74761337874479,35.9683702913941,39.50588974213318,60.57546434821822,58.17592536884575,63.57358626537525,495.12427063254194,476.0139319656416,518.6210879579373,6.1854803544685435,5.927328959002579,6.478573951554986,820.0660325059114,787.8986607012773,860.1648497481234,382.42741232378154,363.98519921839977,405.8110802193264,14867.844471882696,14078.423079203189,15803.038060653873,7433.637722993035,6876.445756562958,8036.380107265573,0.6694982101112006,0.6475879611598254,0.707038749009872,327.9338908291185,316.8516298685093,344.8998920384241,3797.5291523585506,3648.7267206402535,3968.3045136671144,100,1896
BAU,5,2024,171.45289222837368,162.368815012949,182.8380799191823,37.71963629024221,35.72113930284878,40.224377582220114,34.32347602384255,32.358900974280104,36.17828471266525,55.09230893498389,52.33259065977734,58.04125844934146,449.56587739126,427.7527671564005,474.75212426257406,5.597919875636916,5.343301766019304,5.900017740541424,747.4741837742049,710.0978616927871,790.1275954797726,350.4593698725437,332.0381003561878,373.6789304352317,13899.832028577357,13063.659370348862,14906.493035171898,7058.448307189982,6482.490966166909,7685.611185956221,0.7334527335906673,0.6940768727871887,0.8518423038276166,359.13798268805215,340.6497757369432,411.9489981135639,3447.6218355096858,3275.6525751725167,3631.043542010229,100,1708
BAU,6,2029,155.669161456088,146.83332399447343,166.4212987989272,34.24721552033936,32.30333127878416,36.61268573576399,31.54906002736516,29.84186370962977,33.35679630399151,50.626036077268985,48.262903408463735,53.271857670272865,412.50016388224543,392.3776127753746,434.78347109334777,5.12506907304429,4.871461190347572,5.388969887037874,684.5166832450884,652.2315300621711,724.1220707552075,318.35747304269256,300.20622090975337,340.3023808739133,12837.303084453257,12047.770750079675,13802.409662003742,6643.281636650632,6102.650452433673,7350.39731963405,0.8331500737208944,0.734051478918117,1.2746601201739172,406.8095337266691,360.8894742867676,614.6804835365342,3162.7257348444095,3012.460442140602,3328.5365017231916,100,1557
BAU,7,2034,139.1263570534291,130.31622682941395,150.0460275137967,30.6077985517544,28.66956990247107,33.01012605303527,28.907627401790847,27.22371891051433,30.60551046645487,46.47121288671171,44.07077559829577,49.31912910582135,378.17956705102665,356.9064320025941,400.356620513953,4.693223236278535,4.436415113188715,4.961125057906063,623.5519286441315,589.1222822945634,662.2489803459077,284.6610666411211,266.45386970125816,306.9471642104005,11653.870614665524,10799.400988111447,12618.074151336958,6108.114273644382,5516.301774744104,6805.755451404724,0.9090528148281144,0.7903843858001134,1.4382512156855647,445.9148777272774,387.4336508227922,707.4822014877383,2898.849166809134,2743.653323011697,3062.190147604932,100,1419
BAU,8,2039,124.14268529059474,115.67683473383812,134.0057903487013,27.311390763930845,25.448903641444385,29.48127387671429,26.477527851244986,24.610534143453364,27.97884306433458,42.71718784630543,40.28479657590097,45.38116967503258,347.34178051602294,327.30923637992566,368.1046074260255,4.307536032984141,4.063947381812029,4.566897733634637,568.2916653080453,536.2949485098486,603.0344127690678,254.108786280017,236.78789897304765,274.0714817529853,10525.75067130714,9653.11740322079,11464.674098915988,5576.056720997983,4893.833371083323,6332.769336198899,1.0147336721060627,0.8599989547213315,1.5891068133446917,501.16156149195206,419.41552679761867,797.0268549455602,2661.731214590538,2506.2881815532805,2814.490994725765,100,1297
BAU,9,2044,109.90065600986405,101.75108009224863,119.43852626908722,24.17814432217009,22.385237620294696,26.27647577919919,24.129333360064102,22.497803880890245,25.685530111656426,39.11003477693992,36.85576602173194,41.82187443729269,317.8578692642034,299.07387197124194,338.8080914005568,3.9427547728739643,3.703889088947089,4.206926076433462,515.316461019518,483.2287701247509,550.5045505876885,225.04541291001104,208.1538563064811,244.34110049370292,9408.439577820363,8550.373091548652,10320.47328390851,5010.787571054512,4349.86180211311,5816.417954931914,1.2811063844971766,0.9407224708713703,3.149754396821275,636.6611506865706,464.1598730940651,1539.492767117288,2435.107132726877,2290.586762664315,2590.6537229257624,100,1182
BAU,10,2049,97.56543326676376,89.68318982770678,106.89720069770655,21.464395318688027,19.730301762095493,23.517384153495442,22.026610326717186,20.233328020636563,23.671359764254568,35.884997939234935,33.388879549167,38.45738337942811,291.5493125225706,268.7125402558518,312.52680027777456,3.617182910833019,3.3526355867595146,3.866274614507849,468.5018335563627,432.2672724268332,503.70343651420364,199.84886140385993,183.64957520266427,218.88392297847042,8422.996310163322,7604.184790443456,9271.05480796342,4504.100931459435,3847.740637448149,5305.685686018593,1.62044259630082,1.042962157224277,3.3907175252649377,812.2930270215187,507.3605421089785,1745.1423404922807,2232.9658349366873,2066.374576044165,2388.3168435046387,100,1081
