scenario,cycle,mean_ba_mean,mean_vol_mean,mean_carbon_mean,total_tpa_mean,harvest_rate_mean,plant_rate_mean
BAU,1,109.6,3120.3,62329.6,341.1,9.8%,5.0%
BAU,2,108.9,3182.8,63499.3,354.5,9.4%,4.6%
BAU,3,105.4,3193.7,63410.3,371.8,9.2%,4.4%
BAU,4,100.7,3191.2,62778.2,396.5,8.9%,4.2%
BAU,5,94.3,3133.4,60965.3,433.5,8.7%,4.1%
BAU,6,87.5,3042.4,58497.2,490.1,8.3%,3.9%
BAU,7,81.4,2950.1,56041.1,574.7,7.9%,3.7%
BAU,8,75.5,2832.5,53235,712.1,7.6%,3.7%
BAU,9,70,2703,50274.2,917.3,7.1%,3.5%
BAU,10,64.9,2557.3,47169.4,1236.4,6.9%,3.5%
BAU,11,60.4,2412.9,44144.4,1755.2,6.7%,3.4%
BAU,12,56.6,2290.2,41585.1,2597.7,6.4%,3.3%
BAU,13,53.2,2161.7,39029.2,3929,6.3%,3.3%
BAU,14,50.5,2057,36971.1,6160.6,6.1%,3.3%
BAU,15,48.3,1967,35248.5,10125.5,6.0%,3.2%
Harvest_m25_mill,1,110.9,3156.2,63040.4,342.8,7.3%,3.7%
Harvest_m25_mill,2,111.7,3260.3,65057.9,359.1,7.1%,3.4%
Harvest_m25_mill,3,109.2,3305.2,65642.5,380.1,7.0%,3.3%
Harvest_m25_mill,4,105,3324.3,65430.9,408.5,6.8%,3.2%
Harvest_m25_mill,5,98.9,3281.7,63870.6,451.8,6.6%,3.1%
Harvest_m25_mill,6,92,3192.6,61379.9,520.4,6.4%,3.0%
Harvest_m25_mill,7,84.7,3074.1,58297.8,625.5,6.2%,2.9%
Harvest_m25_mill,8,78.2,2953,55260.4,775,6.0%,2.8%
Harvest_m25_mill,9,72.3,2827.7,52233.5,1014.9,5.6%,2.7%
Harvest_m25_mill,10,66.9,2695.1,49194.1,1404.7,5.4%,2.7%
Harvest_m25_mill,11,61.5,2534.7,45802.6,2072.4,5.2%,2.6%
Harvest_m25_mill,12,56.9,2383.4,42650.9,3138.5,5.0%,2.6%
Harvest_m25_mill,13,53,2245.6,39874.2,4926.4,4.9%,2.6%
Harvest_m25_mill,14,49.7,2112.6,37286.7,8036.1,4.8%,2.6%
Harvest_m25_mill,15,46.9,1994.7,35054.3,13517.1,4.7%,2.5%
Harvest_p25_pulp,1,108.3,3086.3,61642.4,338.7,12.2%,6.2%
Harvest_p25_pulp,2,106.2,3108.5,61981.7,349.1,11.7%,5.7%
Harvest_p25_pulp,3,101.9,3091,61339.9,362.8,11.3%,5.5%
Harvest_p25_pulp,4,96.6,3061.3,60222.1,383.1,10.9%,5.2%
Harvest_p25_pulp,5,90.3,2992.8,58280.8,412.1,10.5%,5.0%
Harvest_p25_pulp,6,84.4,2917.7,56194.9,458.2,10.0%,4.8%
Harvest_p25_pulp,7,78.5,2815.3,53666,529.9,9.5%,4.6%
Harvest_p25_pulp,8,72.8,2690.6,50817.5,631,9.2%,4.5%
Harvest_p25_pulp,9,67.8,2564.2,47990.8,779.5,8.6%,4.3%
Harvest_p25_pulp,10,63.4,2439.6,45283.8,1015.8,8.3%,4.2%
Harvest_p25_pulp,11,59.6,2314.5,42727.4,1379.4,8.1%,4.2%
Harvest_p25_pulp,12,56.3,2200.4,40385,1975.4,7.7%,4.0%
Harvest_p25_pulp,13,53.7,2102.1,38443.8,2923,7.5%,4.0%
Harvest_p25_pulp,14,51.4,2015.5,36720.4,4451.7,7.3%,3.9%
Harvest_p25_pulp,15,49.4,1935.1,35184.4,7139.9,7.2%,3.9%
Harvest_p50_biomass,1,107,3051.3,60946.5,336.6,14.7%,7.4%
Harvest_p50_biomass,2,103.7,3037.8,60564,343.9,14.0%,6.9%
Harvest_p50_biomass,3,98.7,2997.2,59452.3,354.4,13.4%,6.5%
Harvest_p50_biomass,4,92.8,2944.6,57900.2,370.8,12.8%,6.2%
Harvest_p50_biomass,5,87.2,2883.3,56147,396,12.3%,5.9%
Harvest_p50_biomass,6,81.4,2798.9,53952.3,435.4,11.6%,5.6%
Harvest_p50_biomass,7,75.6,2686.9,51279.7,495.4,11.1%,5.4%
Harvest_p50_biomass,8,70.5,2570,48647.3,581.7,10.7%,5.2%
Harvest_p50_biomass,9,66,2447.5,46009.5,699.4,10.1%,5.1%
Harvest_p50_biomass,10,62.2,2341.6,43703.3,890.6,9.7%,4.9%
Harvest_p50_biomass,11,59.1,2245.8,41700.1,1192.1,9.3%,4.8%
