cycle,year,BAU,Harvest_m25_mill,Harvest_p25_pulp,Harvest_p50_biomass,No_harvest
1,5,"4.308 (3.908, 4.665)","5.744 (5.233, 6.384)","3.441 (3.191, 3.690)","2.867 (2.665, 3.113)","Inf (Inf, Inf)"
2,10,"6.254 (5.589, 6.942)","8.317 (7.396, 9.529)","5.047 (4.487, 5.573)","4.220 (3.864, 4.678)","Inf (Inf, Inf)"
3,15,"6.492 (5.880, 7.320)","8.573 (7.667, 9.555)","5.222 (4.801, 5.848)","4.412 (4.058, 4.848)","Inf (Inf, Inf)"
4,20,"6.673 (5.915, 7.692)","8.759 (7.666, 9.739)","5.362 (4.884, 5.991)","4.558 (4.103, 5.071)","Inf (Inf, Inf)"
5,25,"6.740 (5.889, 7.939)","8.837 (7.786, 10.345)","5.524 (4.982, 6.272)","4.675 (4.198, 5.165)","Inf (Inf, Inf)"
6,30,"6.983 (5.997, 8.296)","9.024 (7.822, 10.734)","5.670 (4.915, 6.502)","4.819 (4.187, 5.534)","Inf (Inf, Inf)"
7,35,"7.116 (5.966, 8.197)","9.376 (8.047, 11.007)","5.805 (4.968, 6.805)","4.843 (4.254, 5.581)","Inf (Inf, Inf)"
8,40,"7.179 (6.254, 8.339)","9.579 (8.110, 11.637)","5.802 (5.030, 6.509)","4.815 (4.229, 5.487)","Inf (Inf, Inf)"
9,45,"7.315 (5.922, 8.728)","9.836 (8.493, 11.895)","5.869 (4.996, 6.760)","4.908 (4.236, 5.799)","Inf (Inf, Inf)"
10,50,"7.437 (6.105, 9.096)","9.956 (8.145, 12.081)","5.973 (5.155, 6.824)","4.920 (4.145, 5.657)","Inf (Inf, Inf)"
11,55,"7.464 (6.171, 8.780)","10.173 (8.364, 13.095)","5.886 (4.964, 7.098)","4.930 (4.302, 5.678)","Inf (Inf, Inf)"
12,60,"7.861 (6.435, 9.517)","10.319 (8.492, 13.449)","6.127 (5.118, 7.184)","5.015 (4.241, 5.956)","Inf (Inf, Inf)"
13,65,"7.723 (6.160, 9.681)","10.558 (8.399, 13.392)","6.104 (5.197, 7.299)","4.993 (4.271, 5.859)","Inf (Inf, Inf)"
14,70,"7.962 (6.433, 9.513)","10.719 (8.522, 13.755)","6.235 (5.198, 7.519)","5.041 (4.345, 5.878)","Inf (Inf, Inf)"
15,75,"8.035 (6.377, 10.165)","10.789 (8.583, 14.137)","6.175 (5.089, 7.611)","5.070 (4.225, 6.095)","Inf (Inf, Inf)"
