year,EVALID,cycle_match,n_full_plots,n_subj_plots_in_eval,obs_full_agc_mmt,obs_subj_agc_mmt,proj_subj_agc_mmt,residual_mmt
2003,235551,,3379,3110,287.2,279.4,,
2004,236151,1,3375,2887,284.3,256.9,254.4,-2.5
2005,236251,,3355,2649,288,240.2,,
2006,230600,,3354,2446,290.3,224,,
2007,230700,,3560,2228,290.1,203.4,,
2008,230800,,3562,2007,291.6,184.9,,
2009,230900,2,3568,1864,291.9,173.9,105.6,-68.3
2010,231000,,3572,1708,293.5,160.7,,
2011,231100,,3574,1541,298,147.8,,
2012,231200,,3578,1401,301.5,139.1,,
2013,231300,,3583,1256,305,128.3,,
2014,231400,3,3586,1224,305.7,125,114.4,-10.5
2015,231500,,3592,1180,309.5,121.2,,
2016,231600,,3592,1132,308.8,116.4,,
2017,231700,,3592,1082,312.3,111.6,,
2018,231800,,3593,1037,311.9,106,,
2019,231900,4,3593,1010,311.7,103.3,115.4,12
2020,232000,,3593,1016,314.6,104,,
2021,232100,,3594,1015,316.5,102.8,,
2022,232200,,3594,1011,318.4,102.5,,
2023,232300,,3594,1013,320.1,104.4,,
2024,232400,5,3594,1000,322.6,103.7,121.3,17.6
