year,EVALID,cycle_match,n_full_plots,n_subj_plots_in_eval,obs_full_agc_mmt,obs_subj_agc_mmt,proj_subj_agc_mmt,residual_mmt
2011,531100,,9952,3728,654.1,354.5,,
2017,531700,,9967,2598,656.8,291.3,,
2018,531800,,9968,2437,657.7,282.5,,
2019,531900,4,9970,2699,654.3,311.7,234.3,-77.4
2020,532000,,9970,2956,651.7,344.6,,
2021,532100,,9970,3193,645.6,368.9,,
2022,532200,,9970,3100,639.7,357.7,,
