year,EVALID,cycle_match,n_full_plots,n_subj_plots_in_eval,obs_full_agc_mmt,obs_subj_agc_mmt,proj_subj_agc_mmt,residual_mmt
1997,139700,,6403,747,372.2,48.7,,
1998,139800,,6403,1246,371.6,87.9,,
1999,139900,,6404,2014,372.8,153.5,,
2000,130000,,6404,2535,377.1,200.7,,
2001,130100,,6405,2978,378.1,239.2,,
2002,130200,,6405,3448,382.6,279.7,,
2003,130300,,6405,3900,381.6,317,,
2004,130400,1,6396,4347,386.9,356.3,406.8,50.5
2005,130500,,6391,4203,392,350.8,,
2006,130600,,6391,4069,397.1,344.8,,
2007,130700,,6389,3924,402,338.3,,
2008,130800,,6390,3770,407.4,334.8,,
2009,130900,2,6388,3390,411.6,311.6,269.4,-42.2
2010,131000,,6393,3159,415,290.2,,
2011,131100,,6396,2909,418.3,269.9,,
2012,131200,,6399,2653,422.2,250.2,,
2013,131300,,6400,2417,427.2,228.6,,
2014,131400,3,6628,2314,429,210.8,209.3,-1.6
2015,131500,,6686,2212,431.9,201.9,,
2016,131600,,6686,2120,434.2,194,,
2017,131700,,6685,2036,441.3,187.6,,
2018,131800,,6685,1954,446.4,181.8,,
2019,131900,4,6685,1891,451.2,179.8,224.9,45.1
2020,132000,,6685,1867,455.5,180.3,,
2021,132100,,6685,1876,457.5,179.9,,
2022,132200,,6686,1875,462.6,181.7,,
2023,132300,,6686,1866,462.3,182.2,,
2024,132400,5,6686,1848,465.7,181.7,265.9,84.2
