year,EVALID,cycle_match,n_full_plots,n_subj_plots_in_eval,obs_full_agc_mmt,obs_subj_agc_mmt,proj_subj_agc_mmt,residual_mmt
2003,270300,,16326,4838,201.8,184.9,,
2004,270400,1,18158,5242,200.3,179.6,185.4,5.8
2005,270500,,18206,5107,202.4,174.6,,
2006,270600,,18194,5024,203.7,169.3,,
2007,270700,,18170,4987,205.6,164.4,,
2008,270800,,18133,4895,207.5,158.6,,
2009,270900,2,18091,4573,211,149.5,93.6,-56
2010,271000,,18053,4206,211.2,137.5,,
2011,271100,,18022,3792,210.6,123.2,,
2012,271200,,18081,3417,209,109.7,,
2013,271300,,18087,3068,209.2,97.8,,
2014,271400,3,18103,2935,211.5,93.1,73.1,-20.1
2015,271500,,18112,2822,212.7,89.8,,
2016,271600,,18100,2784,218.1,90.7,,
2017,271700,,18086,2623,219,85.1,,
2018,271800,,18074,2494,221.5,81.6,,
2019,271900,4,18051,2442,223.5,79.2,78.8,-0.3
2020,272000,,18038,2419,225.9,78.4,,
2021,272100,,18038,2377,228.6,76.5,,
2022,272200,,18038,2366,229.5,76.9,,
2023,272300,,18038,2271,228.9,74.4,,
2024,272400,5,18040,2242,229.8,74.2,84.9,10.8
