year,EVALID,cycle_match,n_full_plots,n_subj_plots_in_eval,obs_full_agc_mmt,obs_subj_agc_mmt,proj_subj_agc_mmt,residual_mmt
2003,235551,,3379,3110,287.2,279.4,,
2004,236151,1,3375,2879,284.3,256.6,255.8,-0.8
2005,236251,,3355,2645,288,239.8,,
2006,230600,,3354,2424,290.3,221.1,,
2007,230700,,3560,2196,290.1,200.1,,
2008,230800,,3562,1977,291.6,180.4,,
2009,230900,2,3568,1825,291.9,167.2,113.8,-53.4
2010,231000,,3572,1681,293.5,156,,
2011,231100,,3574,1531,298,146.1,,
2012,231200,,3578,1408,301.5,137.8,,
2013,231300,,3583,1256,305,127.5,,
2014,231400,3,3586,1241,305.7,126.5,119.6,-6.9
2015,231500,,3592,1198,309.5,122.1,,
2016,231600,,3592,1168,308.8,120.3,,
2017,231700,,3592,1102,312.3,114.4,,
2018,231800,,3593,1074,311.9,111.5,,
2019,231900,4,3593,1052,311.7,109.9,114.5,4.5
2020,232000,,3593,1052,314.6,109.7,,
2021,232100,,3594,1030,316.5,105.4,,
2022,232200,,3594,1039,318.4,105.7,,
2023,232300,,3594,1034,320.1,106.8,,
2024,232400,5,3594,1035,322.6,108.8,122.5,13.7
