year,EVALID,cycle_match,n_full_plots,n_subj_plots_in_eval,obs_full_agc_mmt,obs_subj_agc_mmt,proj_subj_agc_mmt,residual_mmt
1997,139700,,6403,747,372.2,48.7,,
1998,139800,,6403,1232,371.6,86,,
1999,139900,,6404,2000,372.8,151.6,,
2000,130000,,6404,2521,377.1,198.8,,
2001,130100,,6405,2964,378.1,237.3,,
2002,130200,,6405,3434,382.6,277.8,,
2003,130300,,6405,3886,381.6,315.2,,
2004,130400,1,6396,4333,386.9,354.5,403.5,49
2005,130500,,6391,4223,392,352.6,,
2006,130600,,6391,4153,397.1,354.1,,
2007,130700,,6389,4038,402,352.5,,
2008,130800,,6390,3921,407.4,353.7,,
2009,130900,2,6388,3600,411.6,337.7,280.2,-57.5
2010,131000,,6393,3337,415,313.7,,
2011,131100,,6396,3032,418.3,289.8,,
2012,131200,,6399,2761,422.2,265.4,,
2013,131300,,6400,2473,427.2,238.9,,
2014,131400,3,6628,2267,429,209.5,221,11.6
2015,131500,,6686,2150,431.9,202.3,,
2016,131600,,6686,2068,434.2,194.2,,
2017,131700,,6685,1967,441.3,189.9,,
2018,131800,,6685,1870,446.4,181.9,,
2019,131900,4,6685,1836,451.2,181.5,256.2,74.6
2020,132000,,6685,1816,455.5,179.4,,
2021,132100,,6685,1796,457.5,175.8,,
2022,132200,,6686,1789,462.6,175.9,,
2023,132300,,6686,1786,462.3,178.6,,
2024,132400,5,6686,1740,465.7,173.5,297.4,123.8
