cycle,sim,scenario,n_conditions,mean_ba,mean_vol,mean_carbon,total_tpa,n_harvested,harvest_rate,n_planted,plant_rate,gross_growth,mortality,harvest_removals,net_change,gr_ratio,climate_rcp
1,1,No_harvest,26613,70.49033805365893,1374.3824579662987,36699.53506530202,505.8711198351179,0,0,0,0,424.036808288546,96.00312341787232,0,328.0336848706737,Inf,8.5
2,1,No_harvest,24020,78.94511112213223,1688.2360844304628,43952.87684893118,542.7697814817429,0,0,0,0,521.508610056134,272.81372029805993,0,248.69488975807405,Inf,8.5
3,1,No_harvest,23738,84.607626630669,2015.8987512655783,50690.55483403527,580.596379653593,0,0,0,0,491.8690680180543,412.85493346024236,0,79.01413455781193,Inf,8.5
4,1,No_harvest,23632,86.77596849407921,2303.046372798546,55882.71625865155,621.5398605277236,0,0,0,0,465.23721986859647,586.2495058377851,0,-121.01228596918867,Inf,8.5
5,1,No_harvest,23553,86.92085563173434,2534.7695612804855,59706.29509905759,679.925746446733,0,0,0,0,433.21024384426835,746.2327578475316,0,-313.02251400326327,Inf,8.5
6,1,No_harvest,23483,85.9167301959159,2720.960458130056,62319.729730297186,765.3086183048812,0,0,0,0,424.56754492476455,900.0207642372632,0,-475.4532193124986,Inf,8.5
7,1,No_harvest,23425,83.93118931860705,2857.2497385652846,63674.259174893115,898.9653743094295,0,0,0,0,410.84666348967545,1021.1129660591206,0,-610.2663025694451,Inf,8.5
8,1,No_harvest,23376,82.02301899159892,2994.246475918132,64751.74100292641,1097.2186578942483,0,0,0,0,413.6640474590549,1130.0707096971423,0,-716.4066622380874,Inf,8.5
9,1,No_harvest,23343,79.79000334293777,3088.321070885615,65068.84697407372,1413.8198824011747,0,0,0,0,404.7927535362683,1245.6324959574297,0,-840.8397424211614,Inf,8.5
10,1,No_harvest,23324,77.81550502954465,3168.456168957012,65229.38705889069,1835.693309008162,0,0,0,0,386.3639513674395,1348.1020426384728,0,-961.7380912710332,Inf,8.5
11,1,No_harvest,23295,75.84038898245821,3249.488258536289,65229.824008658325,2483.2557472185804,0,0,0,0,377.61075344436654,1424.0306379439949,0,-1046.4198844996283,Inf,8.5
12,1,No_harvest,23276,73.92274492550557,3316.1891373311287,65041.572077268465,3527.8256365657967,0,0,0,0,376.2164387314662,1511.016694879188,0,-1134.8002561477217,Inf,8.5
13,1,No_harvest,23258,71.79910539870754,3364.057530502637,64209.95197500117,5092.626381899371,0,0,0,0,373.5275500798402,1590.0682913269002,0,-1216.54074124706,Inf,8.5
14,1,No_harvest,23245,69.91417917433984,3413.8536040489935,63564.09521759192,7767.61192637957,0,0,0,0,371.03247452174844,1660.4557493666255,0,-1289.4232748448771,Inf,8.5
15,1,No_harvest,23231,67.60805241746637,3448.713683437532,62442.30316400265,11783.197241081958,0,0,0,0,371.08169728025024,1705.3575059659563,0,-1334.2758086857061,Inf,8.5
1,2,No_harvest,26572,70.8376253548799,1378.9951481631576,36817.02565281858,506.95452528096223,0,0,0,0,426.19538334318486,98.90059184920975,0,327.29479149397514,Inf,8.5
2,2,No_harvest,23954,79.7425702298633,1703.9965071116203,44304.06117718861,546.6426058789856,0,0,0,0,510.9157340088685,278.1119351367166,0,232.8037988721519,Inf,8.5
3,2,No_harvest,23688,85.05233185589607,2029.4721191403698,50800.937636786526,582.2659298469023,0,0,0,0,489.2522713518243,414.97183575385463,0,74.28043559796964,Inf,8.5
4,2,No_harvest,23585,87.05870580675168,2315.4387583467887,55935.348732180624,628.112707022882,0,0,0,0,462.3948058260838,588.6613773738092,0,-126.26657154772533,Inf,8.5
5,2,No_harvest,23514,87.10856368348105,2563.6518615996556,59652.409391968264,680.6963586602575,0,0,0,0,437.664675589006,758.2421032418467,0,-320.57742765284075,Inf,8.5
6,2,No_harvest,23445,86.08932142908314,2763.4468673332744,62377.16682776266,761.9265609694972,0,0,0,0,409.10370006437597,906.2887979931123,0,-497.18509792873635,Inf,8.5
7,2,No_harvest,23389,84.47714694239498,2928.954118862229,64187.16871644983,876.9339126025327,0,0,0,0,398.94692394940455,1052.3277202714437,0,-653.3807963220391,Inf,8.5
8,2,No_harvest,23352,82.42141337153454,3073.6508312771643,65224.744633076516,1047.3470927866506,0,0,0,0,392.1888986667491,1171.1301029009285,0,-778.9412042341794,Inf,8.5
9,2,No_harvest,23321,80.29328152201877,3191.3159552541324,66047.69139452039,1298.1293919048853,0,0,0,0,387.7319749176411,1290.9301036274808,0,-903.1981287098397,Inf,8.5
10,2,No_harvest,23289,78.62393781101704,3333.5430987471145,67305.1494236174,1719.5660709186561,0,0,0,0,377.5105251832528,1400.986794667579,0,-1023.4762694843262,Inf,8.5
11,2,No_harvest,23269,76.66218691546042,3456.16022633646,68286.1936465092,2361.331641057093,0,0,0,0,365.73170810324933,1529.1577589985004,0,-1163.4260508952511,Inf,8.5
12,2,No_harvest,23243,75.04331216598246,3593.964535477709,69541.78747609633,3426.5545193399203,0,0,0,0,353.4448578048472,1649.0513958024358,0,-1295.6065379975885,Inf,8.5
13,2,No_harvest,23226,73.08315900696294,3699.125465326278,70306.77005334327,5080.671734186475,0,0,0,0,352.4164398340457,1756.56011849811,0,-1404.1436786640643,Inf,8.5
14,2,No_harvest,23214,70.98034849389222,3783.667707902341,70846.66124801789,7932.862725356071,0,0,0,0,353.33143195912317,1854.4066842811428,0,-1501.0752523220197,Inf,8.5
15,2,No_harvest,23198,68.6013624051147,3834.0848556937485,70799.28849404045,13130.562525640305,0,0,0,0,349.05285454301713,1928.6778441748504,0,-1579.6249896318332,Inf,8.5
1,3,No_harvest,26593,70.47871903881256,1369.2968442146573,36671.69084263676,504.9452841238748,0,0,0,0,419.4199522539514,96.38049504470139,0,323.03945720925003,Inf,8.5
2,3,No_harvest,23945,78.9160327583943,1690.4762257783866,44090.82996080031,543.1310609195326,0,0,0,0,516.7050702505907,271.48869098330266,0,245.216379267288,Inf,8.5
3,3,No_harvest,23696,84.27372183246199,2013.400166252171,50687.96659481676,578.2065564878982,0,0,0,0,489.29173339334955,413.2182175887412,0,76.07351580460835,Inf,8.5
4,3,No_harvest,23615,86.61317209299301,2309.73121390282,56056.90758240345,621.0722730568117,0,0,0,0,459.1289745363516,577.9642856536929,0,-118.83531111734123,Inf,8.5
5,3,No_harvest,23548,86.71008480189789,2558.153164662296,59906.59609290885,689.3893788431409,0,0,0,0,435.94897693393585,760.6933469965195,0,-324.74437006258364,Inf,8.5
6,3,No_harvest,23505,85.20791185542284,2724.493139713425,62020.0500136373,778.6199115298336,0,0,0,0,410.3832735035525,908.1268535211036,0,-497.7435800175511,Inf,8.5
7,3,No_harvest,23461,83.43473935450464,2876.867828490175,63495.155092117624,925.0039237498155,0,0,0,0,412.4230736775778,1023.8270935498896,0,-611.4040198723118,Inf,8.5
8,3,No_harvest,23406,81.18639567587695,3012.7354428902236,64290.28844608157,1151.2646608040623,0,0,0,0,397.0805282951966,1144.8691142775479,0,-747.7885859823513,Inf,8.5
9,3,No_harvest,23367,78.7752837137434,3119.346860546703,64605.7598621246,1483.8126942677368,0,0,0,0,391.7185552605294,1260.0884177471473,0,-868.3698624866179,Inf,8.5
10,3,No_harvest,23334,76.45314874171196,3213.232648779824,64741.550799162425,1980.6684593146279,0,0,0,0,383.1316168080417,1358.407053654058,0,-975.2754368460163,Inf,8.5
11,3,No_harvest,23304,73.86913550480311,3274.915772773169,64435.1225595383,2830.0909216957334,0,0,0,0,373.26504923296756,1462.197865755468,0,-1088.9328165225004,Inf,8.5
12,3,No_harvest,23284,71.55282065104689,3340.916186896456,64158.48774028461,4281.18591063443,0,0,0,0,362.2489077633906,1540.7572752776396,0,-1178.508367514249,Inf,8.5
13,3,No_harvest,23266,69.08500451384502,3383.0369073172724,63604.9644569082,6712.983596502792,0,0,0,0,363.85803668694626,1610.8061653970308,0,-1246.9481287100846,Inf,8.5
14,3,No_harvest,23258,66.37720775670921,3393.692974968763,62508.90288748119,10945.148385110691,0,0,0,0,360.0494802550597,1664.9389817158947,0,-1304.889501460835,Inf,8.5
15,3,No_harvest,23257,63.749165768577875,3394.1043073247374,61409.82706186255,18224.70340272176,0,0,0,0,369.7632141497363,1699.2413755427349,0,-1329.4781613929986,Inf,8.5
1,4,No_harvest,26686,71.21067925982443,1392.3115344943335,37008.8131548115,509.6843392314084,0,0,0,0,424.57095676937223,96.84721468702824,0,327.72374208234396,Inf,8.5
2,4,No_harvest,23952,79.67297160929907,1710.0424084532917,44356.62764120563,546.9842078832406,0,0,0,0,513.7642121802613,283.2622756053523,0,230.50193657490905,Inf,8.5
3,4,No_harvest,23651,84.85870168303491,2026.9488573606993,50843.98451117691,586.1284114116697,0,0,0,0,491.32487154848724,425.2752740618269,0,66.04959748666033,Inf,8.5
4,4,No_harvest,23564,86.84007924813136,2320.3428129462595,56084.65511260887,628.412912802286,0,0,0,0,454.10582205637786,590.6194553720064,0,-136.51363331562857,Inf,8.5
5,4,No_harvest,23499,86.8595099100466,2571.558860821198,60013.69882133719,684.4308983082486,0,0,0,0,438.9919060291461,759.136919177577,0,-320.14501314843096,Inf,8.5
6,4,No_harvest,23431,85.89195649632481,2770.2151957896604,62823.44286520103,778.460156297556,0,0,0,0,418.3275737520946,919.6923956742362,0,-501.3648219221416,Inf,8.5
7,4,No_harvest,23379,84.05107386248898,2930.500072793656,64420.63710845264,934.3927226204704,0,0,0,0,416.64588241656645,1047.883331755911,0,-631.2374493393446,Inf,8.5
8,4,No_harvest,23341,81.57839781748454,3060.2363359029373,65214.81062251701,1210.8161995311934,0,0,0,0,411.608578913177,1186.3711155994772,0,-774.7625366863002,Inf,8.5
9,4,No_harvest,23302,78.84710565681563,3141.976516873714,65341.99099396212,1632.9963355847729,0,0,0,0,404.3473174232016,1312.731200577627,0,-908.3838831544255,Inf,8.5
10,4,No_harvest,23272,76.2007352432683,3225.658763156969,65310.66582036588,2286.3782881570282,0,0,0,0,392.55702909810543,1415.24483743758,0,-1022.6878083394745,Inf,8.5
11,4,No_harvest,23250,73.93917967034773,3294.8636880084696,65388.76564952252,3402.9190313453705,0,0,0,0,386.41868980657614,1510.1178319490239,0,-1123.6991421424477,Inf,8.5
12,4,No_harvest,23235,71.637384565137907,3376.1293176613863,65209.31389784454,5293.830652333221,0,0,0,0,388.0248835703235,1599.6845580530583,0,-1211.6596744827348,Inf,8.5
13,4,No_harvest,23223,69.36281716392885,3435.216952493519,64871.824045843045,8343.69432679124,0,0,0,0,383.21394646551346,1690.4185601278148,0,-1307.2046136623012,Inf,8.5
14,4,No_harvest,23208,66.85645655831351,3470.9752036746904,64173.89236437168,13514.234361836337,0,0,0,0,389.58867391313055,1770.4082295133442,0,-1380.8195556002136,Inf,8.5
15,4,No_harvest,23196,64.71586655739944,3493.932004343934,63499.698829037836,22021.183150079378,0,0,0,0,386.6507730102326,1832.5309834257216,0,-1445.880210415489,Inf,8.5
1,5,No_harvest,26642,70.3117499504438,1382.9286911853742,36799.97594654604,506.71638690870594,0,0,0,0,423.9649451786614,99.37754635434354,0,324.5873988243179,Inf,8.5
2,5,No_harvest,24028,78.9650130252805,1706.3884371460333,44270.96494954798,548.9744172379172,0,0,0,0,511.27242579145246,279.286676663265,0,231.98574912818748,Inf,8.5
3,5,No_harvest,23767,84.24815985167983,2035.5637120309934,50803.759428728976,589.9262166449998,0,0,0,0,484.8502533580815,427.50072373630576,0,57.34952962177573,Inf,8.5
4,5,No_harvest,23697,86.6829453352037,2347.822371013869,56309.12186811603,633.6914397832181,0,0,0,0,458.34721910183964,602.4361966507058,0,-144.08897754886618,Inf,8.5
5,5,No_harvest,23632,86.50569689913335,2590.590035124161,60101.648425526946,690.9372149791883,0,0,0,0,426.91522888127605,782.0301870492184,0,-355.11495816794235,Inf,8.5
6,5,No_harvest,23574,85.66457889267697,2786.02117607471,62983.55919881363,785.4340955304741,0,0,0,0,403.48959004234075,930.9903372972323,0,-527.5007472548915,Inf,8.5
7,5,No_harvest,23529,84.02722191664334,2942.0537150156347,64714.349328575445,924.1196180156727,0,0,0,0,395.81340216335997,1053.6942894680242,0,-657.8808873046642,Inf,8.5
8,5,No_harvest,23486,82.11727325387787,3079.638397700604,65925.86816905519,1139.1818572816658,0,0,0,0,386.9783720822624,1188.5279962917236,0,-801.5496242094612,Inf,8.5
9,5,No_harvest,23449,79.59588017410215,3154.342485824862,66190.57750836921,1481.6662267305494,0,0,0,0,395.4203574994653,1295.6164660167767,0,-900.1961085173114,Inf,8.5
10,5,No_harvest,23420,77.48767309167322,3228.4597785736596,66469.28649346011,2013.1513826675227,0,0,0,0,371.3816434585431,1375.3800051433789,0,-1003.9983616848358,Inf,8.5
11,5,No_harvest,23391,75.58036046657806,3319.912495123664,66995.24117680811,2870.253933587125,0,0,0,0,367.01642403451393,1447.2996998560136,0,-1080.2832758214997,Inf,8.5
12,5,No_harvest,23374,73.38568268171502,3371.408518022503,67030.51185070683,4396.767943169965,0,0,0,0,363.40743895874004,1545.2982165297462,0,-1181.8907775710063,Inf,8.5
13,5,No_harvest,23353,71.18553636764351,3431.1401047533864,67086.03544635454,7099.138743315135,0,0,0,0,360.8138023016401,1595.3317196356143,0,-1234.517917333974,Inf,8.5
14,5,No_harvest,23338,69.03633200652202,3451.837096880388,66842.00510631701,11922.750002017407,0,0,0,0,361.85970243206054,1662.9798894419966,0,-1301.1201870099362,Inf,8.5
15,5,No_harvest,23329,67.05477956669678,3479.9990114794577,66528.73196507471,20863.77371098482,0,0,0,0,362.29574286023535,1685.096388593004,0,-1322.8006457327685,Inf,8.5
1,6,No_harvest,26627,70.7653026003696,1378.5417906056168,36878.45058442252,506.4634485090937,0,0,0,0,431.74019496863866,95.62653763925258,0,336.1136573293861,Inf,8.5
2,6,No_harvest,23962,79.3951679274564,1695.6335992445229,44328.94731228972,539.961958248596,0,0,0,0,514.5518047468231,276.58273089483936,0,237.96907385198375,Inf,8.5
3,6,No_harvest,23702,84.70989534899051,2012.1448893578113,50861.32733762247,577.7172271130378,0,0,0,0,489.985664800391,417.24835424094124,0,72.73731055944978,Inf,8.5
4,6,No_harvest,23605,86.93668330355621,2301.8290004701576,56177.19921315525,619.6540109239733,0,0,0,0,457.06151874384227,581.8718330720066,0,-124.81031432816428,Inf,8.5
5,6,No_harvest,23525,87.04169784864142,2540.9761056157067,60088.90712033203,682.489274852836,0,0,0,0,437.37217204563376,739.9486785933907,0,-302.57650654775694,Inf,8.5
6,6,No_harvest,23466,85.86333575946911,2737.581198677494,62736.36537362925,780.2185126781369,0,0,0,0,413.2943558383813,894.0096090127163,0,-480.715253174335,Inf,8.5
7,6,No_harvest,23414,84.2552975132622,2907.7235461233026,64507.07323850257,928.1985645997559,0,0,0,0,396.61194518944086,1029.014558197759,0,-632.4026130083182,Inf,8.5
8,6,No_harvest,23366,81.73538677928916,3022.353258691077,65020.74679374447,1136.0632765511896,0,0,0,0,404.06794840234306,1162.1623019174506,0,-758.0943535151075,Inf,8.5
9,6,No_harvest,23325,79.06277768372829,3108.3868605757607,65130.8066699288,1408.8640020876715,0,0,0,0,403.02746496242565,1264.2436868281259,0,-861.2162218657002,Inf,8.5
10,6,No_harvest,23289,76.86574277221794,3202.7150241516406,65277.19334966454,1903.6410191053444,0,0,0,0,387.9919131703972,1362.593606871529,0,-974.6016937011317,Inf,8.5
11,6,No_harvest,23266,74.31705991181548,3277.077681346763,65030.273959185826,2748.5357564779924,0,0,0,0,378.1565513931334,1454.0892016801645,0,-1075.932650287031,Inf,8.5
12,6,No_harvest,23243,72.04164471310715,3367.834823691688,64944.964120789045,4201.833832902555,0,0,0,0,375.2666307945096,1540.3281029683671,0,-1165.0614721738575,Inf,8.5
13,6,No_harvest,23227,69.91200824168423,3423.7315259010093,64462.88344994747,6671.564152291946,0,0,0,0,370.51088687399357,1634.2825361998698,0,-1263.7716493258763,Inf,8.5
14,6,No_harvest,23214,67.62675661350315,3456.0733978324183,63701.54159866833,10950.279168789199,0,0,0,0,369.4629750421287,1689.8265778775153,0,-1320.3636028353867,Inf,8.5
15,6,No_harvest,23209,65.25246123365187,3473.7016130161746,62620.27688594757,18781.579543933196,0,0,0,0,375.1388602572076,1732.2843180966743,0,-1357.1454578394666,Inf,8.5
