cycle,year,BAU,Harvest_m25_mill,Harvest_p25_pulp,Harvest_p50_biomass,No_harvest
1,5,"5.619 (5.369, 5.918)","7.499 (6.933, 8.069)","4.529 (4.364, 4.754)","3.772 (3.647, 3.932)","Inf (Inf, Inf)"
2,10,"6.299 (6.027, 6.640)","8.468 (7.950, 9.048)","5.089 (4.859, 5.387)","4.232 (4.069, 4.430)","Inf (Inf, Inf)"
3,15,"5.742 (5.312, 6.167)","7.649 (7.301, 8.157)","4.643 (4.496, 4.852)","3.904 (3.773, 4.108)","Inf (Inf, Inf)"
4,20,"5.384 (5.067, 5.754)","7.073 (6.760, 7.392)","4.358 (4.153, 4.567)","3.684 (3.536, 3.868)","Inf (Inf, Inf)"
5,25,"5.000 (4.677, 5.339)","6.597 (6.131, 7.122)","4.046 (3.821, 4.272)","3.420 (3.224, 3.575)","Inf (Inf, Inf)"
6,30,"4.793 (4.521, 4.984)","6.410 (6.089, 6.743)","3.927 (3.719, 4.144)","3.339 (3.178, 3.481)","Inf (Inf, Inf)"
7,35,"4.730 (4.322, 5.092)","6.279 (5.771, 6.735)","3.878 (3.632, 4.133)","3.325 (3.130, 3.495)","Inf (Inf, Inf)"
8,40,"4.838 (4.465, 5.102)","6.327 (5.995, 6.801)","3.932 (3.728, 4.150)","3.334 (3.179, 3.520)","Inf (Inf, Inf)"
9,45,"4.769 (4.456, 5.145)","6.299 (5.825, 6.812)","3.935 (3.674, 4.175)","3.330 (3.122, 3.539)","Inf (Inf, Inf)"
10,50,"4.752 (4.345, 5.162)","6.180 (5.659, 6.680)","3.920 (3.701, 4.156)","3.374 (3.114, 3.627)","Inf (Inf, Inf)"
11,55,"4.891 (4.494, 5.226)","6.405 (5.702, 6.885)","3.987 (3.750, 4.214)","3.396 (3.214, 3.641)","Inf (Inf, Inf)"
12,60,"4.954 (4.525, 5.367)","6.409 (5.712, 7.012)","4.037 (3.721, 4.442)","3.395 (3.165, 3.635)","Inf (Inf, Inf)"
13,65,"5.023 (4.490, 5.605)","6.537 (6.172, 7.190)","4.052 (3.732, 4.378)","3.443 (3.017, 3.731)","Inf (Inf, Inf)"
14,70,"5.078 (4.729, 5.614)","6.677 (5.999, 7.548)","4.092 (3.838, 4.645)","3.483 (3.285, 3.927)","Inf (Inf, Inf)"
15,75,"5.036 (4.474, 5.489)","6.688 (6.130, 7.265)","4.083 (3.628, 4.538)","3.416 (3.109, 3.733)","Inf (Inf, Inf)"
