"classifier_set","ft_group","ecoregion","owner","treatment","age","merch_vol_m3_ha","foliage_kgC_m2","other_above_kgC_m2","total_above_kgC_m2"
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",145,167.987,0.0277,0.0997,0.5537
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",15,15.982,0.0066,0.0239,0.1326
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",150,172.66,0.028,0.101,0.5609
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",20,22.222,0.0082,0.0297,0.165
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",25,28.603,0.0097,0.035,0.1946
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",30,35.063,0.0111,0.04,0.222
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",35,41.558,0.0124,0.0445,0.2474
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",40,48.059,0.0136,0.0488,0.2712
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",45,54.543,0.0147,0.0528,0.2935
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",5,4.42,0.0028,0.01,0.0558
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",50,60.992,0.0157,0.0566,0.3145
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",55,67.391,0.0167,0.0602,0.3342
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",60,73.731,0.0176,0.0635,0.3528
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",65,80.001,0.0185,0.0667,0.3703
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",70,86.196,0.0193,0.0696,0.3869
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",75,92.31,0.0201,0.0725,0.4025
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",80,98.337,0.0209,0.0751,0.4174
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",85,104.275,0.0216,0.0777,0.4314
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",90,110.121,0.0222,0.0801,0.4448
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",95,115.872,0.0229,0.0823,0.4574
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",10,0.749,0.0031,0.0112,0.0625
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",100,126.533,0.0233,0.0838,0.4658
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",105,128.135,0.0235,0.0846,0.4698
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",110,129.434,0.0237,0.0852,0.4732
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",115,130.486,0.0238,0.0857,0.476
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",120,131.337,0.0239,0.0861,0.4784
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",125,132.024,0.024,0.0865,0.4804
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",130,132.578,0.0241,0.0868,0.4821
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",135,133.025,0.0242,0.087,0.4835
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",140,133.385,0.0242,0.0873,0.4847
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",145,133.675,0.0243,0.0874,0.4858
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",15,3.46,0.0054,0.0194,0.1079
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",150,133.908,0.0243,0.0876,0.4866
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",20,9.048,0.0077,0.0276,0.1535
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",25,17.467,0.0098,0.0354,0.1967
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",30,28.013,0.0118,0.0425,0.2363
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",35,39.744,0.0136,0.0489,0.2719
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",40,51.773,0.0152,0.0546,0.3033
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",45,63.417,0.0165,0.0595,0.3308
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",5,0.039,0.0011,0.004,0.0224
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",50,74.22,0.0177,0.0638,0.3546
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",55,83.929,0.0188,0.0675,0.3751
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",60,92.448,0.0196,0.0707,0.3928
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",65,99.785,0.0204,0.0734,0.4079
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",70,106.015,0.021,0.0757,0.4207
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",75,111.244,0.0216,0.0777,0.4316
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",80,115.596,0.022,0.0794,0.4409
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",85,119.191,0.0224,0.0808,0.4488
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",90,122.145,0.0228,0.082,0.4554
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",95,124.562,0.0231,0.083,0.461
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",10,9.834,0.0039,0.0141,0.0786
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",100,180.216,0.0318,0.1145,0.6361
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",105,188.803,0.0327,0.1178,0.6542
