hcb_class,short_label,n_plots,area_acres,pct_of_forest,area_M_acres
3,NIPF (Family),2734,23216915,54.1,23.22
4,Industrial,1635,13990540,32.6,13.99
5,Tribal,20,136437,0.3,0.14
6,Federal,140,1203696,2.8,1.2
7,State,384,3269488,7.6,3.27
8,Local,114,1076681,2.5,1.08
