PLT_CN,asym_agb
21713,221.77
21714,209.9
21893,263.24
21894,220.45
21896,197.81
21897,220.03
21899,210.72
21901,206.78
21902,198.46
21903,194.35
21905,200.95
21907,217.97
21908,205.66
21910,209.93
21913,184.04
21915,218.88
21916,213.47
21918,248.85
21920,216.52
21921,217.6
21923,218.62
21924,226.24
21926,217.1
21927,194.45
21929,208.11
21931,234.59
21932,213.21
21933,214
21935,230.57
21937,232.39
21938,217.25
21940,239.26
21942,258.15
21943,185.05
21945,235.35
21948,202.79
21949,194.85
21951,221.22
21953,213.86
21954,216.14
21956,211.38
21958,249.44
21959,222.14
22657,187.74
22659,190.99
22660,194.65
22662,182.02
22664,169.07
22666,194.54
22667,203.18
22669,191.99
22671,189.16
22672,181.96
22674,181.23
22675,198.33
22677,174.17
22679,194.18
22681,192.24
22682,207.83
22684,194.89
22687,175.81
22688,177.2
22690,136.16
22692,173.6
22693,192.92
22695,204.17
22697,207.22
22698,215.46
22700,205.69
22701,194.02
22703,166.88
22704,157.41
22706,145.99
22708,186.32
22709,158.98
22711,162.78
23600,207.68
23602,167.9
23603,186.59
23606,225.97
23610,170.77
23611,222.47
23612,217.3
23613,173.91
23615,175.87
23617,209.69
23619,223.2
23621,230.79
23622,237.09
23623,234.48
23626,218.92
23627,219.23
23629,209.09
23631,201.26
23632,214.42
23634,200.06
23636,225.89
23638,204.65
23639,205.97
23641,188.34
23642,191.21
23644,204.62
23646,187.58
23647,222.47
23648,219.09
23651,217.85
23652,214.75
23655,179.93
23656,185.13
23658,197.31
23660,228.03
21267,205.78
21269,201.27
21271,204.52
21272,193.09
21274,175.46
21276,178.16
21278,193.76
21280,174.67
21281,189.13
21283,190.23
21284,178.35
21287,217.79
21288,259.21
21291,214.54
21292,210.25
21294,197.23
21296,182.01
21297,187.98
21299,194.14
21301,210.87
21303,216.08
21304,268.62
21306,215.59
21309,190.69
21310,218.04
21312,177.39
21313,197.54
21315,200.68
21317,235.51
21319,195.74
21320,193.3
21322,235.23
21377,220.83
21378,217.76
21380,203.86
21382,170.5
21383,189.71
21386,203.44
21388,177.48
21389,179.74
21391,182.19
21393,201.08
21394,186.58
21395,169.72
21397,191.18
21399,213.18
21400,221.34
21403,225.06
21405,208.14
21406,197.81
21407,194.29
21409,176.61
21412,180.31
21413,174.34
21415,184.68
21417,202.51
21418,190.61
21420,174.44
21422,173.75
21423,190.79
21427,233.16
21429,178.86
21430,180.53
21432,198.66
21434,220.61
21435,198.52
21436,173.78
21438,162.61
21440,200.83
21441,209.52
21443,190.49
21445,164.1
21446,178.71
21448,194.07
21449,190.57
21452,180.1
21453,215.81
21455,190.72
21456,201.72
21459,184.78
21460,174.4
21461,181.2
21463,168.26
21465,256.12
21467,217.07
21469,240.83
22365,182.96
22367,175.49
22369,175.19
22370,192.22
22373,208.78
22374,201.86
22376,192.44
22377,170.34
22379,198.73
22381,214.36
22382,213.31
22383,217.48
22385,226.13
22388,245.71
22389,215.92
22391,213.69
22393,192.83
22395,191.47
22396,178.21
22398,203.28
22400,191.75
22401,191.96
22402,182.39
22403,180.02
22406,205.93
22408,185.73
22409,199.64
22410,195.69
22412,191.94
22413,202.66
22415,215.14
22417,245.18
22418,215.54
22420,207
22422,254.71
22423,215.63
22425,214.85
22428,178.29
22430,166.96
22431,161.05
22433,196.64
22434,201.93
22435,165.21
22437,197.17
22439,181.32
22440,184.31
22442,211.64
22444,203.61
22445,205.53
22447,200.46
22449,182.15
22450,154.96
22452,195.78
22454,194.17
22456,183.66
22458,186.85
22459,202.34
22460,187.49
22462,237.61
22464,178.63
22465,169.9
22467,183.01
22470,208.69
22471,207.04
22472,165.99
22474,179.03
22476,198.35
22477,197.97
22478,199.27
22480,177.97
22482,205.61
22484,205.03
22486,169.22
22488,187.46
22489,191
22491,210.35
22493,232.21
22494,198.01
22496,209.86
22498,210.78
22499,190.61
22500,186.79
22502,173.57
22504,203.17
22506,209.31
22507,195.45
22509,189.18
22511,196.2
22512,228.3
22775,177.26
22776,192.93
22778,195.41
22780,179.24
22781,192.44
22783,174.69
22785,174.46
22786,193.57
22788,183.77
22790,182.72
22791,195.3
22793,180.39
22795,175.28
22796,178.5
22800,174.46
22802,175.26
22803,203.87
22805,181.86
22806,172.6
