COUNTYCD,county,forested_acres,mean_partial_ac,mean_clearcut_ac,mean_total_active_ac,harvest_rate_per_yr,rate_relative_to_statewide,mean_partial_share,mean_clearcut_share,n_years
23,SAGADAHOC,150000,18032.0,14.0,18046.0,0.12030666666666667,6.75588028994743,1.0,0.0,9
1,ANDROSCOGGIN,250000,17996.0,50.0,18046.0,0.072184,4.053528173968457,1.0,0.0,9
13,KNOX,200000,11630.0,30.0,11660.0,0.0583,3.27386529622023,1.0,0.0,9
15,LINCOLN,200000,11644.0,16.0,11660.0,0.0583,3.27386529622023,1.0,0.0,9
5,CUMBERLAND,400000,18018.0,28.0,18046.0,0.045115,2.533455108730286,1.0,0.0,9
11,KENNEBEC,300000,11599.0,61.0,11660.0,0.03886666666666667,2.1825768641468204,1.0,0.0,9
27,WALDO,300000,11595.0,64.0,11660.0,0.03886666666666667,2.1825768641468204,1.0,0.0,9
31,YORK,500000,17942.0,104.0,18046.0,0.036092,2.0267640869842287,1.0,0.0,9
17,OXFORD,1300000,41005.0,2474.0,43479.0,0.03344538461538461,1.8781420928138195,1.0,0.0,9
19,PENOBSCOT,1700000,34873.0,1035.0,35908.0,0.02112235294117647,1.186136162412229,1.0,0.0,9
7,FRANKLIN,1100000,20447.0,2628.0,23075.0,0.020977272727272726,1.1779891113407424,1.0,0.0,9
25,SOMERSET,2300000,20862.0,5382.0,26245.0,0.01141086956521739,0.6407830166254004,1.0,0.0,9
9,HANCOCK,900000,9908.0,258.0,10166.0,0.011295555555555555,0.634307501455591,1.0,0.0,9
21,PISCATAQUIS,2400000,18901.0,2365.0,21266.0,0.008860833333333333,0.4975844724801273,1.0,0.0,9
3,AROOSTOOK,4300000,23567.0,8232.0,31799.0,0.0073951162790697675,0.4152764073337871,1.0,0.0,9
29,WASHINGTON,1500000,5805.0,410.0,6215.0,0.004143333333333333,0.232670929857161,1.0,0.0,9
