"ft_group","ecoregion","owner4","n_plots","cell_key","flag"
"Oak/Pine/Hemlock","ME_APH","Public-Other",8,"Oak/Pine/Hemlock|ME_APH|Public-Other","<30 (collapse)"
"White/Red pine","ME_NCZ","Public-Other",8,"White/Red pine|ME_NCZ|Public-Other","<30 (collapse)"
"Other","ME_NCZ","State",8,"Other|ME_NCZ|State","<30 (collapse)"
"White/Red pine","ME_NH","Industrial",7,"White/Red pine|ME_NH|Industrial","<30 (collapse)"
"White/Red pine","ME_NCZ","State",7,"White/Red pine|ME_NCZ|State","<30 (collapse)"
"Mixedwood","ME_NCZ","Industrial",6,"Mixedwood|ME_NCZ|Industrial","<30 (collapse)"
"Aspen-birch","ME_APH","State",6,"Aspen-birch|ME_APH|State","<30 (collapse)"
"White/Red pine","ME_NH","State",6,"White/Red pine|ME_NH|State","<30 (collapse)"
"Oak/Pine/Hemlock","ME_NH","Industrial",5,"Oak/Pine/Hemlock|ME_NH|Industrial","<30 (collapse)"
"Aspen-birch","ME_NCZ","Public-Other",5,"Aspen-birch|ME_NCZ|Public-Other","<30 (collapse)"
"Oak/Pine/Hemlock","ME_APH","State",5,"Oak/Pine/Hemlock|ME_APH|State","<30 (collapse)"
"Other","ME_NCZ","Public-Other",4,"Other|ME_NCZ|Public-Other","<30 (collapse)"
"Other","ME_NH","Public-Other",4,"Other|ME_NH|Public-Other","<30 (collapse)"
"Mixedwood","ME_NH","State",4,"Mixedwood|ME_NH|State","<30 (collapse)"
"Oak/Pine/Hemlock","ME_NH","NIPF",3,"Oak/Pine/Hemlock|ME_NH|NIPF","<30 (collapse)"
"Mixedwood","ME_APH","Public-Other",3,"Mixedwood|ME_APH|Public-Other","<30 (collapse)"
"Aspen-birch","ME_NH","Public-Other",3,"Aspen-birch|ME_NH|Public-Other","<30 (collapse)"
"Mixedwood","ME_APH","State",3,"Mixedwood|ME_APH|State","<30 (collapse)"
"Oak/Pine/Hemlock","ME_NCZ","Public-Other",2,"Oak/Pine/Hemlock|ME_NCZ|Public-Other","<30 (collapse)"
"Mixedwood","ME_NCZ","State",2,"Mixedwood|ME_NCZ|State","<30 (collapse)"
"Oak/Pine/Hemlock","ME_NCZ","State",2,"Oak/Pine/Hemlock|ME_NCZ|State","<30 (collapse)"
"Oak/Pine/Hemlock","ME_NH","State",2,"Oak/Pine/Hemlock|ME_NH|State","<30 (collapse)"
"Mixedwood","ME_NH","Public-Other",1,"Mixedwood|ME_NH|Public-Other","<30 (collapse)"
"White/Red pine","ME_NH","Public-Other",1,"White/Red pine|ME_NH|Public-Other","<30 (collapse)"
