"ecoregion","n_plots","sdimax_m_mean","sdimax_m_median","sdimax_m_p10","sdimax_m_p90","sdimax_e_mean","sdimax_e_median","sdimax_e_p10","sdimax_e_p90"
"Acadian Highlands",1132,1050,998,592,1563,425,404,239,633
"Central Maine",761,1016,978,612,1462,411,396,248,592
"Eastern/Coastal",519,982,936,567,1407,397,379,230,569
"Western Mountains",841,992,946,625,1430,401,383,253,579
