scientific_name,common_name,CE,S,LAC,Score,Cluster,C_Rank
Pinus flexilis,limber pine,41.25,32.39,46.47,40.04,E4,5
Thuja occidentalis,northern white-cedar,41.25,37.84,39.8,39.63,E4,6
Tsuga canadensis,eastern hemlock,33.0,45.74,39.16,39.3,E4,7
Magnolia virginiana,sweetbay,33.0,35.48,47.38,38.62,E4,8
Cornus florida,flowering dogwood,49.5,24.87,40.96,38.44,E4,9
Quercus phellos,willow oak,41.25,20.23,53.69,38.39,E4,10
Carya alba,mockernut hickory,41.25,31.38,41.18,37.94,E4,11
Quercus stellata,post oak,41.25,33.33,39.19,37.92,E4,12
Betula lenta,sweet birch,41.25,32.76,38.35,37.45,E4,13
Acer saccharum,sugar maple,33.0,32.97,46.34,37.44,E4,14
Pinus monophylla,singleleaf pinyon,33.0,24.14,54.39,37.18,E4,15
Quercus rubra,northern red oak,24.75,43.4,41.74,36.63,E4,16
Quercus falcata,southern red oak,24.75,42.96,40.8,36.17,E4,17
Quercus coccinea,scarlet oak,49.5,13.39,44.24,35.71,E4,18
Acacia greggii,catclaw acacia,24.75,33.25,48.98,35.66,E4,19
Fraxinus americana,white ash,41.25,28.21,37.46,35.64,E4,20
Pinus attenuata,Knobcone pine,24.75,38.31,43.03,35.37,E4,21
Juniperus deppeana,alligator juniper,41.25,25.69,38.3,35.08,E4,22
Populus angustifolia,narrowleaf cottonwood,33.0,37.04,31.45,33.83,E4,23
Ulmus alata,winged elm,41.25,28.31,31.32,33.63,E4,24
Carpinus caroliniana,musclewood,41.25,28.31,30.17,33.24,E4,25
Pinus sabiniana,gray pine,16.5,32.39,48.33,32.41,E4,26
Ilex opaca,American holly,33.0,25.29,38.54,32.28,E4,27
Quercus chrysolepis,canyon live oak,16.5,33.29,46.91,32.23,E4,28
Pinus elliottii,slash pine,24.75,35.78,36.02,32.18,E4,29
Quercus wislizeni,interior live oak,16.5,34.46,44.58,31.85,E4,30
Acer rubrum,red maple,16.5,30.7,45.91,31.03,E4,31
Pinus jeffreyi,Jeffrey pine,16.5,29.89,44.84,30.41,E4,32
Pinus echinata,shortleaf pine,33.0,20.99,36.68,30.22,E4,33
Pinus palustris,longleaf pine,16.5,33.44,40.34,30.1,E4,34
Nyssa sylvatica,blackgum,33.0,28.31,28.55,29.95,E4,35
Pinus taeda,loblolly pine,24.75,28.13,34.71,29.2,E4,36
Pinus albicaulis,whitebark pine,8.25,35.27,43.54,29.02,E4,37
Quercus laurifolia,laurel oak,16.5,28.1,42.14,28.91,E4,38
Fagus grandifolia,American beech,24.75,16.79,44.84,28.79,E4,39
Liriodendron tulipifera,yellow-poplar,33.0,24.09,28.25,28.44,E4,40
Quercus agrifolia,California live oak,16.5,25.69,42.06,28.08,E4,41
Populus balsamifera subsp. trichocarpa,black cottonwood,24.75,29.89,29.4,28.01,E4,42
Populus tremuloides,quaking aspen,24.75,12.21,46.41,27.79,E4,43
Nyssa biflora,swamp tupelo,33.0,16.79,31.56,27.11,E4,44
Pinus edulis,common pinyon,24.75,15.89,38.76,26.47,E4,45
Quercus douglasii,blue oak,8.25,28.27,42.15,26.22,E4,46
Prunus serotina,black cherry,24.75,16.83,35.67,25.75,E4,47
Prunus emarginata,bitter cherry,8.25,25.69,42.16,25.37,E4,48
Juniperus occidentalis,western juniper,8.25,28.27,39.25,25.26,E4,49
Prosopis velutina,velvet mesquite,24.75,16.5,32.7,24.65,E4,50
Quercus gambelii,Gambel oak,8.25,16.33,48.56,24.38,E4,51
Juniperus monosperma,oneseed juniper,0.0,24.96,46.43,23.8,E4,52
Liquidambar styraciflua,sweetgum,24.75,27.53,17.06,23.11,E4,53
Juniperus scopulorum,Rocky Mountain juniper,8.25,20.02,40.96,23.08,E4,54
Betula papyrifera,paper birch,24.75,24.01,20.21,22.99,E4,55
Juniperus osteosperma,Utah juniper,8.25,15.89,41.02,21.72,E4,56
Pinus ponderosa,ponderosa pine,16.5,8.25,38.26,21.0,E4,57
Alnus rubra,red alder,8.25,25.69,26.77,20.24,E4,58
Quercus nigra,water oak,16.5,8.08,27.43,17.34,E4,59
Gleditsia aquatica,Water locust,100.0,63.09,76.36,79.81,A,1
Juglans microcarpa,Texas walnut,100.0,71.52,64.4,78.64,A,2
Acer leucoderme,Chalk maple,100.0,65.15,69.09,78.08,A,3
Magnolia pyramidata,Pyramid magnolia,100.0,65.69,67.63,77.77,A,4
Halesia diptera,Two-wing silver bell,91.5,70.96,65.6,76.02,A,5
Exothea paniculata,Butter bough,91.5,66.88,67.28,75.22,A,6
Castanea pumila var. ozarkensis,Ozark chinquapin,83.25,68.44,73.95,75.21,A,7
Sabal mexicana,Mexican palmetto,91.5,63.83,65.4,73.58,A,8
Ulmus serotina,September elm,91.5,70.22,57.87,73.2,A,9
Simarouba glauca,Paradise-tree,66.0,70.28,77.15,71.14,A,10
Magnolia macrophylla,Big leaf magnolia,91.5,57.19,64.7,71.13,A,11
Castanea pumila,Allegheny chinquapin,83.25,60.19,66.84,70.09,A,12
Quercus arkansana,Arkansas oak,83.25,66.54,59.6,69.8,A,13
Malus coronaria,Sweet crabapple,100.0,44.73,64.33,69.69,A,14
Aesculus glabra,Ohio buckeye,91.5,58.54,58.63,69.56,A,15
Abies bracteata,Bristlecone fir,58.0,86.8,63.19,69.33,A,16
Tilia americana var. heterophylla,White basswood,83.25,64.99,58.81,69.01,A,17
Guapira discolor,Beef tree,58.0,58.5,89.93,68.81,A,18
Acer barbatum,Florida maple,83.0,57.42,64.48,68.3,A,19
Halesia carolina,Carolina silver bell,74.75,68.99,59.48,67.74,A,20
Aesculus flava,Yellow buckeye,74.75,65.69,62.41,67.61,A,21
Magnolia tripetala,Umbrella magnolia,83.25,57.19,60.92,67.12,A,22
Cupressus abramsiana,Santa Cruz cypress,66.5,70.26,62.22,66.33,A,23
Cladrastis kentukea,Yellowwood,83.25,61.21,51.26,65.24,A,24
Castanea dentata,American chestnut,49.5,67.52,77.61,64.88,A,25
Acoelorrhaphe wrightii,Everglades palm,57.75,64.27,72.3,64.77,A,26
Carya myristiciformis,Nutmeg hickory,74.75,61.48,57.98,64.74,A,27
Magnolia acuminata,Cucumber tree,83.0,43.73,64.05,63.59,A,28
Cordia sebestena,Longleaf geiger tree,49.75,80.03,60.36,63.38,A,29
Quercus bicolor,Swamp white oak,74.75,50.9,57.76,61.14,A,30
Fraxinus caroliniana,Carolina ash,66.25,61.55,51.8,59.86,A,31
Quercus laceyi,Lacey oak,49.5,72.77,54.2,58.82,A,32
Piscidia piscipula,Fish poison tree,41.25,53.42,77.49,57.39,A,33
Lysiloma latisiliquum,False tamarind,24.75,69.44,77.35,57.18,A,34
Sideroxylon,False mastic,41.25,50.0,75.11,55.45,A,35
