"ecoregion","fortype_group","fortype_label","n_plots","sdimax_m_mean","sdimax_m_p10","sdimax_m_p90","sdimax_e_mean","sdimax_e_p10","sdimax_e_p90"
"Eastern/Coastal","Spruce-fir","Red spruce / balsam fir",32,1106,791,1326,448,320,537
"Eastern/Coastal","Spruce-fir","Black spruce",25,967,507,1817,391,205,735
"Eastern/Coastal","Spruce-fir","Northern white-cedar",22,1053,687,1286,426,278,521
"Eastern/Coastal","Spruce-fir","White spruce",6,710,312,1130,287,126,457
"Western Mountains","Aspen-birch","Paper birch",40,1031,618,1328,417,250,537
"Western Mountains","Aspen-birch","Aspen",39,1060,655,1382,429,265,559
"Western Mountains","Aspen-birch","Gray birch",6,972,578,1364,393,234,552
"Western Mountains","Hardwood","Northern red oak",7,1005,767,1330,407,310,538
"Western Mountains","Hardwood","Black ash / American elm / red maple",7,918,430,1505,372,174,609
"Western Mountains","Hardwood","Sweetgum / Nuttall oak / willow oak",7,858,667,1111,347,270,450
"Western Mountains","Mixed","Eastern white pine / N. red oak / wht ash",18,1018,512,1567,412,207,634
"Western Mountains","Northern hardwood","Sugar maple / beech / yellow birch",375,906,622,1251,367,252,506
"Western Mountains","Northern hardwood","Red maple (upland)",40,957,606,1276,387,245,517
"Western Mountains","Northern hardwood","Hard maple / basswood",21,807,425,1209,327,172,489
"Western Mountains","Other","FORTYPCD 905",6,871,582,1155,352,236,467
"Western Mountains","Other","FORTYPCD 962",6,645,428,856,261,173,346
"Western Mountains","Softwood","Eastern white pine",21,1156,754,1497,468,305,606
"Western Mountains","Softwood","Eastern white pine / eastern hemlock",10,1198,818,1538,485,331,622
"Western Mountains","Softwood","Eastern white pine / red pine",5,1171,923,1456,474,374,589
"Western Mountains","Spruce-fir","Balsam fir",83,1167,688,1767,472,278,715
"Western Mountains","Spruce-fir","Red spruce",51,1155,771,1694,467,312,686
"Western Mountains","Spruce-fir","Red spruce / balsam fir",47,1055,660,1458,427,267,590
"Western Mountains","Spruce-fir","Northern white-cedar",21,1194,792,1728,483,321,699
"Western Mountains","Spruce-fir","Black spruce",18,1087,595,1889,440,241,765
