STATECD,FORTYPCD,n_plots,sdimax_metric_mean,sdimax_metric_median,sdimax_metric_p25,sdimax_metric_p75,sdimax_english_mean,sdimax_english_median
9,102,1,1172.4,1158,1172.4,1172.4,474.4,468.6
9,103,7,1222.9,985.4,948.5,1556.5,494.9,398.8
9,105,3,1120.3,1092.6,920,1279.7,453.4,442.2
9,171,2,380.8,415.3,343.1,418.5,154.1,168.1
9,384,1,1473.8,1475.1,1473.8,1473.8,596.4,597
9,401,17,1012.6,1021,820.8,1085.5,409.8,413.2
9,402,1,1093.9,1053.6,1093.9,1093.9,442.7,426.4
9,409,1,175.6,170,175.6,175.6,71.1,68.8
9,503,119,874.1,855.3,684.5,1009.8,353.7,346.1
9,504,2,876,831.8,803,949,354.5,336.6
9,505,26,857.9,825.9,719.5,927.9,347.2,334.2
9,506,6,1154.4,1097.7,870.8,1366.5,467.2,444.2
9,507,1,410.6,397,410.6,410.6,166.2,160.6
9,510,6,834,782.7,752.3,921.7,337.5,316.7
9,515,20,848.6,784.6,687.9,983.9,343.4,317.5
9,516,10,819.8,679.6,590.5,1030.9,331.8,275
9,517,1,941.8,934.8,941.8,941.8,381.1,378.3
9,519,29,905.5,874.1,706.4,1043.1,366.4,353.7
9,520,9,715.2,669.7,600.2,756.9,289.4,271
9,608,7,800.5,783.7,733.3,866.2,323.9,317.1
9,701,3,834.6,923,762.9,951.1,337.8,373.5
9,702,1,579.2,654.6,579.2,579.2,234.4,264.9
9,705,2,544.9,540.8,509.3,580.4,220.5,218.8
9,706,1,480.5,453.7,480.5,480.5,194.5,183.6
9,708,21,795.6,799.7,658.2,961.3,322,323.6
9,801,18,772.2,764.8,554.3,1063.3,312.5,309.5
9,802,1,475.7,501.4,475.7,475.7,192.5,202.9
9,805,7,847.8,768.6,655.2,1081.9,343.1,311
9,809,2,918.6,887.7,806.5,1030.8,371.8,359.2
9,903,1,439.2,428.2,439.2,439.2,177.7,173.3
9,962,16,794,775.9,640,966.3,321.3,314
9,995,2,496.5,494.9,443.7,549.3,200.9,200.3
9,999,4,614.4,601.6,456.2,815.3,248.6,243.5
23,101,1,602.4,632.1,602.4,602.4,243.8,255.8
23,102,11,940.4,968.4,757.9,1096.3,380.6,391.9
23,103,142,1127.2,1087.9,871.6,1361.2,456.2,440.3
23,104,28,1203.7,1181.7,965.1,1448.2,487.1,478.2
23,105,73,1084.1,1046,851.6,1254.4,438.7,423.3
23,121,384,1133,1055.8,828.1,1383.8,458.5,427.3
23,122,32,921.6,925.7,745.7,1111.3,373,374.6
23,123,184,1128,1085.1,908.4,1297.1,456.5,439.1
23,124,185,1138.7,1104.6,906.7,1355.8,460.8,447
23,125,96,951.9,803.3,609.2,1143.8,385.2,325.1
23,126,14,810.7,825.6,565.3,1014.1,328.1,334.1
23,127,164,1218.5,1163.2,974,1462.9,493.1,470.7
23,167,1,597.3,575.5,597.3,597.3,241.7,232.9
23,384,4,1187.9,1241.6,1031.4,1417.9,480.7,502.5
23,385,2,739,776.9,647.1,830.9,299.1,314.4
23,401,81,1067.7,1010.1,828.7,1258.5,432.1,408.8
23,409,2,789,734.9,615.6,962.3,319.3,297.4
23,503,14,849.2,857.6,668.9,917.2,343.6,347
23,505,65,910.9,861.1,733.8,1084.8,368.6,348.5
23,516,3,1075.5,1109,969.2,1206.2,435.3,448.8
23,517,1,530.9,465.1,530.9,530.9,214.8,188.2
23,519,5,679.4,756.2,518.4,839.3,275,306
23,520,2,920.4,843.8,869.7,971.1,372.5,341.5
23,701,23,927.8,894.7,655,1143.7,375.5,362.1
23,706,4,1088.8,926.9,851.3,1186.4,440.6,375.1
23,707,1,642.2,637.3,642.2,642.2,259.9,257.9
23,708,56,832.4,797.2,655.4,994.4,336.9,322.6
23,801,1106,939,891.3,735.1,1098.3,380,360.7
23,805,53,836.5,825.6,596.5,999.2,338.5,334.1
23,809,153,939.4,910.4,713.7,1091.2,380.2,368.4
23,901,158,1071.6,1052.6,810.3,1266.9,433.6,426
23,902,104,1012.8,975,802.1,1132.7,409.8,394.6
23,903,37,900.3,836.7,600.6,1180.4,364.4,338.6
23,904,16,967.3,1100.4,725.5,1199.8,391.5,445.3
23,905,16,986,895,840.2,1246.8,399,362.2
23,962,25,755,732,458.8,911.7,305.5,296.3
23,999,7,591.6,480.3,350.2,532.6,239.4,194.4
25,103,75,1213.9,1171.1,950.2,1438.7,491.2,473.9
25,104,10,1362,1312.3,1186.5,1406.1,551.2,531.1
25,105,8,1409.2,1384.6,1226.7,1605.6,570.3,560.3
25,123,3,962.5,897.2,869.6,1012.8,389.5,363.1
25,127,1,582.3,531.9,582.3,582.3,235.6,215.2
25,167,21,644.3,670.5,578.1,735,260.7,271.3
25,401,60,1041.1,992.2,829.9,1172.3,421.3,401.5
25,409,8,866.1,1013.3,728,1023.8,350.5,410.1
25,501,1,215.1,217.2,215.1,215.1,87.1,87.9
25,503,81,912,899.1,733.2,1068.7,369.1,363.8
25,504,4,756.5,726.1,534.9,930.2,306.1,293.8
25,505,49,944.8,912.9,762.1,1034.4,382.4,369.4
25,510,10,735.1,707.3,572.7,913.6,297.5,286.2
25,514,2,582.4,450,569.9,594.9,235.7,182.1
25,515,18,909.5,844.7,727,1248,368,341.8
25,516,5,744.1,663.9,585.9,858,301.1,268.7
25,517,1,891.5,835.8,891.5,891.5,360.8,338.3
25,519,26,815.2,774.5,648.9,1088.6,329.9,313.4
25,520,7,959.6,808.8,706.6,1198.6,388.3,327.3
25,608,7,869.7,798.3,706.3,937.5,352,323.1
25,701,1,662.3,648.4,662.3,662.3,268,262.4
25,702,3,840.5,915,682.5,1059.7,340.1,370.3
25,703,1,1140.2,1062.1,1140.2,1140.2,461.4,429.8
25,705,2,453.9,477.4,424.4,483.4,183.7,193.2
25,706,1,1401.3,1258.2,1401.3,1401.3,567.1,509.2
25,707,2,914.4,937.8,776.4,1052.5,370.1,379.5
25,708,34,742,701.4,569.6,899.5,300.3,283.9
25,709,1,1040.8,1060.2,1040.8,1040.8,421.2,429.1
25,801,98,1012.2,954.5,823.1,1230.9,409.6,386.3
25,802,1,1139.2,1134.7,1139.2,1139.2,461,459.2
25,805,19,931.6,870.3,667.5,1077.6,377,352.2
25,809,16,847.1,788.9,653.8,1005.1,342.8,319.3
25,901,7,882,908.9,813.6,968.9,356.9,367.8
25,902,1,660.5,665.4,660.5,660.5,267.3,269.3
25,903,3,825.6,889.9,657.9,1056.4,334.1,360.1
25,962,15,1031.6,1016.2,847.4,1197,417.5,411.3
25,995,2,831.2,788.6,701,961.4,336.4,319.1
25,999,8,442.8,395.7,329.4,460.2,179.2,160.1
33,103,70,1144.5,1111.5,904.6,1378.8,463.2,449.8
33,104,25,1227.1,1263.5,1017.2,1465,496.6,511.3
33,105,28,1150.9,1108.4,893.5,1395.9,465.7,448.6
33,121,61,1055.8,1048.4,926.3,1239.7,427.3,424.3
33,123,51,1082.3,1038.8,893.1,1232.8,438,420.4
33,124,47,1031.9,1057.9,904.1,1176.3,417.6,428.1
33,125,2,1098.3,1087.4,933.4,1263.1,444.4,440.1
33,127,2,1401,1346.4,1380.1,1421.9,567,544.9
33,167,1,702.8,712.1,702.8,702.8,284.4,288.2
33,401,65,1071.3,1017.5,848.2,1250.8,433.5,411.8
33,409,2,733.6,753,731.6,735.7,296.9,304.7
33,503,28,1050.2,1010.3,814.4,1241.2,425,408.9
33,504,4,919.2,917.6,841.7,1024.1,372,371.3
33,505,74,1062.8,1033,871.6,1228.8,430.1,418
33,516,2,705.6,694.5,695.8,715.5,285.6,281.1
33,517,1,434.1,434,434.1,434.1,175.7,175.6
33,519,4,690.8,702.9,688.8,718.8,279.5,284.4
33,520,1,1024.9,970.7,1024.9,1024.9,414.7,392.8
33,705,2,800.3,814.4,713.7,886.9,323.9,329.6
33,707,2,786.3,734.2,738.2,834.3,318.2,297.1
33,708,16,765.8,671.4,607.4,1099.4,309.9,271.7
33,709,1,679.3,712.6,679.3,679.3,274.9,288.4
33,801,501,979.5,932.4,793,1123.8,396.4,377.3
33,802,2,742.7,823.9,574.7,910.8,300.6,333.4
33,805,21,1018.6,924.4,814.5,1192.1,412.2,374.1
33,809,47,963.9,988.1,790.4,1106.2,390.1,399.9
33,901,12,782.8,769.1,543.5,1058.3,316.8,311.2
33,902,42,994.4,1020.5,812.7,1217.3,402.4,413
33,903,4,692.6,673.1,623.4,784.5,280.3,272.4
33,904,1,677.8,743.2,677.8,677.8,274.3,300.8
33,905,2,1053.3,1043.1,1046.7,1059.8,426.2,422.1
33,962,8,714,649,612.9,807.1,288.9,262.6
33,995,1,352.2,366.7,352.2,352.2,142.5,148.4
33,999,3,805.9,720.7,642.2,930.8,326.1,291.7
36,102,19,1019,986.9,807.2,1280,412.4,399.4
36,103,133,1039.2,1025.6,784.9,1265.2,420.5,415
36,104,22,1250.4,1090.8,1014.1,1379.5,506,441.4
36,105,63,1079.3,1096.6,933.1,1232.2,436.8,443.8
36,121,41,966.5,1018.3,687.8,1216.8,391.1,412.1
36,122,9,697.6,640.2,532.7,854.2,282.3,259.1
36,123,28,913.9,906.9,789.5,1152.6,369.8,367
36,124,26,1067,931.8,861.3,1225.2,431.8,377.1
36,125,7,668.2,596.6,497.7,706.1,270.4,241.4
36,126,7,709.5,761.6,536.3,873.8,287.1,308.2
36,127,16,1193.3,1213.5,1007.8,1429.6,482.9,491.1
36,167,13,822.6,711.1,704.9,895.7,332.9,287.8
36,171,9,794.6,684.6,611.2,910.8,321.6,277
36,201,2,590.4,622.2,496.5,684.3,238.9,251.8
36,381,22,775.6,774,574.9,869.8,313.9,313.2
36,384,19,1072.3,978.7,776.1,1247.7,433.9,396.1
36,385,3,1218,1150.7,1194.1,1261.9,492.9,465.7
36,401,105,1047.5,1003.1,877.2,1246.3,423.9,405.9
36,402,4,671.9,610.6,498.4,769.4,271.9,247.1
