"ft_group","ecoregion","owner_label","n_plots","flag"
"Aspen-birch","ME_APH","NIPF",107,"ok"
"Aspen-birch","ME_APH","Industrial",53,"ok"
"Aspen-birch","ME_APH","Tribal",1,"<30 (collapse)"
"Aspen-birch","ME_APH","Federal",9,"<30 (collapse)"
"Aspen-birch","ME_APH","State",6,"<30 (collapse)"
"Aspen-birch","ME_APH","Local",8,"<30 (collapse)"
"Mixedwood","ME_APH","NIPF",42,"ok"
"Mixedwood","ME_APH","Industrial",12,"<30 (collapse)"
"Mixedwood","ME_APH","Federal",2,"<30 (collapse)"
"Mixedwood","ME_APH","State",3,"<30 (collapse)"
"Mixedwood","ME_APH","Local",1,"<30 (collapse)"
"Northern hardwood","ME_APH","NIPF",338,"ok"
"Northern hardwood","ME_APH","Industrial",123,"ok"
"Northern hardwood","ME_APH","Tribal",7,"<30 (collapse)"
"Northern hardwood","ME_APH","Federal",21,"<30 (collapse)"
"Northern hardwood","ME_APH","State",28,"<30 (collapse)"
"Northern hardwood","ME_APH","Local",16,"<30 (collapse)"
"Oak/Pine/Hemlock","ME_APH","NIPF",92,"ok"
"Oak/Pine/Hemlock","ME_APH","Industrial",20,"<30 (collapse)"
"Oak/Pine/Hemlock","ME_APH","Federal",4,"<30 (collapse)"
"Oak/Pine/Hemlock","ME_APH","State",5,"<30 (collapse)"
"Oak/Pine/Hemlock","ME_APH","Local",4,"<30 (collapse)"
"Other","ME_APH","NIPF",275,"ok"
"Other","ME_APH","Industrial",92,"ok"
"Other","ME_APH","Tribal",5,"<30 (collapse)"
"Other","ME_APH","Federal",12,"<30 (collapse)"
"Other","ME_APH","State",12,"<30 (collapse)"
"Other","ME_APH","Local",11,"<30 (collapse)"
"Spruce-fir","ME_APH","NIPF",326,"ok"
"Spruce-fir","ME_APH","Industrial",143,"ok"
"Spruce-fir","ME_APH","Tribal",5,"<30 (collapse)"
"Spruce-fir","ME_APH","Federal",27,"<30 (collapse)"
"Spruce-fir","ME_APH","State",26,"<30 (collapse)"
"Spruce-fir","ME_APH","Local",6,"<30 (collapse)"
"White/Red pine","ME_APH","NIPF",152,"ok"
"White/Red pine","ME_APH","Industrial",50,"ok"
"White/Red pine","ME_APH","Federal",7,"<30 (collapse)"
"White/Red pine","ME_APH","State",11,"<30 (collapse)"
"White/Red pine","ME_APH","Local",9,"<30 (collapse)"
"Aspen-birch","ME_NCZ","NIPF",67,"ok"
"Aspen-birch","ME_NCZ","Industrial",49,"ok"
"Aspen-birch","ME_NCZ","Tribal",1,"<30 (collapse)"
"Aspen-birch","ME_NCZ","Federal",2,"<30 (collapse)"
"Aspen-birch","ME_NCZ","State",13,"<30 (collapse)"
"Aspen-birch","ME_NCZ","Local",2,"<30 (collapse)"
"Mixedwood","ME_NCZ","NIPF",12,"<30 (collapse)"
"Mixedwood","ME_NCZ","Industrial",6,"<30 (collapse)"
"Mixedwood","ME_NCZ","State",2,"<30 (collapse)"
"Northern hardwood","ME_NCZ","NIPF",334,"ok"
"Northern hardwood","ME_NCZ","Industrial",176,"ok"
