cycle,sim,scenario,n_conditions,mean_ba,mean_vol,mean_carbon,total_tpa,n_harvested,harvest_rate,n_planted,plant_rate,gross_growth,mortality,harvest_removals,net_change,gr_ratio,climate_rcp
1,1,No_harvest,21301,72.58031909111062,1303.3718458575693,35551.99403520597,568.2428340756352,0,0,0,0,275.622321843335,131.01887659758856,0,144.60344524574643,Inf,8.5
2,1,No_harvest,17024,77.08441246129797,1452.9499483118495,38774.88030450206,616.560814670275,0,0,0,0,394.4991765232569,288.6999104364715,0,105.7992660867854,Inf,8.5
3,1,No_harvest,16322,79.06283260836456,1573.503922644,40982.20181207365,640.0634724923682,0,0,0,0,399.04420908227627,352.433960588258,0,46.610248494018265,Inf,8.5
4,1,No_harvest,16094,79.49317384113851,1667.5591149192235,42396.58140746568,662.649922253198,0,0,0,0,395.7695721985328,414.114208168146,0,-18.344635969613194,Inf,8.5
5,1,No_harvest,15944,78.66526639474874,1737.9896445261818,43113.844143711496,701.8661423275365,0,0,0,0,389.91788075856346,474.8226035672786,0,-84.90472280871512,Inf,8.5
6,1,No_harvest,15825,76.66004074983437,1785.0199251514664,43102.43433696833,754.49751834944,0,0,0,0,392.2069743110664,528.9987905669103,0,-136.7918162558439,Inf,8.5
7,1,No_harvest,15674,73.78778190694942,1798.916721477608,42457.19192241921,851.9495256877362,0,0,0,0,395.83310443441917,574.4765856234469,0,-178.64348118902774,Inf,8.5
8,1,No_harvest,15584,70.40580705580408,1798.9379383659111,41366.59451820091,1007.6317394762457,0,0,0,0,373.3401676293949,620.9371889041848,0,-247.59702127478994,Inf,8.5
9,1,No_harvest,15511,66.87478527725416,1770.7910341077745,39986.448748703755,1214.7280923034493,0,0,0,0,373.82139595753796,636.849013218587,0,-263.027617261049,Inf,8.5
10,1,No_harvest,15440,63.1902352148768,1726.9269059139665,38345.56306147335,1519.5028439380692,0,0,0,0,367.594374469769,656.3017022824288,0,-288.7073278126598,Inf,8.5
11,1,No_harvest,15387,59.27579223546767,1667.1520601061902,36409.17815999317,1950.2143345550107,0,0,0,0,372.9119128078306,668.1803443518335,0,-295.26843154400285,Inf,8.5
12,1,No_harvest,15330,55.182776572212994,1592.8368290564963,34346.66614183741,2616.608305603991,0,0,0,0,364.03680885672236,675.2939931204236,0,-311.2571842637012,Inf,8.5
13,1,No_harvest,15291,51.12201752613388,1514.0870621987726,32200.415949617993,3634.4369747711107,0,0,0,0,368.9967215375267,663.6341454706823,0,-294.63742393315556,Inf,8.5
14,1,No_harvest,15241,47.290421467097005,1433.062255958712,30128.954759785523,5216.900616092421,0,0,0,0,378.53110662816323,648.198837793206,0,-269.6677311650428,Inf,8.5
15,1,No_harvest,15208,43.847764590529884,1356.7864771057514,28174.078234526358,7279.073212490106,0,0,0,0,381.9166005225684,624.0361352885998,0,-242.1195347660314,Inf,8.5
1,2,No_harvest,21429,72.71191079507908,1315.0728369325998,35636.838058384106,554.3507784805373,0,0,0,0,275.9528957286157,129.3875773177701,0,146.5653184108456,Inf,8.5
2,2,No_harvest,17091,77.54758878667927,1478.5738280556116,39096.559315899896,592.8326251527828,0,0,0,0,394.01859998383077,300.55769304300793,0,93.46090694082284,Inf,8.5
3,2,No_harvest,16381,79.144719703015,1593.626751774699,41075.253512853844,621.5437661952585,0,0,0,0,407.50546734051716,351.9297812725089,0,55.57568606800828,Inf,8.5
4,2,No_harvest,16169,79.37230009128314,1684.4389962288026,42365.32286479802,652.5002686070966,0,0,0,0,403.9543416955777,415.1169063274884,0,-11.162564631910698,Inf,8.5
5,2,No_harvest,16008,78.43082284259279,1753.9251090295434,42991.3502643138,706.163758104627,0,0,0,0,397.88001157429295,474.4113903406581,0,-76.53137876636515,Inf,8.5
6,2,No_harvest,15894,76.29555194985198,1794.1178388524831,42930.31404632557,787.305466013452,0,0,0,0,383.81240429429556,545.3785801343905,0,-161.56617584009496,Inf,8.5
7,2,No_harvest,15732,73.6096690970893,1815.2916985829092,42382.95729579263,916.6134401284426,0,0,0,0,374.4737915239385,582.0888210081971,0,-207.61502948425863,Inf,8.5
8,2,No_harvest,15635,70.61016928251009,1826.1229723542199,41562.00597053961,1081.1826384411734,0,0,0,0,370.7358984567701,626.634372205823,0,-255.89847374905287,Inf,8.5
9,2,No_harvest,15545,67.00650120723061,1805.0337408014955,40165.884919295764,1306.2649465109735,0,0,0,0,363.08658605823894,675.1017033334606,0,-312.01511727522166,Inf,8.5
10,2,No_harvest,15464,63.497166586934355,1776.592112632527,38699.53156711708,1621.9170215890922,0,0,0,0,360.2217274427564,689.7325788076854,0,-329.510851364929,Inf,8.5
11,2,No_harvest,15402,59.874173914918984,1734.3399539849127,37054.46939162778,2115.7188219685518,0,0,0,0,367.09106065079874,715.3294151703774,0,-348.23835451957865,Inf,8.5
12,2,No_harvest,15352,56.23148452285505,1685.130488913656,35261.61003590354,2904.578613794119,0,0,0,0,369.0943020853303,718.8404593773413,0,-349.746157292011,Inf,8.5
13,2,No_harvest,15310,52.555112946083575,1626.4474334866397,33439.65928656709,4153.456733161388,0,0,0,0,365.0019688583281,724.9772485504498,0,-359.97527969212166,Inf,8.5
14,2,No_harvest,15262,48.995315415265786,1550.9813615464507,31513.983198180755,6122.794636567089,0,0,0,0,369.36384406036717,720.1195970854913,0,-350.7557530251241,Inf,8.5
15,2,No_harvest,15215,45.842213062111476,1480.2116228973396,29770.47069937848,9032.907940727679,0,0,0,0,370.2496087883064,706.4674086421888,0,-336.21779985388247,Inf,8.5
1,3,No_harvest,21412,72.33547480205738,1298.5225882792008,35319.97790707247,560.9466246060801,0,0,0,0,273.43773050868026,131.94710353789225,0,141.49062697078801,Inf,8.5
2,3,No_harvest,17118,76.93961297017974,1451.4496566927464,38580.68934557439,605.5251974741774,0,0,0,0,403.1122335867325,290.42274908884434,0,112.68948449788815,Inf,8.5
3,3,No_harvest,16431,78.65990406204148,1562.7609765325046,40538.06527230524,627.5334081937133,0,0,0,0,404.68696417699624,347.72948306625705,0,56.957481110739195,Inf,8.5
4,3,No_harvest,16201,79.12847349661382,1662.3823565110406,41981.1133228261,651.8891180539949,0,0,0,0,407.2010134186751,404.7630660445406,0,2.437947374134467,Inf,8.5
5,3,No_harvest,16029,78.29694719658691,1733.4731799961357,42635.939016897355,697.5901983961048,0,0,0,0,396.1092794573919,470.33357525396383,0,-74.22429579657194,Inf,8.5
6,3,No_harvest,15902,76.22573644542376,1784.5317122291265,42581.843109906855,774.6995988044162,0,0,0,0,389.10133120380834,525.5339056684121,0,-136.43257446460376,Inf,8.5
7,3,No_harvest,15747,73.2985007566167,1804.4530717231796,41926.323655717075,891.7999442066654,0,0,0,0,385.28117689870703,579.4643434750137,0,-194.1831665763067,Inf,8.5
8,3,No_harvest,15644,69.96160652691103,1811.244111854489,40863.77021055886,1073.1776797397033,0,0,0,0,376.92742755937445,621.0972072161728,0,-244.16977965679837,Inf,8.5
9,3,No_harvest,15544,66.2923953692246,1787.32770893077,39373.54765242506,1342.1722103114942,0,0,0,0,373.129614457178,660.3591994410195,0,-287.22958498384156,Inf,8.5
10,3,No_harvest,15473,62.73056605925691,1757.026892645667,37845.601911099555,1718.6748184110102,0,0,0,0,366.9745433200025,690.2400741984444,0,-323.2655308784419,Inf,8.5
11,3,No_harvest,15412,58.970371098979605,1710.9023842339852,36078.302596204674,2305.8783016163593,0,0,0,0,373.76393062974415,707.6375137258576,0,-333.87358309611346,Inf,8.5
12,3,No_harvest,15357,55.1511712657822,1657.3000827842213,34141.51757742561,3096.7781827178405,0,0,0,0,368.63312784932475,721.6428615798931,0,-353.0097337305683,Inf,8.5
13,3,No_harvest,15308,51.17756252238823,1591.559517991832,32054.571528417477,4298.07358431141,0,0,0,0,379.94052698275783,723.6555895544083,0,-343.71506257165044,Inf,8.5
14,3,No_harvest,15254,47.592934003981135,1517.2347298187094,30136.818352015085,6381.426319642024,0,0,0,0,371.74372774059674,712.7065397027699,0,-340.96281196217313,Inf,8.5
15,3,No_harvest,15204,44.31447985844575,1438.9828010156023,28262.75703019266,9649.051699713085,0,0,0,0,383.5789126397283,707.2505169556504,0,-323.6716043159221,Inf,8.5
1,4,No_harvest,21355,72.0887195264711,1293.7060548484847,35264.43832341889,567.5434246122514,0,0,0,0,279.3055593432366,128.15033151680214,0,151.15522782643447,Inf,8.5
2,4,No_harvest,17013,76.59134661476462,1438.4340394285118,38415.405214805374,612.5250688584532,0,0,0,0,399.7614620616127,285.8179371942335,0,113.94352486737921,Inf,8.5
3,4,No_harvest,16318,78.26883384459865,1551.079127951487,40392.971762692236,638.2312931854607,0,0,0,0,401.8367067748918,336.8984091728464,0,64.9382976020454,Inf,8.5
4,4,No_harvest,16069,78.69063160152982,1643.0160198146125,41767.14526895804,666.9994123124197,0,0,0,0,418.75154942180365,389.00972792580325,0,29.741821496000398,Inf,8.5
5,4,No_harvest,15925,77.79165325073856,1715.291502890849,42440.97291415823,703.841802322795,0,0,0,0,405.5603156099059,455.00760961731964,0,-49.447294007413745,Inf,8.5
