dir,state,date,tag,has_per_plot,has_ci_or_tables,n_files,mtime
AL_20260607_conus_harmonized_AL,AL,20260607,conus_harmonized_AL,yes,no,3,2026-06-07
AR_20260607_conus_harmonized_AR,AR,20260607,conus_harmonized_AR,no,no,0,2026-06-07
AR_20260608_conus_harmonized_AR,AR,20260608,conus_harmonized_AR,no,no,0,2026-06-08
AR_20260608_conus_harmonized_sdimax_AR,AR,20260608,conus_harmonized_sdimax_AR,no,no,0,2026-06-08
AZ_20260607_conus_harmonized_AZ,AZ,20260607,conus_harmonized_AZ,no,no,0,2026-06-07
AZ_20260608_conus_harmonized_AZ,AZ,20260608,conus_harmonized_AZ,yes,no,13,2026-06-08
AZ_20260608_conus_harmonized_sdimax_AZ,AZ,20260608,conus_harmonized_sdimax_AZ,yes,no,13,2026-06-09
CA_20260607_conus_harmonized_CA,CA,20260607,conus_harmonized_CA,no,no,0,2026-06-07
CA_20260608_conus_harmonized_CA,CA,20260608,conus_harmonized_CA,yes,no,13,2026-06-08
CA_20260608_conus_harmonized_sdimax_CA,CA,20260608,conus_harmonized_sdimax_CA,no,no,0,2026-06-08
cem_3way_strat_20260517,,20260517,cem_3way_strat_20260517,no,no,3,2026-05-17
cem_strat_20260517,,20260517,cem_strat_20260517,no,no,3,2026-05-17
CO_20260607_conus_harmonized_CO,CO,20260607,conus_harmonized_CO,no,no,0,2026-06-07
CO_20260608_conus_harmonized_CO,CO,20260608,conus_harmonized_CO,yes,no,13,2026-06-08
CO_20260608_conus_harmonized_sdimax_CO,CO,20260608,conus_harmonized_sdimax_CO,yes,no,13,2026-06-09
CT_20260607_conus_harmonized_CT,CT,20260607,conus_harmonized_CT,yes,no,13,2026-06-07
DE_20260607_conus_harmonized_DE,DE,20260607,conus_harmonized_DE,no,no,0,2026-06-07
DE_20260608_conus_harmonized_DE,DE,20260608,conus_harmonized_DE,no,no,0,2026-06-08
DE_20260608_conus_harmonized_sdimax_DE,DE,20260608,conus_harmonized_sdimax_DE,no,no,0,2026-06-08
diagnostics_20260417,,20260417,diagnostics_20260417,no,no,1,2026-04-17
figures,,,figures,no,no,25,2026-04-17
FL_20260607_conus_harmonized_FL,FL,20260607,conus_harmonized_FL,yes,no,13,2026-06-07
