"stratum","treatment","P2","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P3","P30","P4","P5","P6","P7","P8","P9","P1","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19"
"Aspen-birch_ME_APH_Industrial","untreated",5.469,53.571,54.701,55.726,56.655,57.498,58.261,58.952,59.577,60.142,60.654,9.261,61.116,13.192,17.103,20.899,24.527,27.956,31.17,2.112,34.163,36.937,39.498,41.854,44.016,45.996,47.805,49.455,50.959,52.327
"Aspen-birch_ME_APH_NIPF","untreated",9.599,46.531,47.66,48.731,49.749,50.716,51.636,52.51,53.341,54.132,54.885,13.151,55.601,16.355,19.291,22.005,24.53,26.889,29.099,5.53,31.175,33.128,34.97,36.709,38.352,39.905,41.376,42.77,44.09,45.343
"Aspen-birch_ME_NCZ_Industrial","untreated",6.192,46.173,46.57,46.904,47.186,47.424,47.624,47.792,47.934,48.053,48.154,10.695,48.238,15.215,19.498,23.426,26.949,30.064,32.788,2.219,35.151,37.188,38.937,40.432,41.706,42.789,43.708,44.487,45.146,45.703
"Aspen-birch_ME_NCZ_NIPF","untreated",7.785,63.053,64.845,66.535,68.129,69.632,71.049,72.385,73.643,74.828,75.945,12.019,76.997,16.197,20.264,24.191,27.964,31.575,35.022,3.617,38.304,41.424,44.387,47.196,49.858,52.378,54.761,57.015,59.144,61.155
"Aspen-birch_ME_NH_Industrial","untreated",3.628,44.13,44.138,44.142,44.145,44.147,44.148,44.149,44.149,44.15,44.15,10.711,44.15,19.053,26.503,32.255,36.344,39.113,40.934,0.318,42.111,42.862,43.339,43.64,43.829,43.949,44.024,44.071,44.1,44.119
"Aspen-birch_ME_NH_NIPF","untreated",8.094,44.605,44.706,44.784,44.843,44.889,44.925,44.952,44.972,44.988,45.001,14.102,45.01,19.787,24.775,28.969,32.401,35.161,37.353,2.696,39.078,40.428,41.479,42.295,42.926,43.413,43.789,44.079,44.301,44.473
"Mixedwood_ME_APH_NIPF","untreated",1.15,40.566,40.635,40.685,40.72,40.746,40.764,40.777,40.786,40.792,40.797,4.231,40.801,9.035,14.588,20.012,24.791,28.732,31.842,0.078,34.225,36.012,37.334,38.302,39.005,39.514,39.88,40.144,40.333,40.469
"Northern hardwood_ME_APH_Industrial","harvested",2.347,31.037,31.2,31.329,31.432,31.514,31.579,31.63,31.671,31.703,31.728,5.185,31.749,8.491,11.862,15.045,17.908,20.399,22.518,0.503,24.29,25.753,26.95,27.922,28.707,29.339,29.846,30.251,30.574,30.832
"Northern hardwood_ME_APH_Industrial","untreated",11.566,45.595,46.728,47.819,48.871,49.886,50.865,51.811,52.725,53.608,54.462,14.974,55.289,17.944,20.61,23.048,25.301,27.402,29.373,7.395,31.231,32.989,34.658,36.246,37.761,39.208,40.593,41.921,43.195,44.418
"Northern hardwood_ME_APH_NIPF","harvested",1.192,18.606,19.544,20.469,21.381,22.279,23.164,24.034,24.891,25.733,26.561,2,27.375,2.874,3.793,4.744,5.719,6.71,7.712,0.487,8.72,9.731,10.741,11.75,12.754,13.752,14.742,15.724,16.696,17.657
"Northern hardwood_ME_APH_NIPF","untreated",3.358,59.289,59.969,60.541,61.021,61.424,61.762,62.046,62.283,62.482,62.648,7.406,62.787,12.313,17.587,22.87,27.928,32.621,36.878,0.757,40.675,44.018,46.932,49.453,51.619,53.472,55.05,56.389,57.524,58.482
"Northern hardwood_ME_APH_Public-Other","untreated",8.391,50.433,51.624,52.74,53.786,54.766,55.684,56.544,57.35,58.105,58.812,12.216,59.475,15.804,19.17,22.326,25.285,28.058,30.658,4.318,33.094,35.377,37.517,39.522,41.4,43.161,44.811,46.356,47.805,49.162
"Northern hardwood_ME_NCZ_Industrial","harvested",0.089,23.163,24.922,26.651,28.346,30,31.61,33.172,34.684,36.144,37.551,0.283,38.903,0.629,1.144,1.834,2.699,3.728,4.909,0.011,6.226,7.661,9.198,10.817,12.502,14.236,16.005,17.794,19.59,21.383
"Northern hardwood_ME_NCZ_Industrial","untreated",5.818,53.69,54.705,55.618,56.439,57.176,57.839,58.433,58.966,59.445,59.874,9.82,60.258,13.935,17.992,21.897,25.595,29.059,32.276,2.252,35.245,37.972,40.466,42.741,44.809,46.686,48.386,49.923,51.31,52.562
"Northern hardwood_ME_NCZ_NIPF","harvested",1.253,49.689,50.779,51.733,52.568,53.297,53.933,54.486,54.967,55.386,55.749,3.205,56.065,5.934,9.224,12.858,16.649,20.45,24.151,0.221,27.676,30.976,34.025,36.811,39.335,41.605,43.633,45.438,47.036,48.447
"Northern hardwood_ME_NCZ_NIPF","untreated",8.356,56.053,57.226,58.306,59.3,60.214,61.056,61.83,62.542,63.196,63.798,12.715,64.352,16.903,20.875,24.613,28.113,31.378,34.417,3.946,37.239,39.856,42.279,44.52,46.59,48.503,50.268,51.895,53.396,54.779
"Northern hardwood_ME_NCZ_Public-Other","untreated",7.704,62.071,63.869,65.568,67.175,68.693,70.128,71.483,72.763,73.972,75.113,11.847,76.191,15.928,19.9,23.736,27.424,30.958,34.334,3.607,37.555,40.622,43.538,46.31,48.94,51.435,53.8,56.041,58.163,60.171
"Northern hardwood_ME_NCZ_State","untreated",15.298,58.328,59.374,60.351,61.264,62.116,62.913,63.659,64.356,65.008,65.619,20.212,66.19,24.472,28.249,31.643,34.719,37.524,40.093,9.353,42.455,44.633,46.645,48.507,50.234,51.837,53.326,54.713,56.003,57.206
"Northern hardwood_ME_NH_Industrial","harvested",0.797,42.337,42.979,43.518,43.971,44.35,44.667,44.932,45.154,45.339,45.494,2.402,45.623,4.876,8,11.512,15.172,18.793,22.242,0.099,25.437,28.334,30.917,33.191,35.172,36.884,38.353,39.607,40.673,41.576
"Northern hardwood_ME_NH_Industrial","untreated",5.626,46.141,46.178,46.204,46.223,46.235,46.245,46.251,46.255,46.259,46.261,12.363,46.262,19.461,25.834,31.075,35.163,38.245,40.519,1.086,42.171,43.36,44.209,44.813,45.241,45.544,45.757,45.908,46.014,46.089
"Northern hardwood_ME_NH_NIPF","harvested",4.281,33.082,33.083,33.084,33.084,33.085,33.085,33.085,33.085,33.085,33.085,11.22,33.085,18.198,23.606,27.284,29.615,31.037,31.886,0.436,32.386,32.679,32.849,32.948,33.006,33.039,33.058,33.07,33.076,33.08
"Northern hardwood_ME_NH_NIPF","untreated",12.334,45.826,46.528,47.174,47.769,48.317,48.823,49.288,49.718,50.114,50.479,16.392,50.816,19.895,22.979,25.726,28.191,30.415,32.43,7.431,34.261,35.928,37.45,38.84,40.113,41.28,42.349,43.332,44.234,45.063
"Northern hardwood_ME_NH_State","untreated",10.843,56.899,58.611,60.269,61.875,63.431,64.939,66.401,67.819,69.194,70.529,14.815,71.825,18.435,21.795,24.947,27.924,30.75,33.443,6.315,36.016,38.481,40.846,43.118,45.305,47.412,49.443,51.404,53.298,55.128
"Oak/Pine/Hemlock_ME_APH_NIPF","harvested",4.472,52.792,52.963,53.094,53.195,53.272,53.332,53.377,53.412,53.439,53.459,9.998,53.475,16.329,22.607,28.343,33.32,37.493,40.91,0.908,43.66,45.848,47.571,48.921,49.972,50.787,51.418,51.905,52.281,52.57
"Oak/Pine/Hemlock_ME_APH_NIPF","untreated",5.575,76.824,78.221,79.455,80.545,81.507,82.354,83.101,83.758,84.336,84.845,10.657,85.292,16.356,22.284,28.185,33.891,39.3,44.352,1.699,49.017,53.288,57.171,60.681,63.84,66.672,69.204,71.459,73.466,75.246
