"classifier_set","ft_group","ecoregion","owner","treatment","age","merch_vol_m3_ha","foliage_kgC_m2","other_above_kgC_m2","total_above_kgC_m2"
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",10,1.016,0.0028,0.0099,0.0552
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",100,151.843,0.027,0.0973,0.5404
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",105,155.574,0.0276,0.0993,0.5518
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",110,158.8,0.0281,0.1012,0.5621
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",115,161.581,0.0286,0.1029,0.5715
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",120,163.973,0.029,0.1044,0.58
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",125,166.026,0.0294,0.1058,0.5877
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",130,167.787,0.0297,0.107,0.5947
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",135,169.295,0.03,0.1082,0.601
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",140,170.584,0.0303,0.1092,0.6067
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",145,171.686,0.0306,0.1101,0.6119
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",15,3.838,0.0047,0.0168,0.0934
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",150,172.626,0.0308,0.111,0.6165
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",20,9.096,0.0067,0.024,0.1331
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",25,16.764,0.0086,0.0311,0.1725
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",30,26.434,0.0105,0.0379,0.2108
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",35,37.524,0.0124,0.0445,0.2474
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",40,49.429,0.0141,0.0508,0.282
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",45,61.607,0.0157,0.0566,0.3144
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",5,0.085,0.0011,0.0038,0.0213
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",50,73.623,0.0172,0.062,0.3446
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",55,85.152,0.0186,0.0671,0.3726
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",60,95.976,0.0199,0.0717,0.3984
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",65,105.961,0.0211,0.076,0.4222
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",70,115.045,0.0222,0.0799,0.444
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",75,123.216,0.0232,0.0835,0.464
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",80,130.497,0.0241,0.0868,0.4822
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",85,136.936,0.0249,0.0898,0.4989
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",90,142.594,0.0257,0.0925,0.5141
"Aspen-birch/ME_APH/Industrial/untreated","Aspen-birch","ME_APH","Industrial","untreated",95,147.539,0.0264,0.095,0.5279
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",10,9.984,0.0048,0.0174,0.0968
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",100,121.525,0.0235,0.0845,0.4694
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",105,127.082,0.024,0.0865,0.4808
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",110,132.541,0.0246,0.0885,0.4916
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",115,137.9,0.0251,0.0903,0.5019
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",120,143.161,0.0256,0.0921,0.5116
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",125,148.323,0.026,0.0938,0.5209
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",130,153.385,0.0265,0.0953,0.5297
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",135,158.35,0.0269,0.0969,0.5381
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",140,163.216,0.0273,0.0983,0.5461
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",145,167.986,0.0277,0.0997,0.5537
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",15,15.982,0.0066,0.0239,0.1327
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",150,172.659,0.028,0.101,0.5609
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",20,22.222,0.0082,0.0297,0.165
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",25,28.603,0.0097,0.035,0.1946
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",30,35.062,0.0111,0.04,0.222
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",35,41.558,0.0124,0.0445,0.2475
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",40,48.059,0.0136,0.0488,0.2712
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",45,54.542,0.0147,0.0528,0.2935
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",5,4.42,0.0028,0.01,0.0558
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",50,60.991,0.0157,0.0566,0.3145
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",55,67.39,0.0167,0.0602,0.3342
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",60,73.73,0.0176,0.0635,0.3528
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",65,80.001,0.0185,0.0667,0.3703
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",70,86.195,0.0193,0.0696,0.3869
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",75,92.309,0.0201,0.0725,0.4025
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",80,98.337,0.0209,0.0751,0.4174
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",85,104.275,0.0216,0.0777,0.4314
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",90,110.12,0.0222,0.0801,0.4448
"Aspen-birch/ME_APH/NIPF/untreated","Aspen-birch","ME_APH","NIPF","untreated",95,115.871,0.0229,0.0823,0.4574
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",10,0.749,0.0031,0.0112,0.0625
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",100,126.534,0.0233,0.0838,0.4658
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",105,128.135,0.0235,0.0846,0.4698
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",110,129.434,0.0237,0.0852,0.4732
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",115,130.486,0.0238,0.0857,0.476
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",120,131.337,0.0239,0.0861,0.4784
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",125,132.024,0.024,0.0865,0.4804
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",130,132.578,0.0241,0.0868,0.4821
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",135,133.025,0.0242,0.087,0.4835
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",140,133.385,0.0242,0.0873,0.4847
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",145,133.675,0.0243,0.0874,0.4858
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",15,3.46,0.0054,0.0194,0.1079
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",150,133.908,0.0243,0.0876,0.4866
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",20,9.049,0.0077,0.0276,0.1535
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",25,17.468,0.0098,0.0354,0.1967
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",30,28.014,0.0118,0.0425,0.2363
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",35,39.745,0.0136,0.0489,0.2719
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",40,51.775,0.0152,0.0546,0.3033
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",45,63.419,0.0165,0.0595,0.3308
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",5,0.039,0.0011,0.004,0.0224
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",50,74.221,0.0177,0.0638,0.3546
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",55,83.931,0.0188,0.0675,0.3751
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",60,92.45,0.0196,0.0707,0.3928
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",65,99.787,0.0204,0.0734,0.4079
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",70,106.016,0.021,0.0757,0.4207
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",75,111.245,0.0216,0.0777,0.4316
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",80,115.597,0.022,0.0794,0.4409
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",85,119.192,0.0224,0.0808,0.4488
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",90,122.146,0.0228,0.082,0.4554
"Aspen-birch/ME_NCZ/Industrial/untreated","Aspen-birch","ME_NCZ","Industrial","untreated",95,124.563,0.0231,0.083,0.461
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",10,9.819,0.0039,0.0141,0.0785
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",100,180.087,0.0318,0.1145,0.6361
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",105,188.672,0.0327,0.1177,0.6541
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",110,197.042,0.0336,0.1208,0.6712
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",115,205.194,0.0344,0.1237,0.6873
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",120,213.127,0.0351,0.1264,0.7024
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",125,220.841,0.0358,0.129,0.7167
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",130,228.336,0.0365,0.1314,0.7302
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",135,235.614,0.0371,0.1337,0.7429
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",140,242.676,0.0377,0.1359,0.7548
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",145,249.525,0.0383,0.1379,0.7661
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",15,17.361,0.0061,0.0218,0.1212
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",150,256.164,0.0388,0.1398,0.7767
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",20,25.799,0.0082,0.0294,0.1634
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",25,34.86,0.0102,0.0368,0.2044
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",30,44.356,0.0122,0.0439,0.244
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",35,54.148,0.0141,0.0508,0.2821
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",40,64.133,0.0159,0.0573,0.3185
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",45,74.226,0.0177,0.0636,0.3533
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",5,3.632,0.0018,0.0066,0.0365
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",50,84.363,0.0193,0.0696,0.3864
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",55,94.489,0.0209,0.0752,0.4179
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",60,104.562,0.0224,0.0806,0.4478
