tag,mmt_agc_mean,mmt_agc_lo,mmt_agc_hi,mmt_total_c_mean,n_conditions,total_area_mha_mean
r11,84.2,74.5,96.8,355.2,775,1601.2
r12,321.6,137.0,1741.1,798.1,1269,2705.9
r13,94.8,77.1,130.8,459.3,1089,2317.5
r14,96.1,70.6,123.7,427.2,988,2098.3
r17,43.4,37.5,49.3,242.5,588,1222.2
