tag,mmt_agc_mean,mmt_total_c_mean,n_conditions,total_area_mha_mean,delta_vs_obs
r11,240.0,1141.4,2819,5474.6,-28.0
r12,399.1,1809.1,4466,9669.0,131.1
r17,231.4,1131.1,2819,5474.6,-36.6
