tag,mmt_agc_mean,mmt_agc_lo,mmt_agc_hi,mmt_total_c_mean,n_conditions,total_area_mha_mean
r11,81.2,71.9,91.1,354.1,782,1618.3
r12,257.0,131.1,1243.9,724.0,1283,2738.4
r17,35.9,31.2,41.3,236.7,600,1247.7
