"state","hybrid_t100","recal_t100","delta_Tg","delta_pct"
"GA",353.6,602.9,249.2,70.5
"TN",248,492.6,244.6,98.6
"OR",1285.9,1515.7,229.8,17.9
"PA",497.2,715.7,218.5,43.9
"WI",395.5,611,215.5,54.5
"AR",392.6,598.1,205.5,52.3
"AL",586.9,788.3,201.4,34.3
"MI",439.2,629.3,190.1,43.3
"FL",199,385.2,186.2,93.6
"NC",494.4,675.7,181.4,36.7
"TX",328.9,506.3,177.4,53.9
"WA",881.8,1049.9,168.2,19.1
"MS",502.7,669.1,166.3,33.1
"SC",218.6,379,160.4,73.4
"ME",410.6,569.7,159.1,38.8
"KY",242.2,400.3,158.1,65.3
"VA",446.1,601,155,34.7
"LA",325.4,471,145.6,44.7
"ID",443.8,573,129.3,29.1
"MN",312.9,440.3,127.4,40.7
"WV",235,349,114,48.5
"NY",470.2,582.6,112.4,23.9
"OH",254,354.2,100.2,39.4
"MO",417.6,515.7,98.1,23.5
"MT",493,567.9,74.9,15.2
"IN",112.7,186.1,73.4,65.1
"CA",850.9,923.1,72.2,8.5
"OK",136.4,201.5,65.2,47.8
"IL",75.7,134.9,59.3,78.4
"VT",144.5,198.6,54.1,37.5
"NH",143,195.6,52.6,36.8
"CO",344.6,386.8,42.2,12.2
"MD",41.1,70.8,29.7,72.1
"WY",207.4,234.3,26.9,13
"IA",33.7,59.4,25.7,76.3
"NJ",41.2,63.4,22.2,53.9
"MA",75.4,91.8,16.3,21.7
"AZ",149.2,161.8,12.5,8.4
"UT",126.2,136,9.8,7.8
"NM",169.4,178.1,8.6,5.1
"KS",9.7,17.6,7.8,80.2
"CT",25.4,32.6,7.2,28.3
"NE",15,21.3,6.3,42.3
"RI",3,8.3,5.3,178.1
"SD",19.6,24.4,4.8,24.6
"NV",54.3,58,3.7,6.9
"DE",40.7,43.1,2.5,6.1
"ND",6.6,7.2,0.6,8.8
