"state","year_offset","agc_Tg","area_Mha"
"AL",0,353.408,8.3083
"AL",10,448.427,8.3083
"AL",20,518.867,8.3083
"AL",30,565.945,8.3083
"AL",40,595.048,8.3083
"AL",50,611.944,8.3083
"AL",60,621.508,8.3083
"AL",70,627.424,8.3083
"AL",80,632.261,8.3083
"AL",90,637.681,8.3083
"AL",100,644.666,8.3083
"AR",0,333.03,6.8015
"AR",10,386.209,6.8015
"AR",20,428.297,6.8015
"AR",30,459.11,6.8015
"AR",40,480.135,6.8015
"AR",50,493.282,6.8015
"AR",60,500.387,6.8015
"AR",70,503.035,6.8015
"AR",80,502.504,6.8015
"AR",90,499.786,6.8015
"AR",100,495.619,6.8015
"AZ",0,100.782,6.7424
"AZ",10,105.649,6.7424
"AZ",20,109.802,6.7424
"AZ",30,113.265,6.7424
"AZ",40,116.083,6.7424
"AZ",50,118.309,6.7424
"AZ",60,120,6.7424
"AZ",70,121.216,6.7424
"AZ",80,122.013,6.7424
"AZ",90,122.447,6.7424
"AZ",100,122.568,6.7424
"CA",0,525.415,7.2352
"CA",10,563.103,7.2352
"CA",20,596.945,7.2352
"CA",30,627.276,7.2352
"CA",40,654.382,7.2352
"CA",50,678.518,7.2352
"CA",60,699.922,7.2352
"CA",70,718.811,7.2352
"CA",80,735.385,7.2352
"CA",90,749.828,7.2352
"CA",100,762.314,7.2352
"CO",0,241.696,8.5523
"CO",10,256.643,8.5523
"CO",20,270.39,8.5523
"CO",30,283.108,8.5523
"CO",40,294.899,8.5523
"CO",50,305.841,8.5523
"CO",60,315.998,8.5523
"CO",70,325.427,8.5523
"CO",80,334.18,8.5523
"CO",90,342.301,8.5523
"CO",100,349.834,8.5523
"CT",0,27.85,0.4968
"CT",10,29.135,0.4968
"CT",20,30.241,0.4968
"CT",30,31.186,0.4968
"CT",40,31.991,0.4968
"CT",50,32.676,0.4968
"CT",60,33.256,0.4968
"CT",70,33.749,0.4968
"CT",80,34.169,0.4968
"CT",90,34.527,0.4968
"CT",100,34.834,0.4968
"DE",0,13.337,0.383
"DE",10,14.08,0.383
"DE",20,14.731,0.383
"DE",30,15.279,0.383
"DE",40,15.729,0.383
"DE",50,16.094,0.383
"DE",60,16.385,0.383
"DE",70,16.614,0.383
"DE",80,16.791,0.383
"DE",90,16.924,0.383
"DE",100,17.019,0.383
"FL",0,165.378,5.5251
"FL",10,188.638,5.5251
"FL",20,200.317,5.5251
"FL",30,202.017,5.5251
"FL",40,196.802,5.5251
"FL",50,187.525,5.5251
"FL",60,176.347,5.5251
"FL",70,164.718,5.5251
"FL",80,153.518,5.5251
"FL",90,143.213,5.5251
"FL",100,133.998,5.5251
"GA",0,266.527,6.5126
"GA",10,320.524,6.5126
"GA",20,355.682,6.5126
"GA",30,373.661,6.5126
"GA",40,378.202,6.5126
"GA",50,373.144,6.5126
"GA",60,361.764,6.5126
"GA",70,346.614,6.5126
"GA",80,329.557,6.5126
"GA",90,311.885,6.5126
"GA",100,294.444,6.5126
"IA",0,39.798,0.8344
"IA",10,42.221,0.8344
"IA",20,44.189,0.8344
"IA",30,45.773,0.8344
"IA",40,47.033,0.8344
"IA",50,48.015,0.8344
"IA",60,48.764,0.8344
"IA",70,49.316,0.8344
"IA",80,49.703,0.8344
"IA",90,49.952,0.8344
"IA",100,50.087,0.8344
"ID",0,299.187,6.8156
"ID",10,324.589,6.8156
"ID",20,346.529,6.8156
"ID",30,365.156,6.8156
"ID",40,380.683,6.8156
"ID",50,393.344,6.8156
"ID",60,403.381,6.8156
"ID",70,411.03,6.8156
"ID",80,416.522,6.8156
"ID",90,420.075,6.8156
"ID",100,421.895,6.8156
"IL",0,82.199,1.5479
"IL",10,87.753,1.5479
"IL",20,92.621,1.5479
"IL",30,96.911,1.5479
"IL",40,100.704,1.5479
"IL",50,104.062,1.5479
"IL",60,107.038,1.5479
"IL",70,109.675,1.5479
"IL",80,112.012,1.5479
"IL",90,114.081,1.5479
"IL",100,115.911,1.5479
"IN",0,110.811,1.8174
"IN",10,120.89,1.8174
"IN",20,129.317,1.8174
"IN",30,136.288,1.8174
"IN",40,141.975,1.8174
"IN",50,146.527,1.8174
"IN",60,150.07,1.8174
"IN",70,152.717,1.8174
"IN",80,154.564,1.8174
"IN",90,155.7,1.8174
"IN",100,156.201,1.8174
"KS",0,10.974,0.3448
"KS",10,11.861,0.3448
"KS",20,12.636,0.3448
"KS",30,13.32,0.3448
"KS",40,13.928,0.3448
"KS",50,14.472,0.3448
"KS",60,14.959,0.3448
"KS",70,15.399,0.3448
"KS",80,15.796,0.3448
"KS",90,16.155,0.3448
"KS",100,16.482,0.3448
"KY",0,265.042,4.3237
"KY",10,292.195,4.3237
"KY",20,314.233,4.3237
"KY",30,331.695,4.3237
"KY",40,345.154,4.3237
"KY",50,355.167,4.3237
"KY",60,362.243,4.3237
"KY",70,366.834,4.3237
"KY",80,369.333,4.3237
"KY",90,370.08,4.3237
"KY",100,369.36,4.3237
"LA",0,217.564,4.7842
"LA",10,270.105,4.7842
"LA",20,312.14,4.7842
"LA",30,342.887,4.7842
"LA",40,363.574,4.7842
"LA",50,376.038,4.7842
"LA",60,382.143,4.7842
"LA",70,383.538,4.7842
"LA",80,381.576,4.7842
"LA",90,377.319,4.7842
"LA",100,371.57,4.7842
"MA",0,52.864,0.8231
"MA",10,57.038,0.8231
"MA",20,61.081,0.8231
"MA",30,64.993,0.8231
"MA",40,68.772,0.8231
"MA",50,72.417,0.8231
"MA",60,75.934,0.8231
"MA",70,79.331,0.8231
"MA",80,82.617,0.8231
"MA",90,85.804,0.8231
"MA",100,88.901,0.8231
"MD",0,44.108,0.6695
"MD",10,47.717,0.6695
"MD",20,50.48,0.6695
"MD",30,52.442,0.6695
"MD",40,53.697,0.6695
"MD",50,54.35,0.6695
"MD",60,54.504,0.6695
"MD",70,54.253,0.6695
"MD",80,53.678,0.6695
"MD",90,52.848,0.6695
"MD",100,51.821,0.6695
"ME",0,271.884,6.6967
"ME",10,301.732,6.6967
"ME",20,324.521,6.6967
"ME",30,340.595,6.6967
"ME",40,350.604,6.6967
"ME",50,355.316,6.6967
"ME",60,355.524,6.6967
"ME",70,351.988,6.6967
"ME",80,345.41,6.6967
"ME",90,336.422,6.6967
"ME",100,325.575,6.6967
"MI",0,327.261,7.4562
"MI",10,361.355,7.4562
"MI",20,392.016,7.4562
"MI",30,419.58,7.4562
"MI",40,444.324,7.4562
"MI",50,466.491,7.4562
"MI",60,486.297,7.4562
"MI",70,503.939,7.4562
"MI",80,519.594,7.4562
"MI",90,533.426,7.4562
"MI",100,545.583,7.4562
"MN",0,220.244,7.0989
"MN",10,242.913,7.0989
"MN",20,262.087,7.0989
"MN",30,278.361,7.0989
"MN",40,292.132,7.0989
"MN",50,303.722,7.0989
"MN",60,313.406,7.0989
"MN",70,321.423,7.0989
"MN",80,327.981,7.0989
"MN",90,333.259,7.0989
"MN",100,337.417,7.0989
"MO",0,350.802,6.77
"MO",10,372.307,6.77
"MO",20,390.198,6.77
"MO",30,404.99,6.77
"MO",40,417.09,6.77
"MO",50,426.83,6.77
"MO",60,434.49,6.77
"MO",70,440.312,6.77
"MO",80,444.505,6.77
"MO",90,447.253,6.77
"MO",100,448.718,6.77
"MS",0,285.933,6.285
"MS",10,369.833,6.285
"MS",20,432.668,6.285
"MS",30,473.791,6.285
"MS",40,496.589,6.285
"MS",50,505.432,6.285
"MS",60,504.439,6.285
"MS",70,497.027,6.285
"MS",80,485.827,6.285
"MS",90,472.748,6.285
"MS",100,459.105,6.285
"MT",0,343.303,9.0457
"MT",10,366.349,9.0457
"MT",20,387.145,9.0457
"MT",30,405.808,9.0457
"MT",40,422.45,9.0457
"MT",50,437.19,9.0457
"MT",60,450.155,9.0457
"MT",70,461.474,9.0457
"MT",80,471.276,9.0457
"MT",90,479.684,9.0457
"MT",100,486.82,9.0457
"NC",0,288.446,5.826
"NC",10,337.733,5.826
"NC",20,375.298,5.826
"NC",30,401.783,5.826
"NC",40,419.252,5.826
"NC",50,429.988,5.826
"NC",60,436.012,5.826
"NC",70,438.926,5.826
"NC",80,439.92,5.826
"NC",90,439.826,5.826
"NC",100,439.195,5.826
"ND",0,5.624,0.2935
"ND",10,6.107,0.2935
"ND",20,6.557,0.2935
"ND",30,6.977,0.2935
"ND",40,7.367,0.2935
"ND",50,7.728,0.2935
"ND",60,8.062,0.2935
"ND",70,8.371,0.2935
"ND",80,8.658,0.2935
"ND",90,8.924,0.2935
"ND",100,9.174,0.2935
"NE",0,10.24,0.4255
"NE",10,10.713,0.4255
"NE",20,11.075,0.4255
"NE",30,11.352,0.4255
"NE",40,11.566,0.4255
"NE",50,11.734,0.4255
"NE",60,11.869,0.4255
"NE",70,11.981,0.4255
"NE",80,12.08,0.4255
"NE",90,12.171,0.4255
"NE",100,12.26,0.4255
"NH",0,111.713,1.9184
"NH",10,120.447,1.9184
"NH",20,128.043,1.9184
"NH",30,134.618,1.9184
"NH",40,140.283,1.9184
"NH",50,145.153,1.9184
"NH",60,149.33,1.9184
"NH",70,152.911,1.9184
"NH",80,155.979,1.9184
"NH",90,158.609,1.9184
"NH",100,160.861,1.9184
"NJ",0,41.424,0.7759
"NJ",10,44.469,0.7759
"NJ",20,46.94,0.7759
"NJ",30,48.9,0.7759
"NJ",40,50.413,0.7759
"NJ",50,51.542,0.7759
"NJ",60,52.34,0.7759
"NJ",70,52.859,0.7759
"NJ",80,53.142,0.7759
"NJ",90,53.226,0.7759
"NJ",100,53.145,0.7759
"NM",0,117.08,6.8649
"NM",10,122.192,6.8649
"NM",20,126.668,6.8649
"NM",30,130.559,6.8649
"NM",40,133.914,6.8649
"NM",50,136.782,6.8649
"NM",60,139.209,6.8649
"NM",70,141.236,6.8649
"NM",80,142.902,6.8649
"NM",90,144.243,6.8649
"NM",100,145.292,6.8649
"NV",0,35.75,3.5892
"NV",10,37.574,3.5892
"NV",20,39.259,3.5892
"NV",30,40.809,3.5892
"NV",40,42.228,3.5892
"NV",50,43.522,3.5892
"NV",60,44.695,3.5892
"NV",70,45.752,3.5892
"NV",80,46.699,3.5892
"NV",90,47.54,3.5892
"NV",100,48.282,3.5892
"NY",0,340.826,5.856
"NY",10,381.517,5.856
"NY",20,418.554,5.856
"NY",30,451.879,5.856
"NY",40,481.606,5.856
"NY",50,507.942,5.856
"NY",60,531.14,5.856
"NY",70,551.468,5.856
"NY",80,569.185,5.856
"NY",90,584.536,5.856
"NY",100,597.745,5.856
"OH",0,159.121,2.9268
"OH",10,177.813,2.9268
"OH",20,195.368,2.9268
"OH",30,211.889,2.9268
"OH",40,227.477,2.9268
"OH",50,242.233,2.9268
"OH",60,256.251,2.9268
"OH",70,269.612,2.9268
"OH",80,282.385,2.9268
"OH",90,294.623,2.9268
"OH",100,306.369,2.9268
"OK",0,108.113,3.4058
"OK",10,120.975,3.4058
"OK",20,132.183,3.4058
"OK",30,141.891,3.4058
"OK",40,150.346,3.4058
"OK",50,157.806,3.4058
"OK",60,164.508,3.4058
"OK",70,170.658,3.4058
"OK",80,176.427,3.4058
"OK",90,181.954,3.4058
"OK",100,187.35,3.4058
"OR",0,836.686,10.5466
"OR",10,898.832,10.5466
"OR",20,954.422,10.5466
"OR",30,1003.548,10.5466
"OR",40,1046.439,10.5466
"OR",50,1083.401,10.5466
"OR",60,1114.779,10.5466
"OR",70,1140.937,10.5466
"OR",80,1162.242,10.5466
"OR",90,1179.055,10.5466
"OR",100,1191.729,10.5466
"PA",0,432.458,6.3815
"PA",10,471.874,6.3815
"PA",20,508.266,6.3815
"PA",30,541.8,6.3815
"PA",40,572.642,6.3815
"PA",50,600.95,6.3815
"PA",60,626.876,6.3815
"PA",70,650.559,6.3815
"PA",80,672.135,6.3815
"PA",90,691.729,6.3815
"PA",100,709.458,6.3815
