"prov","ft","n","n_dist","p_dist_ann","g_undist","g_dist","g_all","sev_frac","drag"
"9.4.1","Ponderosa pine",87,70,0.14517,-0.029,0.261,0.205,-0.2219,-0.9145
"9.3.3","Oak/hickory",41,28,0.12079,0.394,0.278,0.315,0.8605,2.7898
"9.4.2","Other eastern softwoods",73,46,0.08478,0.591,0.644,0.624,0.2518,0.29
"9.3.3","Elm/ash/cottonwood",72,37,0.08307,0.412,0.369,0.39,-0.1242,-0.2854
"8.4.3","Elm/ash/cottonwood",168,75,0.07852,1.078,0.772,0.942,0.0966,0.3347
"9.2.1","Elm/ash/cottonwood",42,17,0.07391,0.203,-0.21,0.036,0.0299,0.0687
"9.4.4","Elm/ash/cottonwood",48,20,0.0705,1.027,0.591,0.845,-1.513,-5.8357
"9.2.4","Oak/pine",48,19,0.07019,0.919,0.899,0.911,0.1041,0.1867
"9.2.2","Elm/ash/cottonwood",72,25,0.06626,0.655,0.285,0.527,0.1658,0.3122
"8.4.5","Elm/ash/cottonwood",181,67,0.06523,0.778,0.147,0.544,-0.0209,-0.0569
"8.2.4","Elm/ash/cottonwood",191,65,0.06351,1.147,0.977,1.089,0.1504,0.5329
"8.2.4","Maple/beech/birch",150,48,0.05935,1.028,-0.054,0.682,0.1036,0.4251
"8.5.1","Longleaf/slash pine",507,227,0.05677,1.562,1.213,1.406,0.5122,1.0234
"9.4.2","Elm/ash/cottonwood",195,75,0.0566,0.796,0.506,0.685,-0.0605,-0.1261
"8.1.10","Elm/ash/cottonwood",93,29,0.05638,1.067,0.734,0.963,0.1192,0.3072
"15.4.1","Longleaf/slash pine",67,27,0.05584,1.154,0.526,0.901,0.3583,0.4382
"8.4.3","Maple/beech/birch",664,206,0.05575,1.184,0.92,1.102,0.0486,0.1612
"8.5.3","Tropical hardwoods",265,103,0.05478,0.531,0.602,0.559,-0.3955,-1.2008
"8.3.2","Elm/ash/cottonwood",548,163,0.05243,1.291,0.95,1.19,-0.2195,-0.6467
"9.2.3","Oak/pine",54,14,0.04863,0.918,0.636,0.845,0.1367,0.1532
"9.2.3","Elm/ash/cottonwood",433,110,0.04764,1.128,0.476,0.962,-0.7253,-1.6508
"6.2.10","Ponderosa pine",480,144,0.04744,0.453,0.423,0.444,0.0217,0.0337
"11.1.1","Western oak",107,48,0.04643,0.163,-0.018,0.082,0.03,0.0335
"9.2.1","Oak/hickory",43,11,0.0461,0.515,0.394,0.484,7e-04,0.0012
"9.2.4","Elm/ash/cottonwood",469,120,0.04485,0.938,0.718,0.882,0.0347,0.0728
"8.3.5","Longleaf/slash pine",5516,1816,0.04459,1.453,1.57,1.492,-0.4271,-0.6325
"8.3.4","Longleaf/slash pine",75,24,0.04409,1.524,1.276,1.444,-0.3833,-0.602
"15.4.1","Tropical hardwoods",57,16,0.04312,0.488,-0.04,0.34,-0.0884,-0.1136
"8.3.2","Oak/gum/cypress",51,13,0.04261,1.134,0.434,0.956,1.0075,2.4219
"8.5.3","Longleaf/slash pine",6855,2112,0.04119,1.448,1.398,1.433,-0.3467,-0.4005
"8.3.3","Elm/ash/cottonwood",398,103,0.04115,1.068,1.358,1.143,-0.0468,-0.1019
"9.2.4","Other eastern softwoods",43,10,0.04114,0.848,0.709,0.815,-0.2054,-0.1803
"9.2.3","Oak/hickory",396,86,0.04093,0.732,0.371,0.654,0.0354,0.0791
"9.2.2","Oak/hickory",111,22,0.0385,0.718,0.327,0.64,0.0476,0.0701
"8.1.6","Elm/ash/cottonwood",267,52,0.0381,1.057,1.191,1.083,0.4566,0.8963
"9.2.3","Maple/beech/birch",42,8,0.03612,0.452,0.575,0.475,-0.0681,-0.1324
"9.2.4","Oak/hickory",746,150,0.03592,0.789,0.479,0.726,0.0053,0.0099
"8.1.10","Oak/hickory",176,35,0.03582,2.197,2.071,2.172,-0.0076,-0.0218
"8.1.1","Elm/ash/cottonwood",263,52,0.03484,0.892,0.764,0.866,0.1862,0.2953
"8.4.1","Other eastern softwoods",69,14,0.03458,0.551,0.743,0.59,0.52,0.4385
"5.3.1","Elm/ash/cottonwood",153,29,0.03412,0.456,0.118,0.392,0.5003,0.6553
"9.4.2","Oak/hickory",52,16,0.03361,0.56,0.403,0.512,0.0704,0.0675
"8.4.3","Aspen/birch",43,8,0.03351,1.503,1.133,1.434,-0.0177,-0.0288
"8.1.3","Elm/ash/cottonwood",49,9,0.0326,1.921,0.475,1.656,0.4286,0.5358
"9.4.1","Exotic hardwoods",145,51,0.03128,0.026,0.015,0.022,0.1469,0.0068
"8.4.2","Elm/ash/cottonwood",64,12,0.03112,0.513,2.103,0.811,-0.1329,-0.1867
"8.1.1","Aspen/birch",57,10,0.03107,1.399,0.914,1.314,0.6064,0.6305
"8.2.3","Elm/ash/cottonwood",64,11,0.03106,0.936,1.124,0.969,0.0064,0.0125
"8.1.5","Elm/ash/cottonwood",302,48,0.03077,0.789,0.81,0.792,-0.0296,-0.0437
"6.2.5","Ponderosa pine",55,17,0.03071,0.509,-0.362,0.24,0.1885,0.2289
"8.3.2","Oak/pine",82,15,0.03067,1.052,0.134,0.884,0.1483,0.1756
"8.4.7","Elm/ash/cottonwood",132,24,0.03054,0.964,0.802,0.935,0.0209,0.022
"6.2.8","Other western softwoods",273,80,0.02969,0.224,0.17,0.208,0.2482,0.1123
"8.5.1","Elm/ash/cottonwood",239,48,0.02966,1.228,-0.6,0.861,0.1416,0.2398
"15.4.1","Oak/gum/cypress",195,39,0.02955,0.707,-0.163,0.533,0.2981,0.3301
"8.5.1","Loblolly/shortleaf pine",4621,951,0.02945,2.272,1.358,2.084,-0.0622,-0.0708
"8.4.3","Oak/hickory",1655,283,0.02912,1.29,0.976,1.236,0.0275,0.0569
"8.1.10","Maple/beech/birch",265,41,0.02842,1.803,2.055,1.842,0.0717,0.1511
"9.4.5","Elm/ash/cottonwood",58,17,0.02834,0.78,0.049,0.565,0.1537,0.1477
"8.3.1","Oak/pine",69,12,0.02818,1.006,1.312,1.059,-0.0336,-0.0534
"5.2.1","Woodland hardwoods",196,28,0.02797,0.314,-0.178,0.244,0.0705,0.0292
"6.2.5","Lodgepole pine",50,14,0.02763,0.376,-2.108,-0.319,0.3324,0.2779
"8.4.5","Oak/hickory",6468,1032,0.02757,0.722,0.43,0.676,-0.0376,-0.0534
"8.3.4","Elm/ash/cottonwood",904,154,0.02593,1.281,0.315,1.116,0.1649,0.2401
"8.2.4","Oak/hickory",338,47,0.02592,1.67,1.094,1.59,0.0612,0.1344
"8.5.3","Loblolly/shortleaf pine",2099,384,0.02572,1.828,1.566,1.78,-0.3267,-0.2582
"8.3.1","Loblolly/shortleaf pine",62,11,0.02569,1.462,0.657,1.319,0.2052,0.2205
"8.4.5","Other eastern softwoods",246,36,0.02554,0.839,0.318,0.763,0.2924,0.2051
"8.3.4","Other eastern softwoods",67,11,0.02411,0.601,1.047,0.674,-2.8635,-1.4655
"8.4.5","Oak/pine",786,111,0.02398,0.762,0.548,0.732,0.0403,0.0434
"8.5.3","Oak/pine",1836,316,0.02333,0.879,0.388,0.794,0.2028,0.1684
"6.2.11","California mixed conifer",415,91,0.02263,1.271,-2.324,0.483,0.2303,0.6427
"8.5.1","Oak/pine",1440,234,0.02253,0.876,-1.233,0.533,0.2066,0.2068
"9.4.5","Oak/hickory",373,82,0.02239,0.607,0.146,0.506,0.1898,0.1161
