"state","year","hybrid_Tg","recal_Tg","area_Mha"
"AL",2022,401.146,401.146,8.3083
"AL",2032,497.568,513.914,8.3083
"AL",2042,569.415,618.27,8.3083
"AL",2052,619.848,698.717,8.3083
"AL",2062,650.118,754.794,8.3083
"AL",2072,664.718,792.73,8.3083
"AL",2082,665.958,817.327,8.3083
"AL",2092,657.559,832.163,8.3083
"AL",2102,640.924,840.695,8.3083
"AL",2112,616.025,844.767,8.3083
"AL",2122,586.9,845.82,8.3083
"AR",2022,368.767,368.767,6.8015
"AR",2032,425.334,429.332,6.8015
"AR",2042,468.556,483.947,6.8015
"AR",2052,494.541,527.897,6.8015
"AR",2062,501.162,560.053,6.8015
"AR",2072,492.339,580.847,6.8015
"AR",2082,475.673,592.993,6.8015
"AR",2092,458.021,600.166,6.8015
"AR",2102,438.228,605.153,6.8015
"AR",2112,413.288,608.279,6.8015
"AR",2122,392.606,610.479,6.8015
"AZ",2022,126.121,126.121,6.7424
"AZ",2032,132.292,132.245,6.7424
"AZ",2042,137.303,137.501,6.7424
"AZ",2052,141.168,141.836,6.7424
"AZ",2062,144.087,145.448,6.7424
"AZ",2072,146.216,148.537,6.7424
"AZ",2082,147.669,151.261,6.7424
"AZ",2092,148.609,153.68,6.7424
"AZ",2102,149.143,155.808,6.7424
"AZ",2112,149.321,157.621,6.7424
"AZ",2122,149.234,159.238,6.7424
"CA",2022,664.17,664.17,7.2352
"CA",2032,704.469,714.693,7.2352
"CA",2042,737.691,758.909,7.2352
"CA",2052,764.484,797.139,7.2352
"CA",2062,786,830.048,7.2352
"CA",2072,803.116,858.181,7.2352
"CA",2082,817.353,882.954,7.2352
"CA",2092,828.867,904.793,7.2352
"CA",2102,838.133,924.367,7.2352
"CA",2112,845.598,941.305,7.2352
"CA",2122,850.944,955.477,7.2352
"CO",2022,297.46,297.46,8.5523
"CO",2032,315.935,315.19,8.5523
"CO",2042,332.099,332.03,8.5523
"CO",2052,345.101,347.527,8.5523
"CO",2062,353.822,361.013,8.5523
"CO",2072,357.934,372.009,8.5523
"CO",2082,359.044,380.939,8.5523
"CO",2092,357.076,387.824,8.5523
"CO",2102,353.696,393.407,8.5523
"CO",2112,349.489,398.018,8.5523
"CO",2122,344.642,401.843,8.5523
"CT",2022,25.338,25.338,0.3392
"CT",2032,26.212,27.094,0.3392
"CT",2042,26.707,28.516,0.3392
"CT",2052,26.877,29.56,0.3392
"CT",2062,26.784,30.277,0.3392
"CT",2072,26.621,30.853,0.3392
"CT",2082,26.4,31.305,0.3392
"CT",2092,26.16,31.688,0.3392
"CT",2102,25.912,32.025,0.3392
"CT",2112,25.665,32.327,0.3392
"CT",2122,25.424,32.602,0.3392
"DE",2022,26.548,26.548,0.383
"DE",2032,28.599,29.102,0.383
"DE",2042,30.422,31.192,0.383
"DE",2052,32.101,33.02,0.383
"DE",2062,33.636,34.661,0.383
"DE",2072,35.047,36.186,0.383
"DE",2082,36.362,37.605,0.383
"DE",2092,37.584,38.926,0.383
"DE",2102,38.673,40.156,0.383
"DE",2112,39.698,41.351,0.383
"DE",2122,40.663,42.501,0.383
"FL",2022,222.93,222.93,5.5251
"FL",2032,257.261,268.242,5.5251
"FL",2042,277.879,308.508,5.5251
"FL",2052,282.209,339.199,5.5251
"FL",2062,281.485,361.568,5.5251
"FL",2072,276.957,377.744,5.5251
"FL",2082,263.851,389.315,5.5251
"FL",2092,241.603,397.902,5.5251
"FL",2102,222.561,405.086,5.5251
"FL",2112,209.132,411.59,5.5251
"FL",2122,199.029,417.6,5.5251
"GA",2022,298.542,298.542,6.5126
"GA",2032,369.973,380.687,6.5126
"GA",2042,426.702,457.115,6.5126
"GA",2052,467.726,517.744,6.5126
"GA",2062,493.785,562.784,6.5126
"GA",2072,501.612,593.047,6.5126
"GA",2082,486.959,608.798,6.5126
"GA",2092,457.951,614.189,6.5126
"GA",2102,420.554,616.112,6.5126
"GA",2112,384.197,617.291,6.5126
"GA",2122,353.633,618.078,6.5126
"IA",2022,45.283,45.283,0.8344
"IA",2032,48.962,49.677,0.8344
"IA",2042,51.189,53.237,0.8344
"IA",2052,51.821,55.746,0.8344
"IA",2062,50.935,57.409,0.8344
"IA",2072,48.979,58.502,0.8344
"IA",2082,46.357,59.176,0.8344
"IA",2092,43.203,59.519,0.8344
"IA",2102,39.899,59.676,0.8344
"IA",2112,36.62,59.705,0.8344
"IA",2122,33.694,59.727,0.8344
"ID",2022,365.447,365.447,6.8156
"ID",2032,397.041,405.571,6.8156
"ID",2042,424.643,442.759,6.8156
"ID",2052,446.782,475.746,6.8156
"ID",2062,462.19,503.536,6.8156
"ID",2072,471.164,525.832,6.8156
"ID",2082,474.862,542.728,6.8156
"ID",2092,472.524,554.206,6.8156
"ID",2102,466.591,562.31,6.8156
"ID",2112,457.062,567.497,6.8156
"ID",2122,443.751,570.364,6.8156
"IL",2022,99.494,99.494,1.5479
"IL",2032,107.396,110.455,1.5479
"IL",2042,111.558,119.089,1.5479
"IL",2052,111.438,125.678,1.5479
"IL",2062,106.979,129.2,1.5479
"IL",2072,101.768,131.872,1.5479
"IL",2082,96.211,133.915,1.5479
"IL",2092,90.744,135.558,1.5479
"IL",2102,85.27,136.81,1.5479
"IL",2112,80.233,137.758,1.5479
"IL",2122,75.65,138.502,1.5479
"IN",2022,122.307,122.307,1.8174
"IN",2032,132.294,136.919,1.8174
"IN",2042,139.752,149.434,1.8174
"IN",2052,145.5,160.132,1.8174
"IN",2062,148.442,168.469,1.8174
"IN",2072,147.37,174.147,1.8174
"IN",2082,142.514,177.206,1.8174
"IN",2092,135.685,179.057,1.8174
"IN",2102,128.137,180.132,1.8174
"IN",2112,120.268,180.704,1.8174
"IN",2122,112.698,181.047,1.8174
"KS",2022,12.779,12.779,0.3448
"KS",2032,13.413,14.282,0.3448
"KS",2042,13.795,15.483,0.3448
"KS",2052,14.042,16.484,0.3448
"KS",2062,14.164,17.303,0.3448
"KS",2072,14.159,17.918,0.3448
"KS",2082,13.828,18.3,0.3448
"KS",2092,12.902,18.491,0.3448
"KS",2102,11.935,18.614,0.3448
"KS",2112,10.837,18.679,0.3448
"KS",2122,9.741,18.72,0.3448
"KY",2022,296.872,296.872,4.3237
"KY",2032,326.684,332.329,4.3237
"KY",2042,344.739,359.639,4.3237
"KY",2052,348.568,378.689,4.3237
"KY",2062,339.839,390.005,4.3237
"KY",2072,324.846,396.746,4.3237
"KY",2082,307.44,400.78,4.3237
"KY",2092,289.543,403.165,4.3237
"KY",2102,272.442,404.788,4.3237
"KY",2112,256.656,406.093,4.3237
"KY",2122,242.185,407.228,4.3237
"LA",2022,235.55,235.55,4.7842
"LA",2032,284.605,291.181,4.7842
"LA",2042,325.369,344.151,4.7842
"LA",2052,356.967,388.331,4.7842
"LA",2062,379.003,423.991,4.7842
"LA",2072,390.947,451.903,4.7842
"LA",2082,392.373,473.342,4.7842
"LA",2092,385.869,490.292,4.7842
"LA",2102,372.021,503.66,4.7842
"LA",2112,348.922,513.588,4.7842
"LA",2122,325.443,520.767,4.7842
"MA",2022,66.516,66.516,0.8231
"MA",2032,71.323,72.159,0.8231
"MA",2042,74.786,76.779,0.8231
"MA",2052,76.905,80.385,0.8231
"MA",2062,78.16,83.333,0.8231
"MA",2072,78.812,85.797,0.8231
"MA",2082,79.061,87.898,0.8231
"MA",2092,78.778,89.43,0.8231
"MA",2102,78.012,90.532,0.8231
"MA",2112,76.91,91.387,0.8231
"MA",2122,75.413,91.976,0.8231
"MD",2022,52.638,52.638,0.6695
"MD",2032,56.219,57.855,0.6695
"MD",2042,58.378,61.901,0.6695
"MD",2052,59.475,64.914,0.6695
"MD",2062,59.701,67.035,0.6695
"MD",2072,58.76,68.308,0.6695
"MD",2082,55.902,68.996,0.6695
"MD",2092,51.058,69.168,0.6695
"MD",2102,47.145,69.263,0.6695
"MD",2112,43.884,69.288,0.6695
"MD",2122,41.132,69.295,0.6695
"ME",2022,312.387,312.387,6.6967
"ME",2032,341.198,368.144,6.6967
"ME",2042,361.729,413.883,6.6967
"ME",2052,377.246,450.814,6.6967
"ME",2062,389.017,480.89,6.6967
"ME",2072,397.248,505.32,6.6967
"ME",2082,402.409,524.773,6.6967
"ME",2092,406.235,540.364,6.6967
"ME",2102,408.667,552.675,6.6967
