rpa_subregion,n_plots,area_ha,p_harvest,p_harvest_lo,p_harvest_hi,total_removal,removal_per_ha
North_Central,69783,112964.72040000002,0.9147513411569076,0.022842904344972683,1,13269.388125985613,0.11746488708155658
Pacific_Northwest,50,80.94,0.8602649217863552,0.1428015709230163,1,11.458754732193873,0.14157097519389514
South_Central,22035,35670.258,0.8796320650111624,0.008474307942919248,1,15921.041468924448,0.4463393976271337
South_East,70271,113754.69480000001,0.8867560461571792,0.0292370608345418,1,32766.46540099791,0.28804495022035703
