FORTYPCD,MEANING,TYPGRPCD,mn_n,mn_area_ha,mn_pct,donor_n,donor_area_ha,donor_pct,gap_pct
901,Aspen,900,4117,1237.56606000618,0.303744989009373,5122,1531.95307002387,0.134426312800037,0.169318676209336
125,Black spruce,120,1184,392.335908796882,0.0962939031350749,846,251.448702818722,0.0220642019913486,0.0742297011437263
902,Paper birch,900,867,266.365457511428,0.0653760438161025,791,230.343739505278,0.0202122768537449,0.0451637669623576
126,Tamarack,120,748,250.527050283336,0.0614887064165953,548,156.338031260042,0.0137184000632454,0.0477703063533499
701,Black ash / American elm / red maple,700,810,230.088319912948,0.0564722776922264,1489,449.869512006626,0.039475295244691,0.0169969824475355
503,White oak / red oak / hickory,500,550,175.694035973324,0.0431218863787063,3884,1256.80836980651,0.110282826775289,-0.0671609403965828
127,Northern white-cedar,120,463,151.84323970471,0.037268009091187,1673,541.061802467214,0.0474772658025854,-0.0102092567113984
805,Hard maple / basswood,800,432,143.835136693614,0.0353025211550689,2423,796.040807078724,0.0698512458559137,-0.0345487247008447
801,Sugar maple / beech / yellow birch,800,355,116.963291043066,0.0287071653792758,4804,1655.63955001097,0.145279593995932,-0.116572428616656
121,Balsam fir,120,425,112.863740925866,0.0277009824808162,677,179.03733357957,0.0157102257749168,0.0119907567058994
904,Balsam poplar,900,391,109.876295050628,0.0269677515496643,297,93.53738391363,0.00820774857566291,0.0187600029740014
102,Red pine,100,410,107.48910575518,0.0263818460293517,1648,451.866798481654,0.0396505537834132,-0.0132687077540615
101,Jack pine,100,369,100.38421373845,0.0246380398461702,1008,310.843250552606,0.0272759739499814,-0.00263793410381124
509,Bur oak,500,349,92.97996132351,0.0228207594269032,360,94.315255560076,0.0082760055081431,0.0145447539187601
520,Mixed upland hardwoods,500,225,72.282949016714,0.0177409386570744,668,201.995969209734,0.017724807549693,1.61311073813702e-05
505,Northern red oak,500,249,70.948409924224,0.0174133928596574,1012,312.27502314563,0.027401609593928,-0.00998821673427059
706,Sugarberry / hackberry / elm / green ash,700,258,67.724449767832,0.0166221124796306,1217,343.646817265208,0.0301544319172326,-0.013532319437602
999,Nonstocked,999,271,62.280295612636,0.0152859134697554,575,117.449174051478,0.0103059680600425,0.00497994540971294
517,Elm / ash / black locust,500,184,50.459257701666,0.0123845887272774,756,202.513905372776,0.0177702555794179,-0.00538566685214046
409,Other pine / hardwood,400,153,48.331459182266,0.0118623474031366,598,194.646238116144,0.017079880971774,-0.00521753356863731
962,Other hardwoods,960,125,36.808425162034,0.00903416395908476,215,57.08320226044,0.00500895526947843,0.00402520868960632
122,White spruce,120,118,28.371759676938,0.00696349076606471,283,74.372617211822,0.00652607243700884,0.000437418329055863
103,Eastern white pine,100,96,27.36785390268,0.00671709474873459,686,181.959027287586,0.0159665994980972,-0.00924950474936264
809,Red maple / upland,800,86,21.203123140232,0.005204039294001,963,275.99648938045,0.0242182290953538,-0.0190141898013528
401,Eastern white pine / northern red oak / white ash,400,53,17.477495197998,0.00428963087982614,408,121.75500759626,0.0106837977326882,-0.00639416685286211
704,Willow,700,64,17.004719969126,0.00417359415957469,137,30.548589952098,0.00268058753812663,0.00149300662144806
703,Cottonwood,700,44,11.420075426856,0.00280291355517561,193,48.482700862302,0.00425427569488465,-0.00145136213970904
707,Silver maple / American elm,700,38,11.321830616008,0.00277880060480017,374,102.227214890036,0.00897026667094347,-0.0061914660661433
