run_label,baseline_year,cycle,year_proj,statewide_vol_bcuft,statewide_agc_tgc
MN p1 (1999 baseline),1999,1,2004,21.588957183901233,265.5843938221701
MN p1 (1999 baseline),1999,2,2009,22.677971613852545,273.24578387453994
MN p1 (1999 baseline),1999,3,2014,23.580491772737567,278.3091607489067
MN p1 (1999 baseline),1999,4,2019,24.17249988614356,279.52397816113694
MN p1 (1999 baseline),1999,5,2024,24.496119824552796,277.9736355980067
MN p1 (1999 baseline),1999,6,2029,24.523902945404195,273.50840680715584
MN p1 (1999 baseline),1999,7,2034,24.191575422952024,265.99830398681934
MN p1 (1999 baseline),1999,8,2039,23.603483502168714,256.71236539330954
MN p1 (1999 baseline),1999,9,2044,22.855542387348667,246.42408268852623
MN p1 (1999 baseline),1999,10,2049,21.965354633728943,235.19070591325803
MN p1 (1999 baseline),1999,11,2054,20.962919254001683,223.5937392151655
MN p1 (1999 baseline),1999,12,2059,19.847729267631063,211.32024435705713
MN p1 (1999 baseline),1999,13,2064,18.722539262473195,199.24634995189865
MN p1 (1999 baseline),1999,14,2069,17.563655699062668,187.56928259199353
MN p1 (1999 baseline),1999,15,2074,16.424588964348878,176.59639283228705
MN diagnostic (2004 baseline),2004,1,2009,21.75622830444156,267.9696575088112
MN diagnostic (2004 baseline),2004,2,2014,22.859963745674797,276.2621602007201
MN diagnostic (2004 baseline),2004,3,2019,23.67018431169929,280.39913251740705
MN diagnostic (2004 baseline),2004,4,2024,24.07327432631209,279.66018764845535
MN diagnostic (2004 baseline),2004,5,2029,24.114664044361877,274.765966990364
MN diagnostic (2004 baseline),2004,6,2034,23.786002116703315,266.2234793647149
MN diagnostic (2004 baseline),2004,7,2039,23.091971780396847,254.56527952774175
MN diagnostic (2004 baseline),2004,8,2044,22.199758878959862,241.4949731011561
MN diagnostic (2004 baseline),2004,9,2049,21.150121640033532,227.7000287339677
MN diagnostic (2004 baseline),2004,10,2054,19.973009299489526,213.2680044604121
MN diagnostic (2004 baseline),2004,11,2059,18.738858537335776,198.85567272743646
MN diagnostic (2004 baseline),2004,12,2064,17.46390212427506,184.83596327837265
MN diagnostic (2004 baseline),2004,13,2069,16.207629328721474,171.86647429611116
MN diagnostic (2004 baseline),2004,14,2074,15.045219862603389,160.09231412310675
