us_l3code,TYPGRPCD,hcb_class,STATECD,n_self_state,n_donor_total,n_other_state_donors
-1,160,40,13,2674,21384,18710
-1,500,40,13,2339,56619,54280
-1,140,40,13,1245,3251,2006
-1,600,40,13,1224,7820,6596
-1,400,40,13,1008,10520,9512
-1,700,40,13,207,9902,9695
-1,500,10,13,178,4356,4178
-1,999,40,13,126,2878,2752
65,160,40,13,76,76,0
-1,500,30,13,73,4722,4649
-1,160,30,13,72,695,623
-1,160,20,13,69,453,384
45,160,40,13,67,67,0
65,500,40,13,64,64,0
-1,140,20,13,62,196,134
45,500,40,13,57,57,0
-1,160,10,13,51,1464,1413
-1,600,20,13,48,495,447
-1,500,20,13,47,1411,1364
-1,400,10,13,46,958,912
65,600,40,13,46,46,0
75,140,40,13,42,42,0
65,140,40,13,41,41,0
75,600,40,13,38,38,0
-1,600,30,13,35,590,555
-1,400,20,13,34,333,299
65,400,40,13,34,34,0
-1,140,30,13,26,324,298
45,400,40,13,24,24,0
75,160,40,13,24,24,0
66,500,10,13,20,20,0
-1,400,30,13,19,840,821
-1,990,40,13,18,376,358
67,500,40,13,13,13,0
75,400,40,13,11,11,0
-1,960,40,13,9,905,896
-1,100,10,13,6,1117,1111
-1,100,40,13,6,3379,3373
-1,700,30,13,6,1707,1701
45,600,40,13,6,6,0
67,160,40,13,6,6,0
-1,170,40,13,5,1025,1020
-1,700,10,13,5,377,372
45,160,10,13,5,5,0
45,500,10,13,5,5,0
45,700,40,13,5,5,0
66,400,40,13,5,5,0
66,500,40,13,5,5,0
65,700,40,13,4,4,0
66,400,10,13,4,4,0
67,500,10,13,4,4,0
75,500,40,13,4,4,0
75,999,40,13,4,4,0
-1,990,30,13,3,25,22
45,160,20,13,3,3,0
45,160,30,13,3,3,0
45,500,30,13,3,3,0
75,140,20,13,3,3,0
75,600,20,13,3,3,0
-1,600,10,13,2,187,185
-1,700,20,13,2,446,444
-1,960,10,13,2,182,180
-1,980,30,13,2,285,283
-1,999,20,13,2,454,452
-1,999,30,13,2,492,490
45,400,20,13,2,2,0
65,999,40,13,2,2,0
66,100,10,13,2,2,0
66,160,10,13,2,2,0
66,160,40,13,2,2,0
67,400,40,13,2,2,0
45,400,10,13,1,1,0
45,400,30,13,1,1,0
45,600,10,13,1,1,0
45,700,30,13,1,1,0
45,960,40,13,1,1,0
45,990,40,13,1,1,0
45,999,30,13,1,1,0
65,160,20,13,1,1,0
65,500,20,13,1,1,0
65,999,20,13,1,1,0
66,500,30,13,1,1,0
67,160,10,13,1,1,0
67,700,40,13,1,1,0
68,400,40,13,1,1,0
68,500,40,13,1,1,0
75,140,30,13,1,1,0
75,160,20,13,1,1,0
75,160,30,13,1,1,0
75,500,30,13,1,1,0
75,600,30,13,1,1,0
75,700,40,13,1,1,0
75,990,30,13,1,1,0
75,999,20,13,1,1,0
-1,800,40,23,2541,15418,12877
-1,120,40,23,2221,5374,3153
-1,900,40,23,887,7758,6871
-1,100,40,23,442,3379,2937
-1,700,40,23,197,9902,9705
-1,120,30,23,180,3142,2962
-1,400,40,23,158,10520,10362
-1,500,40,23,146,56619,56473
-1,800,30,23,128,3139,3011
-1,960,40,23,63,905,842
-1,900,30,23,60,4120,4060
-1,999,40,23,32,2878,2846
-1,120,20,23,18,333,315
-1,100,30,23,17,1584,1567
-1,700,30,23,16,1707,1691
-1,800,10,23,13,1914,1901
-1,900,20,23,12,381,369
-1,800,20,23,10,216,206
-1,500,30,23,9,4722,4713
-1,400,30,23,8,840,832
58,800,40,23,7,7,0
82,120,40,23,7,7,0
-1,380,40,23,5,356,351
-1,100,20,23,4,107,103
-1,120,10,23,4,1197,1193
-1,380,30,23,4,58,54
-1,999,30,23,4,492,488
82,800,40,23,4,4,0
58,120,40,23,3,3,0
58,900,40,23,3,3,0
-1,400,20,23,2,333,331
-1,960,20,23,2,60,58
82,100,40,23,2,2,0
82,900,40,23,2,2,0
-1,160,40,23,1,21384,21383
-1,500,20,23,1,1411,1410
-1,960,30,23,1,247,246
58,100,40,23,1,1,0
59,800,40,23,1,1,0
82,500,40,23,1,1,0
82,700,30,23,1,1,0
82,960,40,23,1,1,0
-1,900,40,27,2367,7758,5391
-1,900,30,27,2144,4120,1976
-1,120,30,27,1703,3142,1439
-1,500,40,27,1259,56619,55360
-1,700,40,27,761,9902,9141
-1,900,10,27,751,2478,1727
-1,120,40,27,698,5374,4676
-1,120,10,27,465,1197,732
-1,800,40,27,460,15418,14958
-1,700,30,27,411,1707,1296
-1,100,40,27,310,3379,3069
-1,800,30,27,304,3139,2835
-1,500,30,27,300,4722,4422
-1,100,30,27,276,1584,1308
-1,100,10,27,252,1117,865
-1,999,40,27,128,2878,2750
-1,999,30,27,122,492,370
-1,400,40,27,108,10520,10412
-1,800,10,27,99,1914,1815
-1,900,20,27,80,381,301
-1,700,10,27,71,377,306
-1,960,40,27,55,905,850
-1,400,30,27,54,840,786
-1,960,30,27,40,247,207
50,900,10,27,40,40,0
-1,120,20,27,39,333,294
-1,400,10,27,38,958,920
-1,500,10,27,31,4356,4325
50,120,10,27,29,29,0
-1,700,20,27,26,446,420
-1,500,20,27,24,1411,1387
-1,960,10,27,24,182,158
-1,100,20,27,21,107,86
-1,999,10,27,18,1191,1173
50,100,10,27,13,13,0
-1,170,40,27,11,1025,1014
-1,400,20,27,8,333,325
-1,800,20,27,8,216,208
-1,380,40,27,7,356,349
-1,990,40,27,7,376,369
50,400,10,27,5,5,0
50,900,30,27,4,4,0
-1,960,20,27,3,60,57
50,700,10,27,3,3,0
50,800,10,27,3,3,0
50,960,10,27,3,3,0
50,999,10,27,3,3,0
-1,170,30,27,2,34,32
49,120,30,27,2,2,0
49,120,40,27,2,2,0
49,900,40,27,2,2,0
50,100,30,27,2,2,0
50,900,40,27,2,2,0
47,700,40,27,1,1,0
