plant_class,ga_n,ga_pct,donor_n,donor_pct,gap_pct
other_forest_type,6028,0.571281450328978,14373,0.69910987888516,-0.127828428556182
pine_plantation_indicative,4289,0.428718549671022,6186,0.30089012111484,0.127828428556182
