state,n_sims,mean_carbon,mean_vol,mean_ba,gross_growth,total_tpa,rel_growth_rate
WA,100,62569.1059082604,3132.64772354551,109.90875610106,743.862576331082,340.52720541231,0.011888655999364
ME,100,43845.6244090472,1528.62498854698,89.2031048798657,285.440475612973,739.95481182008,0.00651012454401436
GA,100,35214.1654015436,1325.51971525187,67.4334805839006,428.787671918034,497.744400901478,0.012176567782556
MN,100,33650.2207034518,1240.74466574145,68.7491564728299,271.560005055831,543.302177782621,0.00807008094981007
