plant_class,n_cond,pct_sat_full_1,pct_sat_lt_05,pct_sat_0,mean_sat_age
plantation_indicative,4289,0.954,0.016,0.005,0.979
other_forest_type,5875,0.768,0.126,0.075,0.858
