plant_class,n_cond,mean_age,median_age,p25_age,p75_age,p90_age,pct_age_lt_30,pct_age_lt_60,pct_age_lt_80
plantation_indicative,4289,23.6,20,12,30,50,0.743,0.948,0.995
other_forest_type,5875,39.2,38,14,60,75,0.418,0.744,0.925
