TYPGRPCD,n_types,wa_area_ha,donor_area_ha,wa_pct,donor_pct,gap_pct,GROUP_NAME
,20,0,238.516148674548,0,0.0451201158508344,-0.0451201158508344,
200,2,835.633501867522,1725.07777740624,0.416342314726438,0.326333078916494,0.090009235809944,Douglas-fir group
220,2,179.884295243366,872.11029858845,0.0896247502011119,0.164977163708562,-0.07535241350745,Ponderosa pine group
240,1,1.6494596674,4.896561388016,0.000821819439309759,0.000926282846363853,-0.000104463407054094,Western white pine group
260,9,318.741198034502,837.01024687701,0.158808195090054,0.158337284570855,0.000470910519199674,Fir / spruce / mountain hemlock group
280,1,68.89059213606,517.897223345708,0.0343237418422094,0.0979706524947647,-0.0636469106525554,Lodgepole pine group
300,3,282.595499211334,158.173667531114,0.140799123072465,0.0299217233013992,0.110877399771066,Hemlock / Sitka spruce group
320,1,36.99807154347,70.219720981416,0.0184337544059653,0.0132834693302795,0.00515028507568578,Western larch group
360,3,9.946961730816,405.354317885328,0.00495592991694077,0.0766809035164235,-0.0717249735994827,Other western softwoods group
700,4,18.460173977498,20.66041817056,0.00919751487568141,0.00390833269178065,0.00528918218390075,Elm / ash / cottonwood group
900,2,12.841147312668,41.863014004934,0.00639791605285227,0.00791922916860884,-0.00152131311575657,Aspen / birch group
910,2,141.525336311318,127.756201103934,0.0705129533229667,0.0241676491361489,0.0463453041868179,Alder / maple group
920,1,12.301417189782,53.988120431038,0.00612900331995233,0.0102129363649128,-0.00408393304496044,Western oak group
960,1,8.428137132332,11.626475404006,0.00419919751262349,0.00219938113239209,0.0019998163802314,Other hardwoods group
970,2,7.007422179572,30.675979034608,0.00349134682128974,0.00580297701254547,-0.00231163019125572,Woodland hardwoods group
999,1,72.179593831058,170.42241645674,0.0359624394001392,0.032238819957635,0.00372361944250419,Nonstocked
