rpa_subregion,n_plots,area_ha,p_harvest,p_harvest_lo,p_harvest_hi,total_removal,removal_per_ha,rpa_baseline_removal,pct_diff
North_Central,69783,112964.72040000002,0.9147302148683072,0.022866515884019077,1,13269.081993568134,0.11746217709903818,NA,NA
Pacific_Northwest,50,80.94,0.8603234951294941,0.14278744754731493,1,11.45855299836768,0.14156848280661824,NA,NA
South_Central,22035,35670.258,0.8796343739278359,0.0084875536091989,1,15920.881347354418,0.4463349086893181,NA,NA
South_East,70271,113754.69480000001,0.8867533768356342,0.029254763252673743,1,32766.30645940053,0.2880435529892567,NA,NA
