us_l3code,TYPGRPCD,hcb_class,n_cond
-1,100,40,3379
-1,100,20,107
-1,100,30,1584
-1,100,10,1117
82,100,40,2
50,100,10,13
50,100,30,2
51,100,30,1
66,100,10,2
58,100,40,1
-1,120,40,5374
-1,120,10,1197
-1,120,30,3142
-1,120,20,333
50,120,10,29
82,120,40,7
58,120,40,3
49,120,40,2
49,120,30,2
50,120,30,1
-1,140,10,411
-1,140,40,3251
-1,140,20,196
-1,140,30,324
65,140,40,41
75,140,40,42
75,140,30,1
75,140,20,3
-1,160,40,21384
-1,160,30,695
-1,160,20,453
-1,160,10,1464
75,160,40,24
45,160,30,3
45,160,40,67
75,160,20,1
45,160,10,5
65,160,40,76
45,160,20,3
67,160,40,6
66,160,40,2
65,160,20,1
75,160,30,1
67,160,10,1
66,160,10,2
-1,170,30,34
-1,170,40,1025
-1,170,10,21
-1,170,20,34
-1,180,40,3889
-1,180,10,2771
-1,180,20,3073
-1,180,30,612
-1,200,40,2809
-1,200,30,563
-1,200,10,4788
-1,200,20,466
77,200,10,4
1,200,40,78
1,200,30,19
2,200,30,13
4,200,30,25
4,200,40,52
2,200,40,58
77,200,40,21
2,200,20,3
77,200,30,13
9,200,40,19
11,200,40,1
15,200,40,93
15,200,30,13
9,200,30,9
9,200,20,1
10,200,40,8
15,200,20,5
-1,220,40,1837
-1,220,10,3813
-1,220,30,182
-1,220,20,212
11,220,40,2
77,220,40,7
77,220,30,6
9,220,30,8
15,220,40,49
15,220,30,5
9,220,40,24
10,220,40,20
10,220,30,2
10,220,20,3
15,220,20,1
-1,240,40,2
-1,240,10,42
1,240,40,1
-1,240,20,4
-1,240,30,1
-1,260,10,4968
-1,260,40,648
-1,260,20,376
-1,260,30,151
4,260,40,6
4,260,30,3
1,260,30,1
77,260,30,7
77,260,10,9
1,260,40,1
2,260,40,4
77,260,40,4
15,260,40,7
9,260,30,3
15,260,10,1
11,260,40,3
9,260,40,11
10,260,40,2
15,260,30,1
15,260,20,1
-1,280,10,2187
-1,280,30,57
-1,280,20,309
-1,280,40,259
1,280,40,1
2,280,40,2
77,280,40,1
15,280,40,10
9,280,30,3
77,280,30,1
15,280,30,1
9,280,40,1
-1,300,20,93
-1,300,30,293
-1,300,10,1119
-1,300,40,581
1,300,40,59
1,300,30,22
4,300,30,6
77,300,40,10
2,300,40,15
4,300,40,11
77,300,10,3
1,300,20,1
77,300,30,9
2,300,20,1
15,300,40,10
15,300,30,1
-1,320,40,50
-1,320,10,256
-1,320,30,24
-1,320,20,6
11,320,40,1
15,320,40,3
77,320,40,1
77,320,30,1
15,320,30,1
15,320,20,1
-1,340,10,2
-1,340,40,85
-1,340,30,13
-1,340,20,5
-1,360,40,484
-1,360,10,790
-1,360,20,487
-1,360,30,54
9,360,40,1
-1,370,10,820
-1,370,40,310
-1,370,20,65
-1,370,30,14
-1,380,40,356
-1,380,30,58
-1,380,20,1
-1,380,10,3
-1,390,40,3
-1,400,40,10520
-1,400,10,958
-1,400,30,840
-1,400,20,333
66,400,10,4
50,400,10,5
65,400,40,34
45,400,40,24
66,400,40,5
68,400,40,1
45,400,30,1
67,400,40,2
45,400,10,1
45,400,20,2
75,400,40,11
-1,500,40,56619
-1,500,30,4722
-1,500,10,4356
-1,500,20,1411
45,500,30,3
45,500,40,57
65,500,40,64
67,500,40,13
67,500,10,4
66,500,10,20
68,500,40,1
66,500,40,5
52,500,40,1
82,500,40,1
45,500,10,5
66,500,30,1
75,500,30,1
51,500,40,1
75,500,40,4
65,500,20,1
-1,600,40,7820
-1,600,20,495
-1,600,30,590
-1,600,10,187
75,600,40,38
65,600,40,46
45,600,40,6
75,600,20,3
45,600,10,1
75,600,30,1
-1,700,40,9902
-1,700,30,1707
-1,700,10,377
-1,700,20,446
50,700,40,1
50,700,10,3
45,700,30,1
65,700,40,4
2,700,40,7
4,700,30,1
1,700,40,2
10,700,40,1
15,700,40,1
15,700,20,1
3,700,20,1
77,700,40,1
45,700,40,5
75,700,40,1
47,700,40,1
67,700,40,1
82,700,30,1
2,700,30,1
-1,800,40,15418
-1,800,10,1914
-1,800,30,3139
-1,800,20,216
59,800,40,1
82,800,40,4
58,800,40,7
50,800,10,3
51,800,40,1
50,800,40,1
-1,900,40,7758
-1,900,10,2478
-1,900,30,4120
-1,900,20,381
58,900,40,3
10,900,30,1
9,900,40,1
82,900,40,2
51,900,40,1
50,900,30,4
49,900,40,2
50,900,40,2
50,900,10,40
77,900,40,3
15,900,30,1
15,900,40,2
50,900,20,1
-1,910,40,549
-1,910,10,181
-1,910,30,135
-1,910,20,26
1,910,30,7
1,910,40,28
2,910,30,8
4,910,40,11
3,910,40,2
4,910,30,6
2,910,40,32
77,910,40,13
77,910,30,5
-1,920,40,1030
-1,920,20,136
-1,920,30,100
-1,920,10,485
2,920,40,1
9,920,40,7
10,920,40,2
-1,940,10,216
-1,940,40,233
-1,940,20,22
-1,940,30,19
-1,960,40,905
-1,960,30,247
-1,960,10,182
-1,960,20,60
1,960,40,3
15,960,30,1
15,960,40,1
82,960,40,1
45,960,40,1
50,960,10,3
-1,970,40,2476
-1,970,10,1123
-1,970,30,331
-1,970,20,438
-1,980,30,285
-1,980,40,758
-1,980,20,64
-1,980,10,17
-1,990,40,376
-1,990,30,25
-1,990,20,6
75,990,30,1
45,990,40,1
-1,999,40,2878
-1,999,30,492
-1,999,20,454
-1,999,10,1191
1,999,30,1
1,999,40,5
2,999,40,6
77,999,40,3
4,999,40,1
10,999,30,1
15,999,40,4
77,999,30,2
10,999,40,2
15,999,30,1
65,999,20,1
75,999,40,4
75,999,20,1
65,999,40,2
45,999,30,1
50,999,10,3
