stdorg_class,ga_n,ga_pct,donor_n,donor_pct,gap_pct
natural,7311,0.691068033025479,,0,0.691068033025479
planted,3006,0.308931966974521,,0,0.308931966974521
unknown,,0,20559,1,-1
