TYPGRPCD,config,GROUP_NAME,wa_pct,donor_pct,gap_pct
200,donor_OR_west_plus_WA_west,Douglas-fir group,0.416342314726438,0.561375469663646,-0.145033154937208
200,donor_OR_westside_only,Douglas-fir group,0.416342314726438,0.598820726612447,-0.182478411886008
200,donor_full_OR_ID_MT,Douglas-fir group,0.416342314726438,0.326333078916494,0.090009235809944
220,donor_OR_west_plus_WA_west,Ponderosa pine group,0.0896247502011119,0.0196403482402729,0.069984401960839
220,donor_OR_westside_only,Ponderosa pine group,0.0896247502011119,0.0273671951801104,0.0622575550210016
220,donor_full_OR_ID_MT,Ponderosa pine group,0.0896247502011119,0.167400148910815,-0.0777753987097032
260,donor_OR_west_plus_WA_west,Fir / spruce / mountain hemlock group,0.158808195090054,0.078076700864584,0.0807314942254703
260,donor_OR_westside_only,Fir / spruce / mountain hemlock group,0.158808195090054,0.0844260138868077,0.0743821812032466
260,donor_full_OR_ID_MT,Fir / spruce / mountain hemlock group,0.158808195090054,0.162303031819542,-0.00349483672948775
280,donor_OR_west_plus_WA_west,Lodgepole pine group,0.0343237418422094,0.0129953172021641,0.0213284246400453
280,donor_OR_westside_only,Lodgepole pine group,0.0343237418422094,0.015617459090599,0.0187062827516103
280,donor_full_OR_ID_MT,Lodgepole pine group,0.0343237418422094,0.0979706524947647,-0.0636469106525554
300,donor_OR_west_plus_WA_west,Hemlock / Sitka spruce group,0.140799123072465,0.113133469966385,0.0276656531060796
300,donor_OR_westside_only,Hemlock / Sitka spruce group,0.140799123072465,0.0621247862613293,0.0786743368111358
300,donor_full_OR_ID_MT,Hemlock / Sitka spruce group,0.140799123072465,0.0299217233013992,0.110877399771066
320,donor_OR_west_plus_WA_west,Western larch group,0.0184337544059653,0,0.0184337544059653
320,donor_OR_westside_only,Western larch group,0.0184337544059653,0,0.0184337544059653
320,donor_full_OR_ID_MT,Western larch group,0.0184337544059653,0.0132834693302795,0.00515028507568578
910,donor_OR_west_plus_WA_west,Alder / maple group,0.0705129533229667,0.102837394686158,-0.0323244413631912
910,donor_OR_westside_only,Alder / maple group,0.0705129533229667,0.0756006123055893,-0.00508765898262253
910,donor_full_OR_ID_MT,Alder / maple group,0.0705129533229667,0.0241676491361489,0.0463453041868178
999,donor_OR_west_plus_WA_west,Nonstocked,0.0359624394001392,0.0215763210757457,0.0143861183243935
999,donor_OR_westside_only,Nonstocked,0.0359624394001392,0.0192970594506604,0.0166653799494787
999,donor_full_OR_ID_MT,Nonstocked,0.0359624394001392,0.032238819957635,0.00372361944250419
