TYPGRPCD,n_types,mn_area_ha,donor_area_ha,mn_pct,donor_pct,gap_pct,GROUP_NAME
,26,0,332.235614174216,0,0.0291531179826546,-0.0291531179826546,
100,3,235.24117339631,944.669076321846,0.0577369806242565,0.0828931272314918,-0.0251561466072353,White / red / jack pine group
120,6,936.042870887732,1202.25848733737,0.229739923159073,0.105496166069105,0.124243757089968,Spruce / fir group
170,1,4.117488228836,15.022823297992,0.00101058558183776,0.00131822755103334,-0.000307641969195572,Other eastern softwoods group
380,1,1.557956925312,45.275764227186,0.0003823808881391,0.00397287238320534,-0.00359049149506624,Exotic softwoods group
400,3,68.420223979516,328.99293162472,0.0167928814891491,0.0288685780269346,-0.0120756965377855,Oak / pine group
500,11,476.194954666834,2463.06017840013,0.116876048839667,0.216129400087807,-0.09925335124814,Oak / hickory group
700,10,353.17398040204,1207.11866826336,0.0866821014751152,0.105922638794808,-0.0192405373196925,Elm / ash / cottonwood group
800,5,282.60518172857,2804.73203450288,0.0693618794116799,0.246110532475055,-0.176748653063375,Maple / beech / birch group
900,5,1616.75331921455,1868.03339706611,0.396811721851227,0.163916797889254,0.232894923961973,Aspen / birch group
960,1,36.808425162034,57.08320226044,0.00903416395908476,0.00500895526947843,0.00402520868960632,Other hardwoods group
990,1,1.162900428682,10.297839870884,0.000285419251015373,0.000903618179130372,-0.000618198928114999,Exotic hardwoods group
999,1,62.280295612636,117.449174051478,0.0152859134697554,0.0103059680600425,0.00497994540971294,Nonstocked
