state,n_cond,median_age,mean_age,pct_age_lt_30,pct_age_lt_60,pct_sat_full_1,mean_sat_age,terminal_age
GA,10164,25,32.6,0.555,0.83,0.847,0.909,80
ME,7174,59,58.4,0.194,0.506,0.523,0.824,120
MN,13324,54,53.5,0.239,0.567,0.601,0.832,110
WA,5764,70,91.3,0.225,0.412,0.437,0.763,200
