year,EVALID,cycle_match,n_full_plots,n_subj_plots_in_eval,obs_full_agc_mmt,obs_subj_agc_mmt,proj_subj_agc_mmt,residual_mmt
2011,531100,,9952,3728,654.1,354.5,,
2017,531700,,9967,2645,656.8,296.8,,
2018,531800,,9968,2487,657.7,287.9,,
2019,531900,4,9970,2745,654.3,317,235.3,-81.6
2020,532000,,9970,3018,651.7,349.6,,
2021,532100,,9970,3276,645.6,375.1,,
2022,532200,,9970,3187,639.7,363.4,,
