"forest_type","ecoregion","owner","treatment","period","age_yr","AGB_tonac","AGB_MgHa","Vol_m3Ha","Carbon_MgHa","Carbon_tonac"
"Aspenbirch","ME_APH","Industrial","untreated",1,5,2.112,4.7,0.1,2.1,0.95
"Aspenbirch","ME_APH","Industrial","untreated",2,10,5.469,12.3,1,5.5,2.461
"Aspenbirch","ME_APH","Industrial","untreated",3,15,9.261,20.8,3.8,9.4,4.167
"Aspenbirch","ME_APH","Industrial","untreated",4,20,13.192,29.6,9.1,13.3,5.936
"Aspenbirch","ME_APH","Industrial","untreated",5,25,17.103,38.3,16.8,17.2,7.696
"Aspenbirch","ME_APH","Industrial","untreated",6,30,20.899,46.8,26.4,21.1,9.405
"Aspenbirch","ME_APH","Industrial","untreated",7,35,24.527,55,37.5,24.8,11.037
"Aspenbirch","ME_APH","Industrial","untreated",8,40,27.956,62.7,49.4,28.2,12.58
"Aspenbirch","ME_APH","Industrial","untreated",9,45,31.17,69.9,61.6,31.5,14.027
"Aspenbirch","ME_APH","Industrial","untreated",10,50,34.163,76.6,73.6,34.5,15.373
"Aspenbirch","ME_APH","Industrial","untreated",11,55,36.937,82.8,85.2,37.3,16.622
"Aspenbirch","ME_APH","Industrial","untreated",12,60,39.498,88.5,96,39.8,17.774
"Aspenbirch","ME_APH","Industrial","untreated",13,65,41.854,93.8,106,42.2,18.834
"Aspenbirch","ME_APH","Industrial","untreated",14,70,44.016,98.7,115,44.4,19.807
"Aspenbirch","ME_APH","Industrial","untreated",15,75,45.996,103.1,123.2,46.4,20.698
"Aspenbirch","ME_APH","Industrial","untreated",16,80,47.805,107.2,130.5,48.2,21.512
"Aspenbirch","ME_APH","Industrial","untreated",17,85,49.455,110.9,136.9,49.9,22.255
"Aspenbirch","ME_APH","Industrial","untreated",18,90,50.959,114.2,142.6,51.4,22.932
"Aspenbirch","ME_APH","Industrial","untreated",19,95,52.327,117.3,147.5,52.8,23.547
"Aspenbirch","ME_APH","Industrial","untreated",20,100,53.571,120.1,151.8,54,24.107
"Aspenbirch","ME_APH","Industrial","untreated",21,105,54.701,122.6,155.6,55.2,24.615
"Aspenbirch","ME_APH","Industrial","untreated",22,110,55.726,124.9,158.8,56.2,25.077
"Aspenbirch","ME_APH","Industrial","untreated",23,115,56.655,127,161.6,57.1,25.495
"Aspenbirch","ME_APH","Industrial","untreated",24,120,57.498,128.9,164,58,25.874
"Aspenbirch","ME_APH","Industrial","untreated",25,125,58.261,130.6,166,58.8,26.217
"Aspenbirch","ME_APH","Industrial","untreated",26,130,58.952,132.2,167.8,59.5,26.528
"Aspenbirch","ME_APH","Industrial","untreated",27,135,59.577,133.6,169.3,60.1,26.81
"Aspenbirch","ME_APH","Industrial","untreated",28,140,60.142,134.8,170.6,60.7,27.064
"Aspenbirch","ME_APH","Industrial","untreated",29,145,60.654,136,171.7,61.2,27.294
"Aspenbirch","ME_APH","Industrial","untreated",30,150,61.116,137,172.6,61.6,27.502
"Aspenbirch","ME_APH","NIPF","untreated",1,5,5.53,12.4,4.4,5.6,2.489
"Aspenbirch","ME_APH","NIPF","untreated",2,10,9.599,21.5,10,9.7,4.32
"Aspenbirch","ME_APH","NIPF","untreated",3,15,13.151,29.5,16,13.3,5.918
"Aspenbirch","ME_APH","NIPF","untreated",4,20,16.355,36.7,22.2,16.5,7.36
"Aspenbirch","ME_APH","NIPF","untreated",5,25,19.291,43.2,28.6,19.4,8.681
"Aspenbirch","ME_APH","NIPF","untreated",6,30,22.005,49.3,35.1,22.2,9.902
"Aspenbirch","ME_APH","NIPF","untreated",7,35,24.53,55,41.6,24.8,11.039
"Aspenbirch","ME_APH","NIPF","untreated",8,40,26.889,60.3,48.1,27.1,12.1
"Aspenbirch","ME_APH","NIPF","untreated",9,45,29.099,65.2,54.5,29.3,13.095
"Aspenbirch","ME_APH","NIPF","untreated",10,50,31.175,69.9,61,31.5,14.029
"Aspenbirch","ME_APH","NIPF","untreated",11,55,33.128,74.3,67.4,33.4,14.908
"Aspenbirch","ME_APH","NIPF","untreated",12,60,34.97,78.4,73.7,35.3,15.736
"Aspenbirch","ME_APH","NIPF","untreated",13,65,36.709,82.3,80,37,16.519
"Aspenbirch","ME_APH","NIPF","untreated",14,70,38.352,86,86.2,38.7,17.258
"Aspenbirch","ME_APH","NIPF","untreated",15,75,39.905,89.5,92.3,40.3,17.957
"Aspenbirch","ME_APH","NIPF","untreated",16,80,41.376,92.8,98.3,41.8,18.619
"Aspenbirch","ME_APH","NIPF","untreated",17,85,42.77,95.9,104.3,43.2,19.247
"Aspenbirch","ME_APH","NIPF","untreated",18,90,44.09,98.8,110.1,44.5,19.841
"Aspenbirch","ME_APH","NIPF","untreated",19,95,45.343,101.6,115.9,45.7,20.404
"Aspenbirch","ME_APH","NIPF","untreated",20,100,46.531,104.3,121.5,46.9,20.939
"Aspenbirch","ME_APH","NIPF","untreated",21,105,47.66,106.8,127.1,48.1,21.447
"Aspenbirch","ME_APH","NIPF","untreated",22,110,48.731,109.2,132.5,49.1,21.929
"Aspenbirch","ME_APH","NIPF","untreated",23,115,49.749,111.5,137.9,50.2,22.387
"Aspenbirch","ME_APH","NIPF","untreated",24,120,50.716,113.7,143.2,51.2,22.822
"Aspenbirch","ME_APH","NIPF","untreated",25,125,51.636,115.8,148.3,52.1,23.236
"Aspenbirch","ME_APH","NIPF","untreated",26,130,52.51,117.7,153.4,53,23.63
"Aspenbirch","ME_APH","NIPF","untreated",27,135,53.341,119.6,158.3,53.8,24.003
"Aspenbirch","ME_APH","NIPF","untreated",28,140,54.132,121.3,163.2,54.6,24.359
"Aspenbirch","ME_APH","NIPF","untreated",29,145,54.885,123,168,55.4,24.698
"Aspenbirch","ME_APH","NIPF","untreated",30,150,55.601,124.6,172.7,56.1,25.02
"Aspenbirch","ME_NCZ","Industrial","untreated",1,5,2.219,5,0,2.2,0.999
"Aspenbirch","ME_NCZ","Industrial","untreated",2,10,6.192,13.9,0.7,6.3,2.786
"Aspenbirch","ME_NCZ","Industrial","untreated",3,15,10.695,24,3.5,10.8,4.813
"Aspenbirch","ME_NCZ","Industrial","untreated",4,20,15.215,34.1,9,15.3,6.847
"Aspenbirch","ME_NCZ","Industrial","untreated",5,25,19.498,43.7,17.5,19.7,8.774
"Aspenbirch","ME_NCZ","Industrial","untreated",6,30,23.426,52.5,28,23.6,10.542
"Aspenbirch","ME_NCZ","Industrial","untreated",7,35,26.949,60.4,39.7,27.2,12.127
"Aspenbirch","ME_NCZ","Industrial","untreated",8,40,30.064,67.4,51.8,30.3,13.529
"Aspenbirch","ME_NCZ","Industrial","untreated",9,45,32.788,73.5,63.4,33.1,14.755
"Aspenbirch","ME_NCZ","Industrial","untreated",10,50,35.151,78.8,74.2,35.5,15.818
"Aspenbirch","ME_NCZ","Industrial","untreated",11,55,37.188,83.4,83.9,37.5,16.735
"Aspenbirch","ME_NCZ","Industrial","untreated",12,60,38.937,87.3,92.4,39.3,17.522
"Aspenbirch","ME_NCZ","Industrial","untreated",13,65,40.432,90.6,99.8,40.8,18.194
"Aspenbirch","ME_NCZ","Industrial","untreated",14,70,41.706,93.5,106,42.1,18.768
"Aspenbirch","ME_NCZ","Industrial","untreated",15,75,42.789,95.9,111.2,43.2,19.255
"Aspenbirch","ME_NCZ","Industrial","untreated",16,80,43.708,98,115.6,44.1,19.669
"Aspenbirch","ME_NCZ","Industrial","untreated",17,85,44.487,99.7,119.2,44.9,20.019
"Aspenbirch","ME_NCZ","Industrial","untreated",18,90,45.146,101.2,122.1,45.5,20.316
"Aspenbirch","ME_NCZ","Industrial","untreated",19,95,45.703,102.5,124.6,46.1,20.566
"Aspenbirch","ME_NCZ","Industrial","untreated",20,100,46.173,103.5,126.5,46.6,20.778
"Aspenbirch","ME_NCZ","Industrial","untreated",21,105,46.57,104.4,128.1,47,20.957
"Aspenbirch","ME_NCZ","Industrial","untreated",22,110,46.904,105.1,129.4,47.3,21.107
"Aspenbirch","ME_NCZ","Industrial","untreated",23,115,47.186,105.8,130.5,47.6,21.234
"Aspenbirch","ME_NCZ","Industrial","untreated",24,120,47.424,106.3,131.3,47.8,21.341
"Aspenbirch","ME_NCZ","Industrial","untreated",25,125,47.624,106.8,132,48.1,21.431
"Aspenbirch","ME_NCZ","Industrial","untreated",26,130,47.792,107.1,132.6,48.2,21.506
"Aspenbirch","ME_NCZ","Industrial","untreated",27,135,47.934,107.5,133,48.4,21.57
"Aspenbirch","ME_NCZ","Industrial","untreated",28,140,48.053,107.7,133.4,48.5,21.624
"Aspenbirch","ME_NCZ","Industrial","untreated",29,145,48.154,107.9,133.7,48.6,21.669
"Aspenbirch","ME_NCZ","Industrial","untreated",30,150,48.238,108.1,133.9,48.6,21.707
"Aspenbirch","ME_NCZ","NIPF","untreated",1,5,3.617,8.1,3.6,3.6,1.628
"Aspenbirch","ME_NCZ","NIPF","untreated",2,10,7.785,17.5,9.8,7.9,3.503
"Aspenbirch","ME_NCZ","NIPF","untreated",3,15,12.019,26.9,17.4,12.1,5.409
"Aspenbirch","ME_NCZ","NIPF","untreated",4,20,16.197,36.3,25.8,16.3,7.289
"Aspenbirch","ME_NCZ","NIPF","untreated",5,25,20.264,45.4,34.9,20.4,9.119
"Aspenbirch","ME_NCZ","NIPF","untreated",6,30,24.191,54.2,44.4,24.4,10.886
"Aspenbirch","ME_NCZ","NIPF","untreated",7,35,27.964,62.7,54.1,28.2,12.584
"Aspenbirch","ME_NCZ","NIPF","untreated",8,40,31.575,70.8,64.1,31.9,14.209
"Aspenbirch","ME_NCZ","NIPF","untreated",9,45,35.022,78.5,74.2,35.3,15.76
"Aspenbirch","ME_NCZ","NIPF","untreated",10,50,38.304,85.9,84.4,38.7,17.237
"Aspenbirch","ME_NCZ","NIPF","untreated",11,55,41.424,92.9,94.5,41.8,18.641
"Aspenbirch","ME_NCZ","NIPF","untreated",12,60,44.387,99.5,104.6,44.8,19.974
"Aspenbirch","ME_NCZ","NIPF","untreated",13,65,47.196,105.8,114.5,47.6,21.238
"Aspenbirch","ME_NCZ","NIPF","untreated",14,70,49.858,111.8,124.4,50.3,22.436
"Aspenbirch","ME_NCZ","NIPF","untreated",15,75,52.378,117.4,134.1,52.8,23.57
"Aspenbirch","ME_NCZ","NIPF","untreated",16,80,54.761,122.8,143.7,55.3,24.642
"Aspenbirch","ME_NCZ","NIPF","untreated",17,85,57.015,127.8,153.1,57.5,25.657
"Aspenbirch","ME_NCZ","NIPF","untreated",18,90,59.144,132.6,162.3,59.7,26.615
"Aspenbirch","ME_NCZ","NIPF","untreated",19,95,61.155,137.1,171.3,61.7,27.52
"Aspenbirch","ME_NCZ","NIPF","untreated",20,100,63.053,141.3,180.1,63.6,28.374
"Aspenbirch","ME_NCZ","NIPF","untreated",21,105,64.845,145.4,188.7,65.4,29.18
"Aspenbirch","ME_NCZ","NIPF","untreated",22,110,66.535,149.2,197,67.1,29.941
"Aspenbirch","ME_NCZ","NIPF","untreated",23,115,68.129,152.7,205.2,68.7,30.658
"Aspenbirch","ME_NCZ","NIPF","untreated",24,120,69.632,156.1,213.1,70.2,31.334
"Aspenbirch","ME_NCZ","NIPF","untreated",25,125,71.049,159.3,220.8,71.7,31.972
"Aspenbirch","ME_NCZ","NIPF","untreated",26,130,72.385,162.3,228.3,73,32.573
"Aspenbirch","ME_NCZ","NIPF","untreated",27,135,73.643,165.1,235.6,74.3,33.139
"Aspenbirch","ME_NCZ","NIPF","untreated",28,140,74.828,167.7,242.7,75.5,33.673
"Aspenbirch","ME_NCZ","NIPF","untreated",29,145,75.945,170.2,249.5,76.6,34.175
"Aspenbirch","ME_NCZ","NIPF","untreated",30,150,76.997,172.6,256.2,77.7,34.649
"Aspenbirch","ME_NH","Industrial","untreated",1,5,0.318,0.7,0.2,0.3,0.143
"Aspenbirch","ME_NH","Industrial","untreated",2,10,3.628,8.1,2.4,3.6,1.633
"Aspenbirch","ME_NH","Industrial","untreated",3,15,10.711,24,9.5,10.8,4.82
"Aspenbirch","ME_NH","Industrial","untreated",4,20,19.053,42.7,21.4,19.2,8.574
"Aspenbirch","ME_NH","Industrial","untreated",5,25,26.503,59.4,36.2,26.7,11.926
"Aspenbirch","ME_NH","Industrial","untreated",6,30,32.255,72.3,51.6,32.5,14.515
"Aspenbirch","ME_NH","Industrial","untreated",7,35,36.344,81.5,66,36.7,16.355
"Aspenbirch","ME_NH","Industrial","untreated",8,40,39.113,87.7,78.6,39.5,17.601
"Aspenbirch","ME_NH","Industrial","untreated",9,45,40.934,91.8,89,41.3,18.42
"Aspenbirch","ME_NH","Industrial","untreated",10,50,42.111,94.4,97.5,42.5,18.95
"Aspenbirch","ME_NH","Industrial","untreated",11,55,42.862,96.1,104.1,43.2,19.288
"Aspenbirch","ME_NH","Industrial","untreated",12,60,43.339,97.2,109.2,43.7,19.503
"Aspenbirch","ME_NH","Industrial","untreated",13,65,43.64,97.8,113.1,44,19.638
"Aspenbirch","ME_NH","Industrial","untreated",14,70,43.829,98.3,116.1,44.2,19.723
