; YIELDS section: Maine FIA empirical chronosequence yield curves (v4)
; Source: github.com/holoros/fia-cem-maine v4 archive
; Generated 2 May 2026; conversion factors documented in PERSEUS_handoff.md
;
; Columns: AGE   AGB_tonac   Vol_m3ha   Carbon_tonac
;
*Y
Aspenbirch ME_APH Industrial untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     2.112      0.100     0.950     
10    5.469      1.000     2.461     
15    9.261      3.800     4.167     
20    13.192     9.100     5.936     
25    17.103     16.800    7.696     
30    20.899     26.400    9.405     
35    24.527     37.500    11.037    
40    27.956     49.400    12.580    
45    31.170     61.600    14.027    
50    34.163     73.600    15.373    
55    36.937     85.200    16.622    
60    39.498     96.000    17.774    
65    41.854     106.000   18.834    
70    44.016     115.000   19.807    
75    45.996     123.200   20.698    
80    47.805     130.500   21.512    
85    49.455     136.900   22.255    
90    50.959     142.600   22.932    
95    52.327     147.500   23.547    
100   53.571     151.800   24.107    
105   54.701     155.600   24.615    
110   55.726     158.800   25.077    
115   56.655     161.600   25.495    
120   57.498     164.000   25.874    
125   58.261     166.000   26.217    
130   58.952     167.800   26.528    
135   59.577     169.300   26.810    
140   60.142     170.600   27.064    
145   60.654     171.700   27.294    
150   61.116     172.600   27.502    

Aspenbirch ME_APH NIPF untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     5.530      4.400     2.489     
10    9.599      10.000    4.320     
15    13.151     16.000    5.918     
20    16.355     22.200    7.360     
25    19.291     28.600    8.681     
30    22.005     35.100    9.902     
35    24.530     41.600    11.039    
40    26.889     48.100    12.100    
45    29.099     54.500    13.095    
50    31.175     61.000    14.029    
55    33.128     67.400    14.908    
60    34.970     73.700    15.736    
65    36.709     80.000    16.519    
70    38.352     86.200    17.258    
75    39.905     92.300    17.957    
80    41.376     98.300    18.619    
85    42.770     104.300   19.247    
90    44.090     110.100   19.841    
95    45.343     115.900   20.404    
100   46.531     121.500   20.939    
105   47.660     127.100   21.447    
110   48.731     132.500   21.929    
115   49.749     137.900   22.387    
120   50.716     143.200   22.822    
125   51.636     148.300   23.236    
