Year,HWP_inuse,HWP_landfill,HWP_charcoal,HWP_total
2004,1815627,81731,0,1897358
2005,3656525,160466,0,3816991
2006,5427045,239406,0,5666451
2007,7125807,318791,0,7444598
2008,8711438,398696,0,9110134
2009,9490670,451853,0,9942523
2010,10214033,505072,0,10719105
2011,10864927,558021,0,11422948
2012,11445342,610615,0,12055957
2013,11950924,662750,0,12613674
2014,12361575,712853,0,13074428
2015,12983243,644955,0,13628198
2016,13387028,621190,0,14008218
2017,13807403,596455,0,14403858
2018,14309237,571825,0,14881062
2019,14730178,547075,0,15277253
2020,15200517,545697,0,15746214
2021,15623549,544235,0,16167784
2022,16089829,543152,0,16632981
2023,16510454,542118,0,17052572
2024,16916487,541239,0,17457726
2025,17303191,536944,0,17840135
2026,17618509,532635,0,18151144
2027,18010527,528792,0,18539319
2028,18355132,525004,0,18880136
2029,18711349,521513,0,19232862
2030,19023095,516897,0,19539992
2031,19341406,512336,0,19853742
2032,19583596,507842,0,20091438
2033,19846650,503599,0,20350249
2034,20155720,499660,0,20655380
2035,20348826,497920,0,20846746
2036,20587489,496551,0,21084040
2037,20763859,495167,0,21259026
2038,20949668,494014,0,21443682
2039,21195573,493340,0,21688913
2040,21352042,494883,0,21846925
2041,21463233,496434,0,21959667
2042,21567621,498121,0,22065742
2043,21711893,499993,0,22211886
2044,21848594,502069,0,22350663
2045,21861031,505997,0,22367028
2046,21924835,510132,0,22434967
2047,22026043,514471,0,22540514
2048,22086260,518796,0,22605056
2049,22155834,523271,0,22679105
2050,22188974,532094,0,22721068
2051,22200669,540857,0,22741526
2052,22179728,549659,0,22729387
2053,22199707,558608,0,22758315
2054,22204482,567521,0,22772003
2055,22215453,567991,0,22783444
2056,22189228,568054,0,22757282
2057,22130655,568357,0,22699012
2058,22071650,567563,0,22639213
2059,22004897,567854,0,22572751
2060,21918043,571138,0,22489181
2061,21820603,574423,0,22395026
2062,21748613,578315,0,22326928
2063,21640055,582132,0,22222187
2064,21576316,586041,0,22162357
2065,21546701,583584,0,22130285
2066,21465405,581533,0,22046938
2067,21345179,577154,0,21922333
2068,21239220,574965,0,21814185
2069,21125986,571309,0,21697295
2070,21041345,572898,0,21614243
2071,20930781,573097,0,21503878
2072,20857237,574395,0,21431632
2073,20749164,574737,0,21323901
2074,20633577,575906,0,21209483
2075,20531527,577298,0,21108825
2076,20398684,576011,0,20974695
2077,20294213,576933,0,20871146
2078,20196122,578574,0,20774696
