Year,HWP_inuse,HWP_landfill,HWP_charcoal,HWP_total
2004,1170727,24251,0,1194978
2005,2412327,47960,0,2460287
2006,3630792,71904,0,3702696
2007,4834769,96172,0,4930941
2008,5986677,120690,0,6107367
2009,6549678,134495,0,6684173
2010,7106651,148453,0,7255104
2011,7643983,162407,0,7806390
2012,8163867,176380,0,8340247
2013,8662549,190379,0,8852928
2014,9106835,202780,0,9309615
2015,9632806,186796,0,9819602
2016,10033328,179240,0,10212568
2017,10433546,171518,0,10605064
2018,10888943,164080,0,11053023
2019,11258697,156677,0,11415374
2020,11705667,159146,0,11864813
2021,12107457,161651,0,12269108
2022,12544811,164558,0,12709369
2023,12937804,167571,0,13105375
2024,13280512,170698,0,13451210
2025,13651020,174613,0,13825633
2026,13953114,178587,0,14131701
2027,14309656,182953,0,14492609
2028,14617748,187438,0,14805186
2029,14934751,192201,0,15126952
2030,15272245,197298,0,15469543
2031,15603796,202550,0,15806346
2032,15858940,207939,0,16066879
2033,16119579,213599,0,16333178
2034,16379181,219473,0,16598654
2035,16567474,225887,0,16793361
2036,16781292,232654,0,17013946
2037,16934844,239464,0,17174308
2038,17085092,246454,0,17331546
2039,17259178,253759,0,17512937
2040,17402834,261539,0,17664373
2041,17502685,269386,0,17772071
2042,17588202,277384,0,17865586
2043,17695220,285547,0,17980767
2044,17789565,293879,0,18083444
2045,17804775,303122,0,18107897
2046,17851192,312579,0,18163771
2047,17918047,322219,0,18240266
2048,17944081,331836,0,18275917
2049,17980683,341573,0,18322256
2050,17990813,352044,0,18342857
2051,17979292,362471,0,18341763
2052,17936800,372909,0,18309709
2053,17922484,383434,0,18305918
2054,17854082,393817,0,18247899
2055,17831488,395515,0,18227003
2056,17756237,396710,0,18152947
2057,17653581,398173,0,18051754
2058,17547765,398530,0,17946295
2059,17426732,400004,0,17826736
2060,17284147,404147,0,17688294
2061,17130643,408255,0,17538898
2062,16993369,412877,0,17406246
2063,16825704,417409,0,17243113
2064,16695540,421563,0,17117103
2065,16642528,418104,0,17060632
2066,16514008,414851,0,16928859
2067,16360163,409332,0,16769495
2068,16217511,405901,0,16623412
2069,16068916,400989,0,16469905
2070,15952281,401866,0,16354147
2071,15815772,401466,0,16217238
2072,15705124,402004,0,16107128
2073,15567503,401682,0,15969185
2074,15413463,402495,0,15815958
2075,15263390,403085,0,15666475
2076,15090874,401384,0,15492258
2077,14942145,401566,0,15343711
2078,14792933,402327,0,15195260
