cycle,year,BAU,Harvest_m25_mill,Harvest_p25_pulp,Harvest_p50_biomass,No_harvest
1,5,"3.942 (3.748, 4.189)","5.236 (4.893, 5.658)","3.153 (3.006, 3.298)","2.632 (2.509, 2.744)","Inf (Inf, Inf)"
2,10,"5.475 (5.102, 5.799)","7.315 (6.831, 7.812)","4.423 (4.192, 4.719)","3.714 (3.528, 3.929)","Inf (Inf, Inf)"
3,15,"5.454 (5.126, 5.780)","7.201 (6.675, 7.991)","4.404 (4.208, 4.719)","3.722 (3.525, 3.907)","Inf (Inf, Inf)"
4,20,"5.383 (4.988, 6.039)","7.135 (6.548, 7.736)","4.426 (4.095, 4.764)","3.718 (3.470, 4.019)","Inf (Inf, Inf)"
5,25,"5.401 (4.889, 5.864)","7.034 (6.445, 7.845)","4.371 (4.128, 4.748)","3.736 (3.431, 4.128)","Inf (Inf, Inf)"
6,30,"5.416 (5.024, 5.848)","7.137 (6.502, 7.894)","4.437 (4.094, 4.807)","3.772 (3.505, 4.023)","Inf (Inf, Inf)"
7,35,"5.508 (5.022, 6.098)","7.113 (6.465, 7.948)","4.516 (4.079, 5.023)","3.814 (3.461, 4.107)","Inf (Inf, Inf)"
8,40,"5.645 (5.050, 6.362)","7.259 (6.397, 7.983)","4.606 (4.284, 5.036)","3.954 (3.647, 4.393)","Inf (Inf, Inf)"
9,45,"5.629 (5.109, 6.253)","7.354 (6.594, 8.188)","4.661 (4.287, 5.234)","3.971 (3.574, 4.445)","Inf (Inf, Inf)"
10,50,"5.789 (5.222, 6.384)","7.565 (6.618, 8.350)","4.801 (4.371, 5.250)","4.118 (3.698, 4.540)","Inf (Inf, Inf)"
11,55,"6.103 (5.502, 6.632)","7.897 (7.013, 8.842)","4.958 (4.366, 5.524)","4.199 (3.778, 4.622)","Inf (Inf, Inf)"
12,60,"6.270 (5.572, 6.996)","8.100 (7.154, 8.977)","5.094 (4.396, 5.724)","4.347 (3.818, 4.889)","Inf (Inf, Inf)"
13,65,"6.559 (5.772, 7.235)","8.588 (7.716, 9.647)","5.200 (4.587, 5.846)","4.406 (3.984, 4.934)","Inf (Inf, Inf)"
14,70,"6.698 (5.745, 7.556)","8.863 (7.989, 9.966)","5.295 (4.667, 5.965)","4.474 (3.948, 4.998)","Inf (Inf, Inf)"
15,75,"6.750 (6.066, 7.984)","8.988 (8.056, 9.779)","5.418 (4.728, 6.077)","4.608 (4.009, 5.228)","Inf (Inf, Inf)"
