plant_class,age_class,n_plots,mean_proj_AGC,sum_proj_AGC,share_proj_total
other_forest_type,0-20,6424,23123.1973925718,114575443.080193,3.01588734371928
other_forest_type,21-40,14215,30455.9869141745,408475696.492908,10.752013260011
other_forest_type,41-60,15670,31708.584972067,488661003.004525,12.8626736647137
other_forest_type,61-80,16785,38275.8843388009,636336577.132565,16.7498320558667
other_forest_type,81-100,9626,42094.4097582966,402717218.157624,10.6004369582872
other_forest_type,100+,3130,43027.6471283761,134246259.040533,3.53366814648604
plantation_indicative,0-20,6477,26832.8598142507,126570599.74382,3.3316272631577
plantation_indicative,21-40,18642,48883.2723832261,856434932.154121,22.5433234484187
plantation_indicative,41-60,8792,47090.5472710091,406155970.212453,10.690952766226
plantation_indicative,61-80,3883,44077.1323370633,168727262.586278,4.44128691187512
plantation_indicative,81-100,1276,39389.7272439147,49906784.4180399,1.31366054929193
plantation_indicative,100+,203,30963.7941829543,6254686.42495676,0.164637631946638
