plant_class,n_plots,mean_proj_AGC,median_proj_AGC,sum_proj_AGC,mean_proj_BA,mean_proj_TPA,median_STDAGE,share_proj_total
plantation_indicative,39273,44637.5794557279,37625.7279108412,1614050235.53967,74.5325869468514,660.816735347836,34,42.4854885709162
other_forest_type,65850,34633.2572025413,28491.1971457944,2185012196.90833,56.7209889502483,533.011954451695,57,57.5145114290838
