scenario,cycle,mean_ba_mean,mean_ba_lo,mean_ba_hi,mean_vol_mean,mean_vol_lo,mean_vol_hi,mean_carbon_mean,mean_carbon_lo,mean_carbon_hi,total_tpa_mean,total_tpa_lo,total_tpa_hi,harvest_rate_mean,harvest_rate_lo,harvest_rate_hi,plant_rate_mean,plant_rate_lo,plant_rate_hi,gr_ratio_mean,gr_ratio_lo,gr_ratio_hi,n_sims
BAU,1,67.5270479280712,66.89728191543439,68.15515660760988,1323.9881322451092,1312.9968687389828,1340.3745800420975,35208.1498479765,34872.13828501659,35535.50567263145,496.671846138754,488.8986018613259,505.0111509384128,0.09939788924988172,0.09554614027184634,0.10190004296081455,0.07929373984453224,0.07561917558253242,0.08220018089128786,5.619116046717977,5.368729250833999,5.917682698731436,25
BAU,2,71.85608633716313,71.22597154586592,72.55297506111279,1546.4516929518745,1533.6737724252441,1563.1722627165054,40097.87551565931,39720.340363064104,40501.37179172143,520.1221466482102,513.0716999994484,528.0004622404855,0.09639414873908697,0.09305420378235701,0.1002335402367702,0.07594271303045334,0.07260321028198531,0.07917826634427795,6.31033170691821,5.929200392917077,6.673578434103331,25
BAU,3,73.27085430742144,72.55799656606933,74.08476737012494,1744.9633558833411,1719.458072395547,1766.7202565705975,43792.15853331635,43351.978397371146,44264.07172941668,540.2345768920787,532.9106581976359,549.1133155045528,0.09307338063194698,0.09046176457246075,0.09614066062322846,0.07276296934872978,0.07023328315516317,0.07513915117436087,5.777860993533888,5.5014184732954705,6.147091066912772,25
BAU,4,72.2019478489124,71.3667477483111,73.02298265537667,1892.3740301486855,1858.0694946168978,1924.9409543918744,45998.261844204506,45401.490427535755,46574.27294790135,563.6573221594168,550.0535602805096,575.6930484266711,0.08913468384622461,0.0863741519396844,0.0922629016361359,0.06945012204483873,0.0671457990166433,0.07199421580834209,5.412323800851376,5.160349434980503,5.745596689046451,25
BAU,5,69.55838421657275,68.78825568049804,70.46018757672336,1976.4150518216752,1941.7000675940524,2012.3524804597296,46692.08801814399,46133.53316999556,47300.03291062025,599.3681316278083,580.4628759369218,622.9639043703567,0.08675131732194315,0.08335464699327451,0.0911545818156949,0.06691934289963523,0.06354071121959094,0.06965474115762715,5.049351805610875,4.723494997536789,5.213664826126772,25
BAU,6,66.23932378942439,65.39773519187952,67.2376755631096,2006.4391275102787,1963.7480105383459,2049.6337619668325,46299.82324252903,45575.41688640401,46972.15799128324,653.2885830370843,629.3774323374598,691.5266734332807,0.08315132773820755,0.08042032717090528,0.08717110053059707,0.06335451425026806,0.06140003167731376,0.06685167580094432,4.918106031415867,4.616410911251347,5.208079213689366,25
BAU,7,62.78698938638429,61.762082852166984,63.95935388470541,2000.9711281743535,1944.2895266056285,2048.1460078094456,45196.52593931906,44257.659895722085,45977.15566292571,734.1123862056397,703.1549233545127,781.0293141530447,0.07987871757203051,0.07640668844554166,0.0840820383075133,0.060061218672013965,0.05744186070045074,0.06368161195878916,4.885497460656281,4.504155114668685,5.1891357598357075,25
BAU,8,59.47983346542343,58.50854935816359,60.76586687029068,1977.8972373200818,1909.0282682727643,2036.964575030973,43775.8561605261,42779.22727806936,44773.94476106933,845.5906544839967,787.214429683363,920.8499828009935,0.076444767815307485,0.07280270662506058,0.08077201952241178,0.05666477541918904,0.05361450745882239,0.06111843013078494,4.9203667138133875,4.642991450342411,5.296844608044857,25
BAU,9,56.421146315346505,55.399556481931725,57.783547172010245,1938.6122889556436,1860.5545181060136,1996.7458900569486,42220.03955833804,41057.15093035358,43084.48941961482,1001.080799914389,898.804513106325,1136.7778792471113,0.07345361692569093,0.0703902385906548,0.07816997667335461,0.053860539111082004,0.05055145129390726,0.058221119070553204,4.948962569529473,4.485850742200483,5.281624705549968,25
BAU,10,53.69565486252624,52.42943994713511,55.15017549725334,1896.2103296111177,1814.1468254768517,1973.3113349491807,40698.57715051467,39304.20895638108,41662.86275226809,1225.8102531379227,1065.9575420490335,1444.1024550043658,0.07146038575743648,0.06796571143378319,0.07485024890878074,0.05201770558318394,0.049006656311895505,0.05605946002366548,4.935817842758915,4.57154911917913,5.3135786160156275,25
