scenario,cycle,mean_ba_mean,mean_vol_mean,mean_carbon_mean,total_tpa_mean,harvest_rate_mean,plant_rate_mean
BAU,1,67.5,1324,35208.1,496.7,9.9%,7.9%
BAU,2,71.9,1546.5,40097.9,520.1,9.6%,7.6%
BAU,3,73.3,1745,43792.2,540.2,9.3%,7.3%
BAU,4,72.2,1892.4,45998.3,563.7,8.9%,6.9%
BAU,5,69.6,1976.4,46692.1,599.4,8.7%,6.7%
BAU,6,66.2,2006.4,46299.8,653.3,8.3%,6.3%
BAU,7,62.8,2001,45196.5,734.1,8.0%,6.0%
BAU,8,59.5,1977.9,43775.9,845.6,7.6%,5.7%
BAU,9,56.4,1938.6,42220,1001.1,7.3%,5.4%
BAU,10,53.7,1896.2,40698.6,1225.8,7.1%,5.2%
BAU,11,51.3,1850.1,39255.4,1554.7,6.9%,5.0%
BAU,12,49.2,1795.5,37788.1,2043.6,6.6%,4.8%
BAU,13,47.3,1747.4,36491.6,2768.7,6.4%,4.6%
BAU,14,45.6,1698.3,35260.4,4005.7,6.3%,4.5%
BAU,15,44.2,1648.7,34101.5,5914.8,6.2%,4.4%
Harvest_m25_mill,1,68.3,1337,35586.6,500,7.5%,5.9%
Harvest_m25_mill,2,73.6,1582.8,41064.6,526.3,7.2%,5.7%
Harvest_m25_mill,3,75.7,1807.4,45335.3,549.7,7.1%,5.6%
Harvest_m25_mill,4,75.2,1983,48119.7,578.5,6.9%,5.3%
Harvest_m25_mill,5,72.9,2092.9,49300.5,620.5,6.7%,5.2%
Harvest_m25_mill,6,69.7,2141.8,49218.8,687,6.5%,5.0%
Harvest_m25_mill,7,66.2,2153.7,48369.9,782.6,6.3%,4.8%
Harvest_m25_mill,8,62.8,2146.3,47126.1,916.9,6.0%,4.5%
Harvest_m25_mill,9,59.5,2120.9,45665.2,1111.6,5.8%,4.3%
Harvest_m25_mill,10,56.6,2088.9,44198.8,1408.6,5.7%,4.2%
Harvest_m25_mill,11,54,2055.4,42787.7,1856.3,5.5%,4.0%
Harvest_m25_mill,12,51.6,2010.5,41339.5,2556.4,5.4%,3.9%
Harvest_m25_mill,13,49.5,1966.7,39962.6,3683.8,5.2%,3.8%
Harvest_m25_mill,14,47.5,1923.6,38674.6,5411.2,5.1%,3.7%
Harvest_m25_mill,15,45.9,1878.5,37457.7,8163.6,5.1%,3.6%
Harvest_p25_pulp,1,66.8,1311.8,34854.3,494.4,12.4%,9.9%
Harvest_p25_pulp,2,70.3,1515.1,39231.3,513.7,12.0%,9.5%
Harvest_p25_pulp,3,71.1,1688.8,42353.4,531.1,11.4%,8.9%
Harvest_p25_pulp,4,69.5,1811.5,44004.5,551.9,10.9%,8.5%
Harvest_p25_pulp,5,66.5,1874.8,44280.1,581.4,10.5%,8.1%
Harvest_p25_pulp,6,63.1,1884.9,43546.4,629.2,10.0%,7.6%
Harvest_p25_pulp,7,59.8,1870.2,42376.3,698.2,9.6%,7.2%
Harvest_p25_pulp,8,56.6,1837.1,40888.6,795.3,9.2%,6.8%
Harvest_p25_pulp,9,53.8,1795.8,39387.9,922.7,8.7%,6.4%
Harvest_p25_pulp,10,51.2,1747,37858.1,1098.6,8.4%,6.1%
Harvest_p25_pulp,11,49.1,1699,36492.4,1356,8.1%,5.8%
Harvest_p25_pulp,12,47.2,1650.9,35162.2,1760,7.8%,5.6%
Harvest_p25_pulp,13,45.6,1604.9,33995.4,2335.6,7.6%,5.4%
Harvest_p25_pulp,14,44.2,1565.8,32942.3,3243.5,7.4%,5.2%
Harvest_p25_pulp,15,43.1,1525.1,32049.3,4635,7.3%,5.1%
Harvest_p50_biomass,1,66.1,1299,34485.4,491.5,14.9%,11.8%
Harvest_p50_biomass,2,68.7,1484.3,38370.8,507.5,14.3%,11.3%
Harvest_p50_biomass,3,68.9,1636.9,40996.2,521.8,13.5%,10.6%
Harvest_p50_biomass,4,67,1738.4,42246.5,537.7,12.8%,9.9%
Harvest_p50_biomass,5,63.9,1779.3,42143.8,564.8,12.3%,9.4%
Harvest_p50_biomass,6,60.5,1777.5,41214.2,603.9,11.6%,8.9%
Harvest_p50_biomass,7,57.3,1746,39817.9,660.8,11.1%,8.3%
Harvest_p50_biomass,8,54.2,1707.1,38346.2,737.2,10.6%,7.8%
Harvest_p50_biomass,9,51.6,1661,36855.3,842.8,10.0%,7.3%
Harvest_p50_biomass,10,49.3,1611.8,35452.6,988.3,9.6%,6.9%
Harvest_p50_biomass,11,47.4,1566.4,34210.9,1184.6,9.2%,6.6%
Harvest_p50_biomass,12,45.8,1522.1,33064.6,1493.7,8.9%,6.4%
Harvest_p50_biomass,13,44.4,1481.8,32075.5,1897.6,8.6%,6.1%
Harvest_p50_biomass,14,43.2,1444.1,31184.3,2487.7,8.4%,5.9%
Harvest_p50_biomass,15,42.3,1412,30466.3,3507.8,8.2%,5.8%
No_harvest,1,70.6,1376.9,36734.1,508.5,0.0%,0.0%
No_harvest,2,78.8,1689.7,43969.3,546,0.0%,0.0%
No_harvest,3,83.8,2002.2,50330.8,583.5,0.0%,0.0%
No_harvest,4,85.5,2280.7,55276.1,626.3,0.0%,0.0%
No_harvest,5,84.9,2501.3,58610.7,687.8,0.0%,0.0%
No_harvest,6,82.9,2657.7,60472.4,788,0.0%,0.0%
No_harvest,7,80.2,2769.8,61236.7,942.7,0.0%,0.0%
No_harvest,8,77.1,2860,61327.7,1172.5,0.0%,0.0%
No_harvest,9,73.8,2914.6,60898.7,1531.4,0.0%,0.0%
No_harvest,10,70.8,2972.8,60481.8,2090.7,0.0%,0.0%
No_harvest,11,67.8,3020.6,59902.2,2979.2,0.0%,0.0%
No_harvest,12,64.7,3052.5,59051,4415.5,0.0%,0.0%
No_harvest,13,61.7,3082.7,58096.7,6815.4,0.0%,0.0%
No_harvest,14,58.8,3096.1,57001.1,10881,0.0%,0.0%
No_harvest,15,55.9,3096.6,55784.5,18032.8,0.0%,0.0%
